id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,23694.0,0.7052,0.9968,419.7,119.6
2,3812.0,0.7876,0.8881,147.0,3978.0
3,3413.0,0.7766,0.8682,140.6,4247.5
4,2994.0,0.9342,0.9811,156.9,4333.9
5,442.0,0.8583,0.6913,217.0,4223.9
6,3324.0,0.9102,0.8354,244.8,2402.3
7,1501.0,0.9779,0.6161,282.6,3251.2
8,2129.0,0.8904,0.9594,302.0,1470.0
9,571.0,0.7865,0.8939,336.5,3543.4
10,1238.0,0.9191,0.9707,363.8,4258.4
11,816.0,0.9097,0.9061,360.8,4116.3
12,642.0,0.7877,0.9791,483.9,1824.1
13,585.0,0.7548,0.9768,483.3,3817.5
14,589.0,0.7874,0.9758,483.5,2507.2
15,494.0,0.7600,0.9801,483.2,3150.6
16,4649.0,0.6564,0.9960,708.6,4142.6
17,2717.0,0.9170,0.9360,575.7,3057.2
18,13500.0,0.6893,0.8986,727.3,4054.0
19,2151.0,0.9377,0.5295,716.8,4227.2
20,2921.0,0.9818,0.5381,722.5,3844.1
21,51.0,0.8947,0.9581,786.9,101.2
22,150.0,0.9434,0.9307,811.8,103.1
23,563.0,0.8635,0.7111,856.9,4004.3
24,4.0,1.0000,1.0000,879.5,100.0
25,523.0,0.8925,0.8197,903.7,4078.6
26,220.0,0.8594,0.8198,904.3,105.6
27,23456.0,0.8942,0.9896,1167.4,126.6
28,4250.0,0.8451,0.9062,973.9,4028.3
29,272.0,0.9379,0.9466,1045.1,1054.7
30,5301.0,0.7460,0.9368,1131.9,3871.2
31,318.0,0.8548,0.9675,1129.7,508.9
32,558.0,0.7697,0.9827,1132.0,1136.3
33,690.0,0.8146,0.9732,1132.1,1819.0
34,521.0,0.7858,0.9783,1131.2,2495.5
35,661.0,0.7589,0.9783,1131.9,3151.8
36,2007.0,0.7958,0.5508,1263.2,2869.3
37,465.0,0.9337,0.5583,1274.0,3864.7
38,1952.0,0.7445,0.8531,1344.1,3857.1
39,2487.0,0.6380,0.9076,1407.8,3848.1
40,2098.0,0.9126,0.9064,1456.3,3136.6
41,1369.0,0.8659,0.9893,1531.6,3913.6
42,8.0,0.8000,0.9574,1552.5,100.2
43,2042.0,0.9520,0.4534,1589.2,3815.0
44,11268.0,0.7519,0.9952,1845.7,114.7
45,325.0,0.8713,0.8281,1654.6,4718.0
46,532.0,0.9110,0.9045,1674.9,4699.8
47,376.0,0.9400,0.9257,1692.8,2580.5
48,382.0,0.9550,0.8444,1720.2,2580.0
49,1523.0,0.9158,0.7819,1750.2,921.7
50,1785.0,0.8898,0.8124,1756.6,1028.4
51,7757.0,0.8510,0.9245,1801.3,3657.0
52,1124.0,0.9168,0.6459,1788.0,2465.0
53,1060.0,0.7444,0.8398,1791.1,2508.8
54,431.0,0.8979,0.9543,1780.4,3163.2
55,497.0,0.8735,0.9767,1781.2,1834.7
56,332.0,0.9432,0.9094,1796.5,542.7
57,1363.0,0.9400,0.7230,1862.1,904.6
58,4239.0,0.9705,0.9278,1990.2,1286.1
59,1990.0,0.8186,0.8280,2014.7,3773.1
60,472.0,0.9291,0.4580,2067.2,3770.6
61,1.0,1.0000,0.0000,2069.0,100.0
62,395.0,0.9060,0.9849,2103.5,3834.0
63,7.0,0.7778,0.9758,2082.4,100.1
64,32.0,0.8649,0.9627,2217.0,100.9
65,18357.0,0.8738,0.9934,2513.1,120.9
66,443.0,0.8652,0.8719,2270.1,3795.6
67,723.0,0.7587,0.9492,2303.3,3786.5
68,745.0,0.8045,0.9788,2464.4,3140.3
69,641.0,0.7751,0.9387,2568.8,3764.5
70,6502.0,0.8987,0.9404,2707.6,3786.0
71,1117.0,0.9141,0.8755,2734.0,3878.5
72,1074.0,0.8854,0.9107,2837.8,3869.4
73,3314.0,0.8341,0.6621,2966.2,3875.0
74,810.0,0.8960,0.9149,3031.0,3892.3
75,536.0,0.9069,0.7712,3068.8,3157.2
76,1657.0,0.8264,0.7919,3169.4,3844.1
77,1729.0,0.8615,0.9767,3190.6,3051.4
78,1464.0,0.9689,0.6593,3283.5,2890.5
79,22102.0,0.6329,0.8925,3487.2,3947.5
80,1799.0,0.8442,0.8548,3381.7,2384.0
81,3345.0,0.9522,0.7081,3483.0,3191.1
82,994.0,0.8820,0.5945,3498.7,2790.7
83,1300.0,0.8826,0.6813,3500.5,3435.8
84,78.0,0.9398,0.5863,3598.8,4046.0
