id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,71.0,0.9342,0.8909,102.5,104.8
2,682.0,0.8655,0.8851,213.4,603.5
3,11174.0,0.8229,0.9264,276.7,821.2
4,516.0,0.8404,0.8973,268.0,631.9
5,5890.0,0.7408,0.8757,341.7,579.4
6,508334.0,0.6319,0.9227,726.0,1029.8
7,481.0,0.8513,0.8965,411.7,491.8
8,558.0,0.7391,0.9831,579.2,492.7
9,380.0,0.8756,0.9308,595.6,490.9
10,416.0,0.9103,0.6676,788.3,276.4
11,925.0,0.7154,0.7286,818.0,117.1
12,3968.0,0.6679,0.8840,880.7,915.2
13,548.0,0.7268,0.8581,856.8,991.6
14,660.0,0.6653,0.8837,864.9,126.0
15,357.0,0.8793,0.7580,920.2,357.0
16,3853.0,0.8457,0.8352,963.2,839.1
17,465.0,0.8548,0.5838,980.8,109.0
18,384.0,0.8727,0.8154,1002.7,1182.8
19,5.0,1.0000,1.0000,1018.0,100.0
20,278462.0,0.6784,0.9647,1279.0,657.8
21,415.0,0.9161,0.8011,1092.9,597.6
22,4676.0,0.8111,0.7696,1146.3,1562.1
23,440.0,0.9167,0.8774,1172.6,1524.1
24,390.0,0.8966,0.5015,1189.7,1063.6
25,1597.0,0.8912,0.6925,1210.9,1094.1
26,6682.0,0.5703,0.7633,1321.2,1366.4
27,652.0,0.8468,0.8664,1260.7,1101.4
28,15215.0,0.6292,0.9817,1421.5,1568.2
29,1091.0,0.8240,0.8184,1357.5,1495.8
30,3866.0,0.6784,0.9455,1453.4,1405.4
31,1686.0,0.6558,0.6948,1412.1,306.7
32,4197.0,0.8308,0.7690,1477.6,304.2
33,1597.0,0.8107,0.6058,1470.1,122.4
34,1392.0,0.8014,0.9074,1493.5,837.3
35,6.0,1.0000,1.0000,1487.5,1605.0
36,395.0,0.7553,0.8416,1518.9,1430.2
37,537.0,0.7749,0.8193,1527.5,121.5
38,459.0,0.9503,0.5576,1559.8,1147.8
39,368.0,0.8638,0.8109,1562.8,125.1
