id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,1115.0,0.9238,0.9255,126.4,109.3
2,5561.0,0.8708,0.9322,153.8,3195.7
3,54.0,0.8182,0.9891,187.6,100.9
4,3.0,1.0000,1.0000,206.0,100.0
5,20.0,0.8696,0.9702,214.5,100.5
6,1229.0,0.8938,0.8918,235.1,3142.1
7,14.0,0.8750,0.9768,230.0,100.4
8,222.0,0.7872,0.9837,278.9,102.3
9,8385.0,0.7412,0.9851,366.6,3104.4
10,8.0,0.8000,0.9574,314.5,100.2
11,45.0,0.9000,0.9238,345.8,101.4
12,6.0,1.0000,1.0000,360.5,100.0
13,671.0,0.7960,0.9079,510.9,3047.7
14,5405.0,0.7440,0.9950,668.3,3080.6
15,1.0,1.0000,0.0000,552.0,100.0
16,1346.0,0.7630,0.9889,631.2,3063.8
17,10.0,0.8333,0.9644,581.0,100.3
18,531.0,0.9299,0.8274,647.2,3144.1
19,685.0,0.7802,0.7471,696.7,2976.7
20,1059.0,0.7974,0.8989,749.8,110.4
21,40.0,0.8889,0.9173,779.6,101.3
22,709.0,0.6811,0.9512,847.2,2989.5
23,568.0,0.8752,0.9782,945.7,2922.6
24,35.0,0.8750,0.9449,948.7,101.1
25,7529.0,0.7658,0.9989,1197.2,108.5
26,2016.0,0.7965,0.9970,1268.1,2805.5
27,1526.0,0.7664,0.8566,1450.3,114.2
28,1329.0,0.8476,0.9402,1479.8,2793.9
29,391.0,0.8556,0.9839,1567.9,2753.6
30,3.0,1.0000,1.0000,1672.0,100.0
31,568.0,0.7707,0.9957,1729.8,103.1
32,3.0,1.0000,1.0000,1776.0,100.0
33,16.0,0.8889,0.9332,1794.5,100.6
34,647.0,0.8128,0.9943,1850.7,103.4
35,264.0,0.7976,0.9944,1932.6,101.9
36,487.0,0.8455,0.9701,2000.5,104.5
37,733.0,0.9495,0.9825,2038.2,2767.0
38,342.0,0.8702,0.9848,2056.2,103.2
39,38.0,0.9500,0.9416,2093.0,101.2
40,39.0,0.9070,0.9055,2106.8,101.4
41,908.0,0.5962,0.9683,2168.0,111.0
42,59.0,0.9077,0.8828,2193.2,101.9
43,8.0,0.8000,0.9574,2219.5,100.2
44,110.0,0.9402,0.9810,2389.7,101.7
45,534.0,0.9336,0.9557,2427.7,2751.9
46,830.0,0.7249,0.9945,2459.1,104.2
47,1213.0,0.7577,0.9968,2576.1,104.3
48,815.0,0.9230,0.9884,2660.7,2772.8
49,960.0,0.8377,0.9862,2704.8,105.5
50,572.0,0.8576,0.9858,2783.2,104.2
51,1069.0,0.8326,0.8881,2867.8,111.1
52,847.0,0.8590,0.8833,2916.9,2833.5
53,56.0,0.9180,0.8530,2898.1,102.0
54,1226.0,0.8916,0.9951,3412.5,2982.8
55,958.0,0.8057,0.6982,3635.0,3143.5
56,405.0,0.8654,0.8364,3631.3,2974.4
57,659.0,0.8763,0.9621,3694.6,3173.9
58,610.0,0.8802,0.8348,3712.8,3001.1
59,778.0,0.9057,0.6583,3770.4,3032.6
60,257.0,0.7626,0.9849,3796.2,3051.5
