id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,5.0,1.0000,1.0000,100.0,102.0
2,82.0,0.7810,0.9875,101.2,857.8
3,6.0,0.7500,0.9574,100.2,891.0
4,1196.0,0.9583,0.8052,112.3,1161.5
5,123.0,0.9462,0.6636,111.0,104.5
6,380.0,0.8389,0.9356,168.1,967.6
7,10618.0,0.7866,0.8554,243.7,1032.4
8,1086.0,0.8104,0.8409,225.7,340.7
9,1906.0,0.8849,0.8598,262.6,687.1
10,885.0,0.8461,0.8753,265.1,1377.5
11,11439.0,0.6980,0.7055,356.5,740.8
12,318.0,0.8618,0.8914,347.8,1406.8
13,1297.0,0.7399,0.7456,378.5,1420.9
14,742772.0,0.5571,0.8225,981.6,941.7
15,1357.0,0.9029,0.6273,430.4,1122.4
16,5515.0,0.7488,0.9157,496.5,925.6
17,1751.0,0.9250,0.6605,503.4,1106.9
18,5343.0,0.7869,0.8794,550.6,686.4
19,365.0,0.8649,0.8554,540.3,965.0
20,16.0,1.0000,0.9774,546.0,100.4
21,483.0,0.8313,0.6480,580.7,922.4
22,7177.0,0.8294,0.3758,637.8,156.0
23,769.0,0.9506,0.5904,627.8,1511.7
24,284.0,0.9342,0.7606,651.9,883.3
25,8968.0,0.7906,0.8484,832.4,1275.3
26,13345.0,0.8973,0.8700,862.0,352.6
27,5402.0,0.8721,0.7663,910.5,1157.7
28,569.0,0.8037,0.7977,895.2,521.7
29,524.0,0.9097,0.8969,919.1,600.2
30,402.0,0.9074,0.4659,911.3,577.9
31,433.0,0.8524,0.9126,916.4,980.8
32,327.0,0.9211,0.7416,939.9,573.3
33,396.0,0.8390,0.8157,955.6,239.3
34,4997.0,0.8832,0.7934,1012.3,583.1
35,900.0,0.8115,0.9550,1008.2,287.0
36,1452.0,0.6558,0.8431,1031.0,724.1
37,394.0,0.9206,0.8824,1016.3,538.0
38,64.0,0.9552,0.7837,1018.3,102.4
39,339.0,0.8670,0.5756,1061.8,679.0
40,443.0,0.9210,0.7699,1081.6,1437.9
41,457.0,0.9481,0.7526,1081.8,423.5
42,871.0,0.7728,0.7354,1114.4,442.0
43,1784.0,0.8623,0.8261,1134.7,242.0
44,815.0,0.8498,0.7417,1146.6,437.0
45,497.0,0.9221,0.7471,1147.0,1055.4
46,64638.0,0.7893,0.8941,1476.8,1335.0
47,1421.0,0.8696,0.7431,1407.2,1588.0
48,659.0,0.9065,0.8622,1441.0,194.3
49,579.0,0.8540,0.5817,1476.7,731.9
50,670.0,0.9203,0.7208,1501.0,691.5
51,523.0,0.7829,0.8106,1519.1,643.4
52,29.0,0.9667,0.9067,1528.0,101.1
53,834.0,0.9329,0.7188,1553.9,1055.5
