id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,4120.0,0.7867,0.8103,146.1,122.4
2,389.0,0.7874,0.8898,109.7,163.6
3,2268.0,0.7267,0.9608,113.6,265.9
4,356.0,0.9128,0.7806,108.1,336.0
5,901.0,0.7952,0.8964,119.9,1725.9
6,449.0,0.8164,0.9184,117.9,1938.8
7,13004.0,0.6960,0.4866,160.4,2059.1
8,397.0,0.7562,0.9724,119.2,2245.7
9,1028.0,0.8756,0.8185,117.5,1390.2
10,400.0,0.9050,0.7602,111.7,1178.2
11,327.0,0.9134,0.4572,117.3,1302.9
12,505.0,0.8445,0.9206,128.7,684.5
13,471.0,0.7903,0.9285,128.6,770.4
14,309.0,0.9251,0.5488,130.5,2163.7
15,1838.0,0.8324,0.7230,157.1,1910.4
16,3462.0,0.7594,0.9283,180.4,574.9
17,11216.0,0.7570,0.8061,190.6,1625.1
18,63.0,0.9000,0.9544,161.9,2248.4
19,523.0,0.8302,0.7915,202.7,287.0
20,818.0,0.8313,0.6275,204.1,864.2
21,1338791.0,0.6625,0.7811,1014.8,1484.3
22,493.0,0.8788,0.5260,202.9,481.2
23,2307.0,0.7382,0.8333,222.3,223.8
24,1207.0,0.8928,0.7422,211.5,1936.1
25,89.0,0.7739,0.9816,210.4,2248.4
26,9001.0,0.7921,0.8522,268.7,729.7
27,977.0,0.8496,0.7613,215.9,682.2
28,570.0,0.8520,0.8910,216.8,442.6
29,1568.0,0.7320,0.8692,244.7,909.3
30,459.0,0.8596,0.5498,242.3,470.8
31,3483.0,0.8782,0.5942,271.6,640.1
32,13.0,0.8667,0.9789,238.2,100.3
33,1615.0,0.7351,0.9056,260.0,1398.8
34,256.0,0.9242,0.9420,260.6,104.3
35,503.0,0.8152,0.8596,270.5,447.8
36,2906.0,0.7322,0.5297,292.3,208.2
37,1241.0,0.7859,0.7885,288.4,568.7
38,2038.0,0.8376,0.7646,287.0,512.9
39,692.0,0.8460,0.6093,280.4,1443.3
40,2499.0,0.6569,0.6936,308.4,1346.9
41,450.0,0.9221,0.6694,279.1,1617.2
42,315.0,0.9403,0.5736,282.8,1998.3
43,1221.0,0.7369,0.5179,302.2,2228.0
44,121.0,0.9237,0.8851,297.2,102.9
45,558.0,0.8267,0.8285,299.9,320.7
46,1378.0,0.8873,0.8385,350.9,274.4
47,373.0,0.9325,0.8045,344.5,591.6
48,779.0,0.7721,0.9524,348.6,1230.7
49,388.0,0.8700,0.9372,366.6,868.1
50,343.0,0.8795,0.9113,367.3,968.8
51,373.0,0.9443,0.8664,366.7,1275.7
52,886.0,0.8825,0.8183,381.7,252.0
53,438.0,0.8743,0.8936,376.3,1358.4
54,4745.0,0.6897,0.6261,403.3,1583.9
55,632.0,0.8646,0.9657,403.0,1401.2
56,519.0,0.8212,0.7647,402.1,308.3
57,846.0,0.8659,0.7170,413.1,373.0
58,392.0,0.8970,0.9195,413.8,693.9
59,2324.0,0.7592,0.5464,430.7,1057.6
60,804.0,0.8229,0.6811,416.3,1674.8
61,438.0,0.8831,0.9494,410.4,1248.2
62,707.0,0.9278,0.7462,423.1,267.3
63,341.0,0.9342,0.7437,422.0,721.2
64,2952.0,0.9529,0.7487,440.6,429.5
65,537.0,0.8027,0.9600,435.7,1308.9
66,431.0,0.8850,0.9652,437.3,1391.6
67,326.0,0.9341,0.8219,445.8,1244.5
68,409.0,0.8398,0.8100,458.5,187.2
69,749.0,0.7573,0.9103,475.4,693.9
70,1092.0,0.7469,0.9745,461.9,1586.0
71,355.0,0.8831,0.8741,467.8,303.4
72,1362.0,0.7042,0.9716,473.6,1323.1
73,823.0,0.7823,0.8188,494.2,365.5
74,791.0,0.8818,0.8456,504.0,783.7
75,628.0,0.8145,0.8871,495.3,1313.4
76,98664.0,0.6323,0.8883,705.1,331.1
77,372.0,0.8942,0.8347,500.8,1398.4
78,1476.0,0.6682,0.9481,527.8,748.1
79,356.0,0.9082,0.8543,531.6,696.0
80,1876.0,0.8261,0.8239,548.8,498.7
81,328.0,0.9162,0.8962,555.5,1569.3
82,1691.0,0.8068,0.5567,582.5,1341.0
83,498.0,0.7818,0.8649,585.3,1520.8
84,5081.0,0.7943,0.9449,612.9,491.3
85,481.0,0.8620,0.8296,598.7,838.2
86,2957.0,0.7494,0.8942,734.4,1540.2
87,6679.0,0.7041,0.9066,791.0,167.4
88,466.0,0.8427,0.8574,850.2,979.6
89,527.0,0.8668,0.7561,933.6,610.7
90,410.0,0.8103,0.8649,935.8,646.5
91,61951.0,0.6828,0.8477,1111.0,207.6
92,3970.0,0.9274,0.6025,1111.6,421.8
93,3234.0,0.6186,0.9372,1224.4,381.6
94,343.0,0.9074,0.9468,1247.6,2043.9
95,792.0,0.8665,0.8949,1256.9,367.7
96,472.0,0.8209,0.9601,1274.8,290.0
97,379.0,0.8876,0.8029,1277.7,2237.0
98,1374.0,0.8696,0.7426,1293.9,2146.9
99,1208.0,0.5799,0.8676,1311.9,304.8
100,364.0,0.8943,0.7542,1352.9,1880.3
101,649.0,0.7745,0.9148,1383.8,2241.0
102,4109.0,0.6049,0.7661,1420.0,222.5
103,365.0,0.9311,0.8470,1474.4,2174.4
104,373.0,0.9053,0.8887,1477.5,2235.1
105,484.0,0.9362,0.7843,1511.9,744.8
106,1905.0,0.7246,0.7864,1530.5,345.4
107,3307.0,0.7692,0.6489,1531.3,1028.1
108,655.0,0.8653,0.8820,1581.8,282.1
109,410.0,0.9172,0.6657,1576.6,359.9
110,641.0,0.9454,0.9380,1591.2,1375.5
111,156.0,0.9286,0.8043,1592.3,1574.2
112,312.0,0.9571,0.9412,1593.7,1027.3
113,132.0,0.9565,0.8420,1594.5,1595.5
114,53.0,0.8983,0.8989,1596.2,2078.3
115,3.0,1.0000,1.0000,1598.0,1339.0
116,9.0,1.0000,1.0000,1598.0,2206.0
