id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,1137.0,0.7945,0.8209,114.3,116.9
2,894.0,0.7576,0.9249,121.6,888.3
3,665.0,0.7548,0.7655,110.2,1507.3
4,11476.0,0.8839,0.8179,148.6,1687.3
5,398.0,0.7866,0.9934,102.8,2132.3
6,3156.0,0.8292,0.8014,132.3,2248.0
7,368.0,0.8659,0.7987,113.5,1573.9
8,568.0,0.9498,0.7154,117.9,851.1
9,332.0,0.9300,0.5441,119.1,2193.2
10,892.0,0.8399,0.5704,146.0,1558.0
11,10.0,0.8333,0.9644,155.0,100.3
12,1378.0,0.7865,0.5992,218.1,1452.8
13,7098.0,0.6679,0.8280,263.8,768.0
14,1691.0,0.8064,0.7756,245.1,1497.7
15,331.0,0.8401,0.8369,262.8,1525.9
16,1999.0,0.8196,0.8046,283.9,1413.7
17,1112.0,0.7316,0.8999,286.1,1087.7
18,551.0,0.8199,0.9569,291.6,1531.9
19,436.0,0.8862,0.8305,305.4,1029.9
20,1131136.0,0.6112,0.7896,1016.9,1525.0
21,1481.0,0.7762,0.7669,337.3,1459.1
22,376.0,0.9104,0.8396,356.4,1427.8
23,1375.0,0.9154,0.7062,367.7,791.5
24,289.0,0.9414,0.8324,366.7,1717.2
25,398.0,0.8786,0.9452,405.9,1294.1
26,11282.0,0.7211,0.8137,488.8,792.7
27,341.0,0.9241,0.8700,460.8,390.1
28,1118.0,0.8521,0.9213,472.9,1198.6
29,34583.0,0.6649,0.9031,560.0,246.8
30,2743.0,0.8877,0.7175,566.5,539.6
31,1473.0,0.9299,0.5425,601.0,2194.6
32,68297.0,0.7464,0.8404,757.6,487.0
33,500.0,0.9208,0.7146,646.8,636.9
34,531.0,0.8033,0.8235,676.2,792.9
35,495.0,0.7808,0.5990,715.5,640.6
36,1726.0,0.8122,0.6683,756.6,1571.9
37,496.0,0.8393,0.8818,749.9,1182.2
38,9224.0,0.7521,0.9527,891.4,1192.4
39,5548.0,0.6878,0.8679,918.0,687.6
40,527.0,0.8668,0.7997,910.8,588.3
41,712.0,0.9295,0.7993,920.9,2072.0
42,40201.0,0.8503,0.9110,1013.7,285.0
43,909.0,0.8016,0.8566,960.1,1366.2
44,665.0,0.8648,0.8220,1130.7,171.3
45,22562.0,0.7599,0.5763,1237.4,174.0
46,819.0,0.8694,0.8189,1177.6,2012.8
47,354.0,0.9568,0.5678,1173.9,1932.4
48,782.0,0.8310,0.9758,1260.4,554.7
49,282.0,0.8731,0.9508,1288.1,2265.9
50,568.0,0.8529,0.7674,1359.2,1918.1
51,401.0,0.9176,0.6303,1366.2,153.8
52,959.0,0.7551,0.7725,1401.0,226.8
53,298.0,0.8638,0.8254,1395.4,199.1
54,574.0,0.8606,0.5920,1413.4,124.5
55,1374.0,0.8450,0.9160,1487.0,112.7
56,384.0,0.8807,0.4764,1489.0,892.6
57,794.0,0.8735,0.7998,1539.4,2255.1
58,2340.0,0.8764,0.6625,1578.2,1742.5
