id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,127186.0,0.5246,0.8194,387.0,254.0
2,681.0,0.7900,0.8169,110.5,475.2
3,17207.0,0.5428,0.8887,156.2,682.6
4,13950.0,0.7683,0.9771,125.3,973.6
5,878.0,0.7675,0.8231,116.8,1136.5
6,39764.0,0.7492,0.6792,188.4,1329.2
7,3.0,1.0000,1.0000,100.0,1500.0
8,26679.0,0.5832,0.9078,171.2,1729.2
9,1.0,1.0000,0.0000,100.0,1848.0
10,1476.0,0.8074,0.8031,125.6,1868.6
11,24494.0,0.7191,0.7590,182.5,1982.4
12,262.0,0.8647,0.8757,105.0,2161.6
13,20636.0,0.5615,0.8684,166.6,2387.4
14,28759.0,0.7866,0.6725,170.7,2623.9
15,331.0,0.9118,0.9310,104.6,2774.6
16,1036.0,0.9056,0.7692,112.7,2829.5
17,74510.0,0.7652,0.9332,184.2,3125.9
18,93.0,0.9118,0.5411,104.2,3475.3
19,102473.0,0.7241,0.8408,230.8,3775.2
20,168.0,0.9130,0.8023,107.2,3818.2
21,2502.0,0.8583,0.7862,118.3,3866.7
22,6.0,0.7500,0.9574,100.2,3923.0
23,105.0,0.8974,0.7790,103.2,4122.1
24,2.0,1.0000,1.0000,100.0,4132.5
25,1683.0,0.8357,0.9038,113.5,4181.7
26,67449.0,0.7538,0.9248,175.3,4515.2
27,25.0,0.7576,0.9880,100.5,4502.4
28,42.0,0.9130,0.9063,101.5,4787.9
29,25823.0,0.5777,0.6074,188.2,4971.3
30,53.0,0.8983,0.7809,102.2,5080.1
31,439.0,0.7882,0.7521,111.1,5143.0
32,91.0,0.9579,0.8088,103.0,5170.4
33,34209.0,0.8217,0.4502,182.5,5313.2
34,135.0,0.8333,0.9621,102.4,5453.3
35,711832.0,0.3385,0.9299,968.8,5414.1
36,484.0,0.7118,0.8977,118.2,2206.5
37,1108.0,0.8556,0.7974,183.7,558.2
38,325.0,0.9181,0.7820,171.7,1897.7
39,11038.0,0.7490,0.5444,236.5,1128.2
40,401.0,0.9072,0.6132,181.2,5830.9
41,792.0,0.9041,0.6364,191.7,1474.8
42,9669.0,0.7618,0.7208,248.6,2299.8
43,4099.0,0.7827,0.8632,229.4,4065.3
44,3254.0,0.8378,0.8334,240.6,2060.8
45,8073.0,0.7564,0.7497,265.7,336.0
46,1887.0,0.8504,0.6730,231.4,3389.7
47,1372.0,0.8840,0.6585,232.5,4729.0
48,593.0,0.9165,0.6070,228.9,5466.1
49,556.0,0.8839,0.7884,233.3,680.9
50,1408.0,0.9481,0.6766,236.9,802.4
51,1773.0,0.9283,0.6222,244.9,4783.8
52,366.0,0.8841,0.7292,242.4,2789.9
53,1554.0,0.8875,0.5885,259.4,1033.0
54,1668.0,0.8012,0.6846,267.1,602.8
55,808.0,0.8716,0.6981,257.4,4357.9
56,4179.0,0.7846,0.8818,307.5,3451.1
57,411.0,0.8877,0.8078,271.2,1710.3
58,1531.0,0.7101,0.6586,297.7,4334.1
59,1263.0,0.7024,0.6563,303.1,1685.1
60,1512.0,0.7912,0.4677,301.0,2994.3
61,471.0,0.9128,0.7124,296.2,5041.1
62,4071.0,0.8063,0.8400,403.3,5295.0
63,454.0,0.8407,0.8963,403.1,4921.6
64,2053.0,0.8785,0.8871,409.1,336.0
65,462.0,0.8462,0.7696,406.3,6185.7
66,2985.0,0.9540,0.7230,451.8,2535.5
67,2346.0,0.9410,0.6834,450.6,1888.2
68,2238.0,0.9507,0.6952,454.8,550.8
69,1967.0,0.9457,0.6126,453.4,3897.1
70,1610.0,0.8817,0.6651,455.0,4546.5
71,2019.0,0.9296,0.6588,453.9,5226.0
72,1088.0,0.8041,0.7405,456.6,3207.2
73,1779.0,0.9368,0.6100,456.5,1218.2
74,37914.0,0.9154,0.8439,527.1,5873.5
75,880.0,0.8739,0.7580,463.7,1003.7
76,1519.0,0.8269,0.8645,506.7,3867.4
77,1908.0,0.8051,0.8205,524.2,5516.9
78,1658.0,0.9065,0.6806,519.1,1010.4
79,1407.0,0.8894,0.7016,525.6,3767.0
80,28278.0,0.7317,0.6282,661.7,1150.0
81,576.0,0.8875,0.6825,523.9,6184.8
82,6679.0,0.8835,0.8680,595.4,5034.8
83,20420.0,0.5753,0.9412,688.0,3822.8
84,1586.0,0.8885,0.4171,572.9,3756.1
85,6068.0,0.8659,0.9545,606.5,2858.4
86,6668.0,0.9474,0.9475,587.1,2280.5
