id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,127.0,0.9621,0.8028,103.5,516.6
2,129.0,0.9416,0.8907,103.1,619.8
3,76166.0,0.5661,0.9755,567.9,835.7
4,42000.0,0.7497,0.7134,190.6,994.1
5,338.0,0.9602,0.8035,109.1,1205.5
6,356.0,0.9128,0.9478,104.5,1268.5
7,52.0,0.9455,0.9621,101.3,1312.7
8,17.0,0.8947,0.9186,100.8,1351.0
9,123.0,0.9609,0.9325,102.6,1367.0
10,3427.0,0.8111,0.9156,118.8,1654.9
11,281.0,0.8700,0.9510,104.2,1936.3
12,4654.0,0.6461,0.7506,133.9,2025.0
13,464.0,0.8722,0.8860,113.1,2251.2
14,9329.0,0.6316,0.8757,157.0,2317.6
15,2.0,1.0000,1.0000,100.0,2394.5
16,42.0,0.9130,0.8735,101.6,2633.7
17,36.0,0.9231,0.9449,101.1,2665.2
18,2123.0,0.6886,0.6725,127.6,2727.8
19,4837.0,0.8165,0.8699,124.5,2986.2
20,246.0,0.8425,0.8982,104.8,3139.7
21,52.0,0.9630,0.9625,101.3,3308.0
22,517.0,0.6430,0.7819,113.9,3359.6
23,524.0,0.8304,0.9406,117.1,3392.3
24,144.0,0.9536,0.7176,104.3,3585.4
25,12500.0,0.6384,0.8333,143.3,3725.2
26,52.0,0.9123,0.8180,102.1,3720.9
27,413.0,0.9157,0.8795,107.3,3889.8
28,244.0,0.9421,0.8716,104.5,3952.4
29,47.0,0.9400,0.9601,101.2,3989.5
30,2823.0,0.8235,0.6778,127.1,4056.1
31,19.0,0.9048,0.9422,100.7,4232.0
32,1.0,1.0000,0.0000,100.0,4271.0
33,591.0,0.8968,0.6139,116.6,4192.8
34,362.0,0.9330,0.6230,120.1,2476.7
35,529.0,0.9043,0.7485,126.6,1796.9
36,509.0,0.9073,0.8996,136.9,765.7
37,542.0,0.7947,0.6547,137.6,1196.2
38,824.0,0.9015,0.5598,143.3,1747.8
39,981.0,0.9229,0.5011,145.4,2427.1
40,964.0,0.9332,0.6270,146.6,3070.7
41,434.0,0.9476,0.8375,160.5,834.2
42,511.0,0.9158,0.7547,161.9,2261.7
43,431.0,0.9269,0.8466,166.5,4264.3
44,885.0,0.8912,0.7920,167.9,4013.2
45,414.0,0.9220,0.4813,169.5,1284.7
46,500.0,0.8787,0.8657,175.2,2670.8
47,537.0,0.9227,0.7120,181.8,2391.8
48,354.0,0.8962,0.6809,186.9,3039.1
49,691.0,0.9128,0.8609,197.8,1196.2
50,1431.0,0.8393,0.8791,209.7,2928.5
51,1895.0,0.7529,0.8333,209.6,3604.4
52,467.0,0.8475,0.8235,199.6,3870.3
