id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,2393.0,0.6538,0.8813,122.5,624.9
2,4453.0,0.7516,0.9477,156.8,774.0
3,833.0,0.9084,0.7751,259.0,814.0
4,7272.0,0.6884,0.9402,381.0,679.3
5,933.0,0.9501,0.8597,308.8,714.2
6,367.0,0.8780,0.8896,363.2,875.7
7,398.0,0.8786,0.8747,484.8,693.7
8,1974.0,0.7233,0.8896,514.0,746.3
9,517.0,0.9265,0.5857,542.2,898.4
10,6271.0,0.6716,0.9625,677.7,761.7
11,1169.0,0.9140,0.7520,777.6,943.8
12,947.0,0.7163,0.9342,821.8,753.7
13,1154.0,0.8870,0.9364,842.2,939.7
14,31843.0,0.2871,0.9566,1199.7,731.2
15,499.0,0.9345,0.9373,954.0,868.1
16,563.0,0.8292,0.7418,977.9,706.2
17,26977.0,0.8041,0.9934,1078.7,2523.5
18,11914.0,0.7402,0.9550,1134.5,1216.8
19,406.0,0.8904,0.9371,1067.1,1325.2
20,5162.0,0.7687,0.9485,1095.9,1049.5
21,817.0,0.9028,0.9322,1098.2,846.9
22,573.0,0.9332,0.9209,1101.8,2012.1
23,12661.0,0.5496,0.9917,1154.8,1707.0
24,1054.0,0.9428,0.9437,1189.9,1658.3
25,833.0,0.9477,0.7487,1234.2,1414.5
26,478.0,0.9122,0.6704,1247.3,1672.7
27,1952.0,0.8641,0.6703,1340.7,705.3
28,2491.0,0.7676,0.8138,1485.4,621.3
29,2041.0,0.8786,0.6411,1499.5,495.0
30,1784.0,0.9399,0.7689,1529.0,724.8
31,1624.0,0.8534,0.4600,1554.7,232.5
32,12155.0,0.5188,0.5803,1612.9,787.2
33,352.0,0.9337,0.6709,1570.5,627.9
34,6711.0,0.4941,0.9886,1727.7,659.3
35,4577.0,0.8941,0.9963,1726.1,108.9
36,331.0,0.8874,0.8186,1608.8,494.5
37,415.0,0.9410,0.5797,1646.4,500.0
38,532.0,0.9048,0.8009,1682.2,507.6
39,562.0,0.8836,0.7900,1682.5,461.8
40,353.0,0.6326,0.9470,1701.4,183.0
41,93902.0,0.6931,0.8660,1971.7,507.9
42,1249.0,0.8710,0.8228,1714.5,821.8
43,529.0,0.8101,0.9109,1708.1,474.3
44,1236.0,0.7644,0.8943,1758.6,740.0
45,367.0,0.8595,0.6231,1760.4,822.0
46,381.0,0.8902,0.8043,1764.0,235.4
47,686.0,0.8245,0.5978,1785.9,612.4
48,1150.0,0.7723,0.8267,1794.3,840.9
49,1151.0,0.8999,0.5935,1802.3,407.8
50,392.0,0.8889,0.9619,1827.4,654.6
51,1511.0,0.7488,0.9483,1962.1,744.0
52,3437.0,0.7283,0.8478,2049.5,329.2
53,441.0,0.8963,0.9183,2031.3,805.6
54,618.0,0.9392,0.9276,2071.0,715.0
55,637.0,0.9048,0.8735,2115.3,698.1
56,506.0,0.8893,0.8841,2154.5,618.1
57,673.0,0.9347,0.7542,2158.7,682.7
58,476.0,0.7580,0.9935,2248.1,412.8
59,12.0,0.9231,0.9744,2250.7,308.8
