id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,4338.0,0.6674,0.8304,157.0,142.3
2,4139487.0,0.6831,0.6322,1151.2,1549.2
3,89.0,0.9368,0.5881,104.4,757.5
4,122.0,0.9104,0.7119,105.4,769.6
5,2.0,1.0000,1.0000,100.0,1623.5
6,99.0,0.9167,0.8304,103.2,1638.9
7,219.0,0.9563,0.7642,105.2,2103.3
8,6.0,1.0000,1.0000,100.0,2713.5
9,433.0,0.9135,0.8670,179.1,1074.5
10,2130.0,0.6880,0.6864,288.9,123.5
11,696.0,0.8689,0.7812,263.6,1061.1
12,766.0,0.8013,0.8258,269.4,1697.4
13,984.0,0.7822,0.8910,270.1,371.7
14,327.0,0.9160,0.8269,264.8,2528.7
15,928.0,0.7720,0.9226,285.0,297.1
16,685.0,0.8253,0.8719,283.7,996.0
17,440.0,0.8381,0.9115,292.3,169.1
18,1101.0,0.8405,0.6089,320.9,1236.3
19,1194.0,0.8003,0.6481,327.4,541.0
20,334.0,0.8608,0.8607,328.2,251.6
21,895.0,0.8279,0.6755,353.0,142.8
22,168.0,0.9333,0.6635,359.2,105.8
23,820.0,0.7315,0.9191,368.3,1307.3
24,1615.0,0.7713,0.7720,395.5,120.4
25,3365.0,0.7761,0.7736,428.2,1200.4
26,364.0,0.8368,0.6836,389.6,652.4
27,683.0,0.7313,0.9367,411.7,1087.6
28,1032.0,0.7489,0.7911,425.0,1843.0
29,1061.0,0.8577,0.5691,440.1,1023.9
30,391.0,0.9072,0.5739,442.3,327.7
31,734.0,0.9244,0.4693,451.3,1892.7
32,1251.0,0.9105,0.5420,456.5,177.1
33,45.0,0.9375,0.9200,472.5,101.4
34,1493.0,0.8221,0.8343,493.3,1840.8
35,432.0,0.8554,0.8895,489.7,759.2
36,414.0,0.9180,0.7314,501.3,637.6
37,357.0,0.8925,0.6536,594.5,1676.8
38,475.0,0.8407,0.6419,952.6,2424.5
39,502.0,0.8176,0.3450,957.2,1729.8
40,362.0,0.8744,0.8515,951.4,1105.8
41,1009.0,0.8373,0.6529,987.2,599.3
42,928.0,0.8529,0.5191,990.1,1862.8
43,450.0,0.9091,0.8195,985.3,2614.0
44,2486.0,0.7111,0.9140,1029.2,1728.4
45,473.0,0.8155,0.9006,1023.0,2584.7
46,646.0,0.8167,0.5773,1043.0,2411.0
47,1042.0,0.7518,0.6803,1081.8,2529.6
48,482.0,0.9359,0.7574,1066.5,2507.2
49,502.0,0.8325,0.8695,1097.8,2346.0
50,290.0,0.8841,0.7853,1102.0,2373.6
51,21430.0,0.6329,0.5434,1215.1,1768.7
52,543.0,0.8524,0.7195,1133.3,1775.3
53,2033.0,0.9199,0.5217,1152.3,2594.2
54,449.0,0.8472,0.9164,1147.1,977.8
55,811.0,0.6493,0.8571,1167.7,2478.2
56,1877.0,0.7840,0.7679,1179.0,1227.9
57,19070.0,0.6674,0.9056,1219.2,1107.9
58,7640.0,0.6995,0.9018,1226.7,2462.9
59,347.0,0.8262,0.7888,1216.0,2618.5
60,768.0,0.6821,0.9527,1257.2,1860.7
61,401.0,0.9072,0.6908,1249.6,1670.7
62,392.0,0.8253,0.8965,1278.2,1167.2
63,483.0,0.7728,0.8147,1281.8,2603.1
64,414.0,0.8697,0.8380,1273.4,2422.4
65,3122.0,0.7020,0.8534,1295.6,1089.6
66,1472.0,0.8695,0.7618,1319.5,315.4
67,1000.0,0.7252,0.8813,1357.5,1809.2
68,127.0,0.7605,0.9865,1614.9,101.8
69,831.0,0.9285,0.6047,1618.7,140.2
70,1329.0,0.6791,0.9412,1651.4,2530.6
71,266.0,0.8926,0.8581,1635.7,1747.4
72,1001.0,0.7907,0.8914,1675.5,128.2
73,1290.0,0.6786,0.7561,1689.5,615.0
74,333.0,0.9174,0.3640,1670.8,1025.3
75,1296.0,0.8504,0.7673,1700.8,565.1
76,549.0,0.8015,0.8881,1698.3,2576.5
77,724.0,0.7373,0.8977,1693.6,1935.5
78,373.0,0.8401,0.6750,1691.5,2602.2
79,316.0,0.9003,0.7185,1692.5,1277.6
80,760.0,0.8243,0.7640,1707.4,1897.7
81,743.0,0.7263,0.6047,1706.7,1242.8
82,6789.0,0.6147,0.9507,1784.0,2537.7
83,527.0,0.8365,0.7534,1707.8,2318.2
84,829.0,0.7571,0.8033,1722.9,453.5
85,412.0,0.8747,0.9070,1715.7,1762.6
86,1273.0,0.7810,0.8960,1729.0,392.1
87,397.0,0.8393,0.7455,1718.3,1107.8
88,279.0,0.9426,0.8157,1714.0,1153.2
89,835.0,0.7462,0.9088,1732.5,2390.3
90,2860.0,0.8242,0.6973,1757.8,1180.9
91,1117.0,0.8311,0.8296,1739.2,1694.7
92,448.0,0.9162,0.7490,1736.2,209.0
93,807.0,0.7486,0.7752,1746.1,1839.9
94,13933.0,0.5995,0.7819,1830.8,541.2
95,425.0,0.9140,0.8060,1736.4,1013.2
96,642.0,0.7254,0.9260,1746.5,2437.1
97,518.0,0.8648,0.7401,1758.2,191.3
98,404.0,0.8487,0.7921,1756.8,1761.4
99,24.0,0.9600,0.9488,1755.9,100.8
100,469.0,0.8228,0.5751,1768.3,2337.0
101,631.0,0.8728,0.5909,1775.8,331.3
102,935.0,0.8610,0.6793,1788.2,179.5
103,316.0,0.9240,0.8569,1782.8,1792.0
104,557.0,0.8799,0.8764,1794.6,108.0
105,329.0,0.8727,0.9071,1795.5,608.7
106,13951.0,0.6192,0.9076,1877.0,212.7
107,1687.0,0.8525,0.7907,1837.5,2502.0
108,5632.0,0.6892,0.7872,1888.3,409.1
109,668.0,0.8206,0.9012,1858.6,2435.1
110,636.0,0.7571,0.8319,1867.8,452.7
111,349.0,0.8450,0.9069,1866.6,1234.2
112,796.0,0.8578,0.7171,1887.9,2661.1
113,1207.0,0.8548,0.7638,1925.3,1267.0
114,5.0,1.0000,1.0000,1911.0,100.0
115,915.0,0.7683,0.9152,1928.9,334.9
116,583.0,0.8177,0.9045,1929.8,1015.3
117,379.0,0.7565,0.8511,1939.4,551.1
118,3234.0,0.8524,0.6794,1967.6,2689.7
119,943.0,0.6804,0.7243,1958.4,1230.8
120,1079.0,0.7493,0.7385,1961.4,2587.6
121,39.0,0.8667,0.8652,1940.3,101.7
122,948.0,0.7714,0.8759,1960.7,143.8
123,1421.0,0.6398,0.8527,1959.1,419.0
124,17716.0,0.6041,0.9313,2017.3,210.2
125,826.0,0.7641,0.7718,1959.4,1770.3
126,519.0,0.7372,0.9470,1950.5,1102.9
127,387.0,0.8413,0.6461,1960.2,2343.1
128,1008.0,0.8155,0.8405,1968.4,1931.6
129,607.0,0.8549,0.8568,1968.4,596.2
130,719.0,0.7285,0.7290,1980.5,1147.0
131,249.0,0.8300,0.9045,1975.8,107.5
132,397.0,0.7877,0.6671,1983.5,1096.9
133,877.0,0.7364,0.9422,2005.8,425.1
134,744.0,0.7974,0.7429,2019.5,1759.1
135,329.0,0.8479,0.8402,2012.8,371.4
136,318.0,0.8760,0.9138,2014.9,401.6
137,487.0,0.9154,0.6011,2027.9,2691.9
138,471.0,0.8887,0.8866,2034.7,1173.0
139,492.0,0.8945,0.9079,2039.1,1819.7
140,4394.0,0.7469,0.7029,2079.2,2383.3
141,782.0,0.8747,0.8046,2100.3,2476.0
