id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,5513746.0,0.7432,0.7332,1195.1,1762.4
2,3.0,1.0000,1.0000,100.0,1149.0
3,23.0,0.9200,0.9589,100.7,1421.9
4,193.0,0.9602,0.8266,104.3,1910.8
5,431.0,0.9431,0.7880,119.9,933.5
6,290.0,0.9477,0.8304,122.0,735.8
7,485.0,0.8030,0.7938,226.7,1627.9
8,435.0,0.8463,0.8397,225.9,2939.7
9,656.0,0.8210,0.7942,264.0,1022.2
10,882.0,0.8313,0.7813,298.6,1677.1
11,458.0,0.8312,0.5870,302.6,3002.6
12,3266.0,0.5341,0.8872,384.6,3152.5
13,420.0,0.7368,0.8441,348.5,428.5
14,1112.0,0.6043,0.8623,383.4,1825.8
15,464.0,0.7669,0.8391,376.9,2495.8
16,525.0,0.8468,0.8382,390.2,2471.9
17,474.0,0.8571,0.8570,398.2,1093.9
18,1629.0,0.8440,0.7449,448.0,3225.4
19,681.0,0.8653,0.8364,456.6,1077.1
20,636.0,0.8491,0.8462,463.0,3076.3
21,1379.0,0.8150,0.8224,480.2,3006.3
22,1435.0,0.8080,0.8900,484.2,1004.3
23,834.0,0.8467,0.9246,506.3,507.1
24,1489.0,0.8602,0.7484,615.5,3296.4
25,377.0,0.8549,0.8129,617.7,213.5
26,733.0,0.7243,0.8686,627.1,1063.0
27,730.0,0.8881,0.8598,641.6,216.0
28,1159.0,0.8273,0.9379,665.4,265.4
29,1980.0,0.8233,0.8189,685.4,307.7
30,2998.0,0.8563,0.8153,964.5,1918.7
31,2885.0,0.8594,0.8142,966.4,2586.9
32,1133.0,0.8041,0.9241,984.9,424.6
33,389.0,0.8683,0.8538,987.5,1301.6
34,797.0,0.7292,0.8618,1005.6,1006.7
35,387.0,0.8413,0.5867,1004.2,1058.2
36,319.0,0.8812,0.6740,1013.7,370.5
37,678.0,0.7197,0.8905,1024.5,257.3
38,5033.0,0.7652,0.4129,1077.1,389.9
39,5947.0,0.5488,0.5833,1093.9,1044.5
40,597.0,0.9087,0.7745,1068.1,443.3
41,8809.0,0.5524,0.9499,1155.3,3192.0
42,10185.0,0.6665,0.8236,1176.3,1875.0
43,1698.0,0.7722,0.8681,1134.5,334.1
44,362.0,0.8873,0.6659,1126.2,2983.0
45,508.0,0.8425,0.8515,1144.1,1112.7
46,570.0,0.9238,0.8746,1161.5,2315.4
47,389.0,0.8644,0.7387,1160.9,455.9
48,580.0,0.8657,0.7684,1221.9,3277.3
49,3877.0,0.8089,0.7498,1278.2,3294.0
50,4230.0,0.7648,0.8876,1301.7,1328.5
51,3431.0,0.7200,0.7509,1296.5,1997.5
52,4928.0,0.6587,0.8120,1317.0,2669.5
53,421.0,0.8938,0.8630,1267.7,2572.2
54,315.0,0.8924,0.8788,1270.7,216.2
55,448.0,0.9552,0.8226,1275.8,298.6
56,758.0,0.8151,0.9312,1301.2,1946.4
57,186.0,0.7470,0.8917,1297.2,105.8
58,1118.0,0.7668,0.7142,1308.6,1053.8
59,506.0,0.8490,0.8757,1333.4,335.3
60,44.0,0.9565,0.8593,1328.7,101.7
61,810.0,0.8141,0.9593,1346.8,470.2
62,562.0,0.8438,0.7811,1341.3,1126.2
63,909.0,0.8592,0.7091,1365.7,2027.2
64,765.0,0.6818,0.9383,1371.4,1322.8
65,318.0,0.8736,0.8873,1371.2,106.7
66,733.0,0.8664,0.7270,1373.7,3079.4
67,431.0,0.8655,0.8060,1377.2,1263.3
68,392.0,0.8991,0.7887,1385.0,2074.1
69,413.0,0.9157,0.6277,1601.3,651.7
70,413.0,0.9057,0.8000,1640.8,3091.3
71,318.0,0.9191,0.7420,1641.0,2446.5
72,2837.0,0.6000,0.7214,1679.2,3042.4
73,351.0,0.8397,0.6210,1653.7,3312.5
74,367.0,0.7909,0.9315,1666.2,253.8
75,4352.0,0.6923,0.6737,1738.6,2413.0
76,346.0,0.8693,0.7430,1692.1,1962.9
77,32.0,0.8649,0.8708,1711.4,101.3
78,3105.0,0.8577,0.8012,1754.4,494.5
79,3901.0,0.6359,0.9352,1771.2,3177.4
80,361.0,0.7568,0.9088,1740.8,3093.5
81,2150.0,0.8285,0.8773,1754.0,3039.6
82,690.0,0.9176,0.8891,1767.8,346.0
83,890.0,0.8165,0.8802,1793.6,323.6
84,3022.0,0.7287,0.8101,1848.2,3171.4
85,509.0,0.9204,0.7928,1822.1,520.4
86,522.0,0.7909,0.9249,1866.1,2488.3
87,1079.0,0.7237,0.9658,1869.1,1728.8
88,1572.0,0.7984,0.9393,1887.1,3252.5
89,351.0,0.9000,0.8636,1893.4,3029.2
90,3331.0,0.6270,0.8676,1945.6,3310.7
91,323.0,0.8411,0.8286,1914.8,224.6
92,4154.0,0.7278,0.9412,1989.6,2700.1
93,1019.0,0.8055,0.8834,1994.6,1682.3
94,350.0,0.9333,0.5770,1984.4,2647.6
95,2257.0,0.7295,0.5525,2007.1,1365.0
96,298.0,0.9283,0.8152,2123.6,1144.9
97,588.0,0.8842,0.8591,2135.3,3111.0
98,382.0,0.9294,0.8268,2148.4,1082.5
99,1218.0,0.8174,0.9584,2268.2,1022.4
100,206.0,0.8175,0.8546,2268.7,3511.7
101,3.0,1.0000,1.0000,2277.0,2011.0
