id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,2775029.0,0.4752,0.7099,1096.9,1484.9
2,6359.0,0.5604,0.6511,142.7,1546.2
3,3942.0,0.7141,0.9240,119.1,2173.3
4,2.0,1.0000,1.0000,100.0,2604.5
5,4021.0,0.7359,0.9465,118.0,2798.6
6,179387.0,0.7215,0.8145,347.6,3208.6
7,650.0,0.7937,0.7047,169.8,2171.3
8,397.0,0.8237,0.9333,208.2,1933.1
9,330.0,0.9192,0.8656,218.6,1452.8
10,415.0,0.8452,0.6543,218.5,1478.4
11,323.0,0.8568,0.8870,220.7,155.7
12,1403.0,0.8829,0.7668,270.2,989.7
13,372.0,0.8774,0.8282,256.6,1317.4
14,499.0,0.9073,0.7990,269.3,2848.4
15,708.0,0.8676,0.5977,270.1,364.7
16,387.0,0.8938,0.9159,272.4,939.1
17,388.0,0.8255,0.8586,272.0,1506.4
18,4494.0,0.7087,0.9393,367.9,514.8
19,1343.0,0.8473,0.6898,332.5,1768.6
20,1716.0,0.8416,0.9036,341.7,3017.1
21,1146.0,0.8508,0.5919,333.1,2390.7
22,128.0,0.9209,0.9183,342.1,3403.3
23,2016.0,0.7436,0.7231,401.0,2986.5
24,52.0,0.8814,0.8363,375.7,3403.4
25,4396.0,0.8035,0.8372,418.6,1035.2
26,692.0,0.8388,0.8471,390.2,2369.2
27,2848.0,0.8715,0.7240,411.3,394.5
28,1107.0,0.8405,0.6659,395.8,2884.7
29,869.0,0.8183,0.7716,401.7,1628.1
30,499.0,0.8515,0.7647,397.1,2166.0
31,900.0,0.7759,0.7378,401.4,2250.4
32,397.0,0.8575,0.6700,396.3,1537.9
33,407.0,0.8605,0.8567,404.2,1752.4
34,868.0,0.8620,0.4804,452.1,181.0
35,336.0,0.8984,0.7211,512.8,1808.9
36,342.0,0.8953,0.9368,522.5,3401.3
37,15109.0,0.7344,0.9055,579.1,1073.3
38,445.0,0.8918,0.9302,536.6,1186.6
39,8968.0,0.6724,0.9249,578.3,447.5
40,357.0,0.8925,0.6548,539.0,959.2
41,1462.0,0.7295,0.9661,575.2,109.0
42,1140.0,0.8762,0.5614,559.7,3130.6
43,8068.0,0.6859,0.9356,579.3,2310.0
44,814.0,0.7629,0.9708,574.6,3164.1
45,348.0,0.9231,0.8459,563.2,638.8
46,586.0,0.8960,0.7829,565.3,923.6
47,324.0,0.9474,0.5791,565.9,1880.9
48,465.0,0.8470,0.8296,573.7,296.7
49,907.0,0.7654,0.6109,599.0,1870.6
50,985.0,0.9408,0.5155,599.8,336.0
51,682.0,0.9130,0.8512,599.5,2500.2
52,961.0,0.9049,0.5946,604.7,639.6
53,541.0,0.7829,0.8510,624.6,1785.2
54,29574.0,0.6372,0.6801,752.0,3086.1
55,344.0,0.9005,0.6409,624.5,2451.3
56,1800.0,0.6482,0.7740,645.2,3173.7
57,1031.0,0.8760,0.7123,641.1,1948.5
58,563.0,0.7963,0.9417,659.7,1906.2
59,325.0,0.8784,0.8920,660.7,666.6
60,1693.0,0.8073,0.7842,695.4,209.9
61,542.0,0.7655,0.7097,689.1,2960.9
62,437.0,0.8828,0.5065,690.2,427.8
63,765.0,0.8070,0.8973,724.5,3262.9
64,478.0,0.8270,0.8236,716.2,1924.5
65,302.0,0.9152,0.8006,714.2,2020.2
66,401.0,0.8460,0.7941,729.9,2900.3
67,678.0,0.8043,0.9902,777.1,3401.5
68,1797.0,0.6332,0.8171,812.6,123.6
69,287.0,0.9379,0.7698,814.7,3349.6
70,269.0,0.7752,0.9570,835.9,3402.6
71,2424.0,0.7486,0.6415,855.6,3018.6
72,310.0,0.9172,0.6079,846.3,162.8
73,488.0,0.9260,0.8220,856.4,3264.9
74,327.0,0.9160,0.6445,856.8,3174.2
75,321.0,0.8492,0.7584,862.8,107.1
76,1531.0,0.7432,0.8130,880.3,2154.6
77,308.0,0.9277,0.8367,869.9,2935.1
78,107717.0,0.7499,0.6731,1112.8,3261.5
79,1.0,1.0000,0.0000,868.0,3406.0
80,845.0,0.8458,0.6199,893.5,2452.4
81,316.0,0.8294,0.9060,895.5,861.5
82,8.0,0.8000,0.9574,883.5,3405.8
83,373.0,0.8594,0.5467,897.2,3057.2
84,177.0,0.9465,0.9658,917.0,102.7
85,493.0,0.8741,0.7027,925.8,204.7
86,849.0,0.7676,0.5601,936.0,140.2
87,594.0,0.8919,0.6615,938.9,1832.6
88,1362.0,0.8346,0.7726,958.9,544.5
89,1282.0,0.8727,0.7627,956.7,2384.8
90,1508.0,0.8632,0.8244,966.3,2999.5
91,379.0,0.8594,0.7768,964.9,1827.7
92,2379.0,0.7286,0.8398,1020.7,2975.1
93,712.0,0.8269,0.6595,1006.0,1564.7
94,2011.0,0.8478,0.8204,1028.6,402.8
95,9231.0,0.7222,0.9435,1074.4,1583.1
96,888.0,0.8621,0.9454,1026.8,108.7
97,1210.0,0.8976,0.7188,1026.2,2248.7
98,1380.0,0.8146,0.7191,1027.8,1017.5
99,857.0,0.8536,0.5256,1022.4,2868.7
100,673.0,0.8541,0.7602,1076.9,2102.6
101,679.0,0.7231,0.9531,1088.0,1320.4
102,895.0,0.8950,0.8709,1088.7,1499.3
103,336.0,0.9256,0.7213,1137.7,585.2
