id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,2048.0,0.8248,0.9443,121.9,149.5
2,109.0,0.9561,0.6536,104.0,198.7
3,151073.0,0.5187,0.8311,389.2,507.4
4,1610.0,0.7785,0.8636,130.1,546.8
5,60.0,0.9231,0.9633,101.4,659.5
6,3206.0,0.7841,0.8266,121.2,987.4
7,16.0,0.8889,0.9332,100.6,1030.5
8,4269.0,0.7826,0.8783,124.4,1672.9
9,37.0,0.9487,0.8863,101.4,1708.6
10,682.0,0.7454,0.9052,116.2,1823.9
11,524.0,0.9177,0.5438,111.8,1893.3
12,38.0,0.9268,0.9433,101.2,1992.7
13,912.0,0.7119,0.9260,122.4,2040.0
14,3827.0,0.7943,0.8213,122.4,2341.3
15,404.0,0.8330,0.5628,110.9,2468.2
16,3589.0,0.8069,0.8341,122.6,3000.2
17,15.0,0.8824,0.9204,100.7,3038.7
18,10481.0,0.5950,0.8825,147.4,3705.0
19,8.0,0.8000,0.9574,100.2,3803.5
20,996.0,0.7800,0.9147,124.5,3882.3
21,251.0,0.7771,0.5721,106.2,3924.0
22,3245.0,0.8495,0.5687,132.6,4061.0
23,960.0,0.8297,0.9110,125.2,4191.9
24,367.0,0.9244,0.7924,123.9,2082.3
25,446.0,0.7471,0.6261,129.7,1358.3
26,474.0,0.8634,0.8987,136.2,1991.6
27,367.0,0.9633,0.8311,128.0,2197.2
28,568.0,0.7464,0.9309,146.1,2603.1
29,626.0,0.8067,0.9190,148.3,3924.4
30,357.0,0.9420,0.6516,141.2,1877.4
31,836.0,0.9543,0.4689,146.6,2432.8
32,550.0,0.8800,0.8868,168.2,2688.5
33,431.0,0.9229,0.9224,167.5,1337.1
34,633.0,0.8755,0.8818,170.2,2014.0
35,536.0,0.9085,0.8634,170.6,4008.5
36,550.0,0.8112,0.7725,175.4,268.9
37,2703.0,0.8213,0.8822,206.3,128.2
38,637.0,0.8316,0.7726,183.6,1730.3
39,362.0,0.9235,0.8159,183.7,1355.3
40,405.0,0.8672,0.7407,186.7,3059.9
41,527.0,0.8339,0.5435,195.8,3095.9
42,824.0,0.9450,0.7301,204.0,3618.9
43,729.0,0.9455,0.7397,204.8,1621.6
44,424.0,0.8249,0.6230,199.1,1764.2
45,705.0,0.9566,0.7994,204.5,2296.1
46,529.0,0.9379,0.7026,203.8,2952.4
47,483.0,0.9527,0.7667,205.2,943.1
48,427.0,0.7922,0.8642,225.3,2675.7
49,632.0,0.8766,0.6741,250.5,1339.8
50,681.0,0.9056,0.8521,272.9,2614.5
51,576.0,0.9275,0.8101,270.3,1941.0
52,947.0,0.9330,0.6834,275.6,3937.1
53,560.0,0.9475,0.7617,275.9,3272.6
54,401.0,0.9347,0.6609,273.2,1263.1
55,5594.0,0.5784,0.9678,388.9,256.0
56,452.0,0.8692,0.9093,311.3,342.1
57,1892.0,0.7851,0.8877,371.0,198.8
58,953.0,0.7498,0.7590,479.2,307.2
59,343.0,0.7522,0.6776,468.7,196.4
60,1527.0,0.8502,0.9660,512.9,711.9
61,736.0,0.7983,0.7851,496.5,241.0
62,2485.0,0.8452,0.9120,552.4,3638.7
63,2106.0,0.8897,0.8858,552.3,1639.0
64,1967.0,0.8261,0.8990,553.0,966.8
65,2062.0,0.8782,0.8821,555.2,2317.9
66,1837.0,0.9009,0.8841,555.1,2978.2
67,1705.0,0.8027,0.9836,624.4,4169.3
68,344.0,0.8958,0.8929,652.9,333.5
69,920.0,0.7331,0.8903,715.1,274.8
70,4344.0,0.6136,0.9154,767.8,339.7
71,347.0,0.7643,0.9741,729.8,228.1
72,555.0,0.8782,0.9109,750.1,503.6
73,377.0,0.9309,0.9078,764.0,562.1
74,5185.0,0.7705,0.9450,819.3,511.5
75,455.0,0.9248,0.7836,791.3,781.9
76,682.0,0.8811,0.9218,790.7,571.5
77,1338.0,0.8285,0.8918,948.1,974.6
78,2990.0,0.8575,0.9645,986.5,862.5
79,5501.0,0.6016,0.9751,1028.2,696.3
80,224858.0,0.5691,0.9275,1633.7,1073.6
81,411.0,0.9384,0.9309,995.1,655.5
82,397.0,0.8649,0.9599,1051.1,780.1
83,871.0,0.9345,0.5914,1094.6,1013.9
84,11225.0,0.4944,0.7230,1258.3,699.8
85,3583.0,0.8407,0.9403,1205.2,2990.7
86,2012.0,0.8390,0.9814,1204.2,1645.1
87,2502.0,0.8675,0.9200,1226.3,791.3
88,2441.0,0.8815,0.9602,1206.2,2292.6
