id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,534.0,0.9020,0.9918,133.7,4047.3
2,12203.0,0.5836,0.9987,381.5,4074.8
3,622.0,0.8873,0.9738,211.2,4048.6
4,480.0,0.8905,0.9877,472.3,4041.8
5,547.0,0.9480,0.9781,540.8,4036.6
6,1810.0,0.9211,0.9846,813.2,3907.3
7,394.0,0.9314,0.9199,820.9,4007.7
8,2086.0,0.7122,0.8134,962.7,3887.5
9,454.0,0.8631,0.9452,999.3,3833.2
10,603.0,0.9378,0.9654,1015.2,3901.7
11,2114.0,0.8761,0.9951,1139.6,3818.4
12,2613.0,0.6372,0.9978,1274.8,3750.4
13,2249.0,0.8657,0.9736,1290.3,3788.7
14,744.0,0.7983,0.9797,1327.8,3830.4
15,2372.0,0.8219,0.6007,1368.1,3792.2
16,16518.0,0.8086,0.6422,1543.1,3701.8
17,2241.0,0.7827,0.9851,1595.3,3810.8
18,1593.0,0.8597,0.9254,1682.7,3779.0
19,388.0,0.8798,0.7479,1676.1,3689.0
20,336.0,0.9008,0.8421,1697.6,3682.5
21,18362.0,0.4048,0.9861,1764.4,3208.5
22,282.0,0.9126,0.9664,1709.3,3731.1
23,619.0,0.9157,0.9283,1746.6,3704.1
24,642.0,0.9119,0.7778,1765.6,3637.9
25,1955.0,0.8697,0.9683,1791.7,3503.0
26,434.0,0.8395,0.9832,1791.2,3402.0
27,1714.0,0.8316,0.9870,1823.3,3463.5
28,332.0,0.9071,0.8223,1870.9,3252.4
29,608.0,0.8492,0.9716,1889.9,3196.8
30,404.0,0.9528,0.7540,1892.9,3410.4
31,409.0,0.8815,0.8130,1916.4,3376.6
32,486.0,0.9293,0.8863,1923.3,3247.1
33,2723.0,0.7468,0.9184,1977.6,3387.6
34,613.0,0.8820,0.8378,2022.1,3470.9
35,4237.0,0.6801,0.9841,2069.3,3610.4
36,417.0,0.8929,0.6091,2129.0,3562.2
37,1011.0,0.8037,0.7597,2154.9,3602.5
38,474.0,0.8960,0.6636,2189.4,3622.4
39,685.0,0.9025,0.9826,2226.1,3734.1
40,1236.0,0.8218,0.8358,2232.8,3632.4
41,1709.0,0.6880,0.9302,2282.6,3776.6
42,447.0,0.9236,0.9171,2347.3,3795.1
43,1113.0,0.7756,0.9874,2394.1,3781.0
44,6878.0,0.7351,0.9971,2556.2,3857.2
45,12219.0,0.4481,0.9953,2969.3,3899.7
46,5657.0,0.6394,0.9720,3404.2,3919.7
47,588.0,0.9408,0.9338,3401.7,3954.5
48,317.0,0.9057,0.9754,3481.7,3986.2
49,623.0,0.8887,0.9844,3510.8,3989.7
50,1274.0,0.9113,0.7914,3536.8,3920.3
