id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,7356.0,0.5918,0.9767,1328.5,6173.8
2,5759.0,0.6289,0.9549,1375.7,6201.8
3,481.0,0.9304,0.9585,1398.1,6241.2
4,520.0,0.8814,0.9627,1426.9,6129.7
5,2565.0,0.7169,0.9037,1493.8,5698.3
6,1870.0,0.7645,0.9895,1496.4,6011.0
7,4866.0,0.7994,0.9555,1529.0,5325.7
8,854.0,0.8348,0.9301,1531.3,5522.7
9,3519.0,0.6747,0.9946,1528.6,5808.3
10,510.0,0.9027,0.7840,1539.1,5451.8
11,1319.0,0.8218,0.9723,1565.6,5621.8
12,4906.0,0.5990,0.9938,1597.3,5333.0
13,342.0,0.9396,0.4923,1628.3,5073.4
14,569.0,0.9267,0.8063,1652.1,5040.2
15,2626.0,0.6365,0.9917,1691.0,5110.3
16,8474.0,0.6628,0.9763,1718.2,4845.0
17,3003.0,0.7661,0.9722,1717.4,4404.6
18,44335.0,0.7168,0.9065,1792.6,3863.3
19,634.0,0.7557,0.9478,1723.7,4624.1
20,4085.0,0.7358,0.9884,1763.7,4312.1
21,614.0,0.8964,0.9666,1773.8,4888.6
22,1872.0,0.6926,0.9616,1790.9,4166.4
23,2379.0,0.5922,0.9428,1815.1,4794.3
24,591.0,0.8995,0.7839,1797.3,4613.7
25,924.0,0.8339,0.9195,1799.9,4670.2
26,401.0,0.8234,0.7973,1804.0,4717.3
27,360.0,0.9524,0.7333,1812.4,4917.4
28,2635.0,0.6875,0.9480,1876.5,4758.7
29,1828.0,0.7541,0.9515,1876.7,4499.1
30,810.0,0.8240,0.7967,1899.4,3999.9
31,660.0,0.8605,0.9509,1884.7,4417.4
32,327.0,0.8321,0.8401,1894.7,4604.0
33,551.0,0.9092,0.9679,1897.8,4977.4
34,316.0,0.9186,0.7142,1899.5,4574.3
35,443.0,0.8143,0.9684,1898.1,4646.2
36,3451.0,0.6292,0.9859,1925.9,4961.3
37,3432.0,0.7162,0.9357,1939.0,4753.3
38,2422.0,0.6830,0.9880,1932.0,6170.8
39,2082.0,0.8242,0.9403,1943.5,4857.0
40,650.0,0.8655,0.9640,1927.8,4048.7
41,4635.0,0.6731,0.9583,1957.3,4591.1
42,4326.0,0.6251,0.9839,1947.4,5230.5
43,1834.0,0.7464,0.9812,1948.8,5536.8
44,1118.0,0.9075,0.9820,1948.3,5688.9
45,6065.0,0.6994,0.9463,1989.6,6189.5
46,393.0,0.8932,0.9407,1949.9,4190.5
47,760.0,0.8085,0.9590,1953.6,4329.3
48,1702.0,0.7445,0.9227,1959.0,5879.5
49,480.0,0.8481,0.8305,1953.8,6041.2
50,340.0,0.9067,0.9112,1952.3,4256.2
51,1424.0,0.8662,0.9865,1958.3,5971.4
52,265.0,0.9464,0.7788,1957.9,4992.9
53,493.0,0.8559,0.9489,1963.4,4945.7
54,671.0,0.9477,0.5473,1975.8,4909.2
55,69.0,0.9079,0.8556,1984.4,6260.8
56,1071.0,0.8707,0.9365,1993.6,4959.2
57,1769.0,0.8744,0.7711,2003.8,6066.6
58,423.0,0.8650,0.9166,2015.8,5517.0
59,301.0,0.9678,0.7361,2013.2,5253.5
