id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,3825.0,0.7347,0.9440,751.3,2191.9
2,3066.0,0.7197,0.9441,742.9,1661.4
3,499.0,0.8559,0.7882,759.7,1895.8
4,41772.0,0.5948,0.9226,866.1,1477.3
5,2096.0,0.7349,0.9819,790.5,2061.5
6,331.0,0.9272,0.8538,794.1,1954.2
7,1454.0,0.7449,0.9926,832.6,2093.3
8,2898.0,0.8933,0.9395,837.7,1973.7
9,363.0,0.9429,0.8183,881.8,2012.0
10,968.0,0.8529,0.9107,901.1,2139.2
11,5162.0,0.5446,0.9880,968.5,2015.6
12,2681.0,0.8229,0.8008,970.8,1801.7
13,1280.0,0.7195,0.8668,965.6,2200.9
14,742.0,0.7835,0.9907,995.8,1980.6
15,906.0,0.8737,0.8320,997.0,2221.1
16,567.0,0.8077,0.9523,1004.6,1875.2
17,577.0,0.7562,0.7845,1016.3,1923.3
18,3905.0,0.8357,0.9008,1044.7,2197.8
