id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,9.0,1.0000,1.0000,1072.0,6253.0
2,142.0,0.8820,0.9855,1097.5,6251.1
3,2011.0,0.7074,0.9176,1183.7,6222.1
4,15.0,0.8824,0.9204,1199.3,6252.3
5,533.0,0.9019,0.9611,1243.6,6231.1
6,1236.0,0.8431,0.9749,1268.5,6086.4
7,2089.0,0.7241,0.9785,1288.9,5963.3
8,490.0,0.8291,0.9606,1284.3,5636.1
9,5085.0,0.6122,0.9849,1331.2,5559.2
10,2329.0,0.7186,0.9908,1394.5,5338.8
11,1150.0,0.8419,0.9643,1419.9,5082.7
12,1169.0,0.8533,0.8733,1453.3,4928.9
13,36495.0,0.5936,0.9930,1500.4,4339.5
14,2127.0,0.7806,0.9861,1484.1,5008.2
15,892.0,0.8544,0.9502,1487.7,4834.1
16,43477.0,0.4650,0.9857,1581.2,3785.3
17,1711.0,0.8685,0.9036,1497.3,4763.3
18,488.0,0.6787,0.7622,1515.1,4920.0
19,4788.0,0.6842,0.9855,1540.6,4625.7
20,360.0,0.8633,0.8051,1527.1,3760.0
21,1390.0,0.8323,0.9723,1531.5,4768.3
22,849.0,0.8117,0.9816,1567.0,4476.3
23,381.0,0.8301,0.7789,1573.0,4421.5
24,5663.0,0.6400,0.9044,1667.2,3440.0
25,5767.0,0.5987,0.9722,1727.6,3450.2
26,17958.0,0.7640,0.9687,1795.5,1736.5
27,411.0,0.8745,0.9637,1757.8,3465.7
28,4662.0,0.5591,0.9943,1843.1,3189.5
29,24740.0,0.7520,0.7391,1918.0,2008.1
30,463.0,0.9223,0.6180,1873.9,2733.9
31,880.0,0.9322,0.9730,1898.5,3139.6
32,648.0,0.8141,0.9744,1910.9,3052.1
33,1608.0,0.8673,0.9496,1947.5,3533.3
34,1004.0,0.7981,0.8977,1959.4,3395.5
35,3379.0,0.6478,0.9918,1997.3,3284.0
36,328.0,0.8367,0.8698,1981.5,3451.1
37,1869.0,0.8400,0.9624,2017.3,4915.0
38,416.0,0.8125,0.9816,2010.9,3399.9
39,378.0,0.8957,0.8412,2003.8,3529.9
40,1659.0,0.7698,0.9749,2009.6,3112.5
41,3134.0,0.4881,0.9885,2040.8,5183.9
42,395.0,0.9165,0.8462,2031.4,4075.1
43,460.0,0.8273,0.9799,2040.3,4794.1
44,5470.0,0.5468,0.9156,2074.6,4360.7
45,3993.0,0.6429,0.9817,2075.3,4671.4
46,1451.0,0.7377,0.9849,2062.1,5439.4
47,855.0,0.8097,0.9561,2064.8,2799.9
48,987.0,0.9130,0.9844,2061.8,5556.6
49,1138.0,0.9119,0.9813,2073.9,5784.5
50,814.0,0.8444,0.9882,2078.8,5944.7
51,1796.0,0.7546,0.9489,2099.7,4792.6
52,1525.0,0.7845,0.9933,2087.3,6192.8
53,1048.0,0.7354,0.9564,2108.9,2302.9
54,3.0,1.0000,1.0000,2173.0,6253.0
55,340.0,0.9315,0.9272,2195.1,6248.0
