id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,279.0,0.8746,0.8654,208.5,1091.5
2,1235.0,0.8529,0.8397,237.7,1425.3
3,570.0,0.8432,0.9632,249.0,1077.7
4,1183.0,0.7122,0.9658,276.6,1095.4
5,1823.0,0.7725,0.8189,304.5,1148.3
6,3566.0,0.7010,0.9258,380.7,1202.9
7,614.0,0.8552,0.9123,379.8,1658.8
8,3872.0,0.6726,0.8441,447.1,943.9
9,515.0,0.9213,0.9436,445.4,1615.0
10,7363.0,0.8136,0.8971,510.0,501.8
11,592.0,0.8889,0.8839,469.5,1594.9
12,8710.0,0.6172,0.9044,544.4,352.2
13,3531.0,0.7538,0.9770,490.9,1383.7
14,7068.0,0.7322,0.9392,572.5,1493.0
15,425.0,0.8817,0.8091,512.7,424.7
16,1336.0,0.7480,0.9783,524.2,1365.4
17,17170.0,0.5136,0.9599,601.1,667.9
18,655.0,0.8804,0.7477,561.5,446.3
19,2943.0,0.9123,0.8401,582.1,1405.6
20,272.0,0.8774,0.8255,621.1,877.1
21,1042.0,0.8698,0.9457,647.8,1618.1
22,331.0,0.8946,0.7744,628.5,277.6
23,937.0,0.8581,0.9349,631.5,232.8
24,499.0,0.9541,0.5861,651.7,972.6
25,835.0,0.8902,0.8729,673.2,705.6
26,1689.0,0.6388,0.9918,685.7,845.9
27,2779.0,0.6604,0.9929,699.2,588.7
28,28706.0,0.2291,0.9902,769.7,1786.3
29,2701.0,0.5951,0.9897,704.2,209.0
30,4534.0,0.4247,0.9554,752.5,2401.2
31,512.0,0.9209,0.9870,703.7,1943.2
32,465.0,0.9568,0.7626,864.0,2135.3
33,1327.0,0.5198,0.9830,1011.2,1160.6
34,3304.0,0.6152,0.9498,1148.0,1215.3
35,505.0,0.9546,0.9028,1189.4,1269.2
36,3590.0,0.6574,0.9347,1499.3,1150.8
37,805.0,0.8368,0.9708,1482.0,1203.2
38,1521.0,0.5477,0.9963,1650.4,1118.8
39,533.0,0.8514,0.9894,1662.2,1090.5
40,804.0,0.9210,0.9830,1752.1,2585.3
41,2033.0,0.8596,0.9957,1905.1,2580.9
42,3499.0,0.5132,0.9537,2218.5,1131.8
43,1234.0,0.8777,0.9640,2225.5,1240.6
44,1354.0,0.7581,0.8935,2261.1,1395.9
45,1023.0,0.7522,0.6126,2257.9,1356.0
46,1187.0,0.8466,0.9655,2286.9,1241.9
47,1696.0,0.7688,0.8531,2333.7,1155.9
48,535.0,0.9208,0.9803,2388.4,2614.5
49,1867.0,0.7115,0.8478,2437.6,3499.4
50,1590.0,0.8209,0.8357,2464.1,3423.7
51,410.0,0.8233,0.9312,2495.0,3330.7
52,432.0,0.8405,0.9174,2516.4,3378.4
53,1662.0,0.8638,0.9969,2656.4,2614.3
54,5001.0,0.7526,0.9566,2617.4,3417.5
55,381.0,0.9248,0.9779,2819.3,2655.2
56,413.0,0.9695,0.9509,3188.9,2617.6
57,3118.0,0.5603,0.9572,3255.7,1090.0
58,3711.0,0.7696,0.9981,3414.9,2662.5
59,318.0,0.9521,0.8241,3282.5,1177.1
60,2239.0,0.7209,0.7717,3316.9,1288.2
61,966.0,0.9508,0.9113,3348.0,1170.6
62,2072.0,0.6526,0.8449,3385.1,1074.9
63,719.0,0.8255,0.9755,3589.4,3246.4
64,631.0,0.7539,0.9077,3602.9,3065.1
65,633.0,0.9056,0.6760,3603.6,3282.8
66,72.0,0.9231,0.4737,3611.8,3262.3
