id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,13216.0,0.6131,0.9727,248.8,1601.7
2,4986.0,0.5995,0.8829,243.1,1488.9
3,2533.0,0.7985,0.5448,408.6,1631.2
4,1332.0,0.6985,0.6701,475.0,1633.5
5,6896.0,0.5158,0.8775,634.3,1546.5
6,722.0,0.8494,0.9333,1147.9,1443.3
7,1447.0,0.8623,0.9423,1323.4,1537.6
8,1370.0,0.8850,0.7192,1579.3,1495.0
9,4207.0,0.8407,0.9351,1789.6,1491.6
10,7105.0,0.4927,0.9603,2017.9,1526.8
11,847.0,0.9039,0.8226,2120.6,1601.0
12,587.0,0.8446,0.8858,2129.3,1577.7
13,170647.0,0.3819,0.9779,2368.9,1848.2
14,326.0,0.9341,0.6689,2182.0,1947.3
15,703.0,0.7423,0.9716,2181.3,2026.3
16,567.0,0.8804,0.9193,2189.0,2088.3
17,577.0,0.9291,0.8077,2195.9,1918.7
18,891.0,0.9330,0.8346,2253.4,1740.4
19,390.0,0.8705,0.7756,2271.4,1447.6
20,397.0,0.9319,0.6436,2312.2,2628.3
21,442.0,0.8684,0.7658,2384.7,2058.3
22,1486.0,0.9489,0.8086,2610.7,1181.1
23,486.0,0.8394,0.8897,2642.1,1001.0
24,1889.0,0.8444,0.6197,2663.5,1126.9
25,2531.0,0.7490,0.9624,2691.6,1441.0
26,226665.0,0.3368,0.9945,3764.3,1316.8
27,981.0,0.8061,0.9210,2794.7,1057.8
28,1221.0,0.7396,0.9610,2807.9,993.7
29,390.0,0.9242,0.8686,2945.2,731.2
30,1045.0,0.9063,0.8296,2970.2,872.8
31,430.0,0.8776,0.9493,3089.9,1450.4
32,11215.0,0.5951,0.9841,3474.3,977.9
33,718.0,0.7357,0.9074,3460.1,820.1
34,289.0,0.9353,0.5975,3578.1,592.6
35,8593.0,0.6883,0.9629,3647.7,720.0
36,746.0,0.7581,0.8321,3733.7,1109.2
37,819.0,0.9360,0.8012,3902.8,422.7
38,520.0,0.8904,0.6034,3911.3,855.0
39,7778.0,0.7628,0.9840,4063.1,1126.9
40,6672.0,0.7424,0.9752,4093.0,839.6
41,399.0,0.9410,0.5951,4073.7,721.3
42,313.0,0.8817,0.8174,4118.5,987.5
43,440.0,0.7928,0.9339,4154.7,541.9
44,305.0,0.9215,0.8569,4203.5,1398.0
45,49424.0,0.6743,0.8780,4458.1,901.7
46,1457.0,0.5488,0.9224,4419.9,1110.2
47,717.0,0.7940,0.9697,4490.6,1084.3
48,329.0,0.8436,0.8227,4600.2,723.3
49,517.0,0.8285,0.8045,4770.7,220.9
50,1027.0,0.6815,0.9487,4909.0,745.8
