id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,23349.0,0.4226,0.9905,325.6,266.8
2,492.0,0.8571,0.8976,445.5,335.4
3,849.0,0.8259,0.9225,457.9,250.5
4,466.0,0.9191,0.9573,577.5,1584.9
5,61537.0,0.2587,0.9917,707.2,1278.2
6,904.0,0.9358,0.9510,595.7,987.7
7,12866.0,0.6874,0.9742,683.4,318.5
8,465.0,0.7881,0.9793,611.4,905.2
9,437.0,0.8602,0.9761,666.7,2565.1
10,2140.0,0.8639,0.8298,711.7,969.5
11,371.0,0.8897,0.8248,718.7,310.3
12,402.0,0.8835,0.5165,740.8,1765.1
13,612.0,0.8476,0.8518,744.9,1800.8
14,2118.0,0.9384,0.7197,760.6,1412.7
15,347.0,0.7941,0.9674,773.5,488.4
16,23110.0,0.5144,0.9947,843.7,2583.8
17,1413.0,0.8543,0.9361,851.4,2196.5
18,473.0,0.8284,0.8990,904.9,1789.9
19,798.0,0.8906,0.9898,896.9,2990.2
20,4938.0,0.7980,0.9365,919.9,2121.6
21,312.0,0.8083,0.9379,965.6,3001.3
22,594.0,0.8354,0.9859,969.5,2708.0
23,43455.0,0.4493,0.9987,1027.3,1707.8
24,2525.0,0.6925,0.9703,998.5,2438.0
25,8231.0,0.5982,0.9965,1013.8,2916.5
26,2064.0,0.7061,0.9909,1012.5,2600.4
27,409.0,0.7003,0.9457,1019.2,2695.3
28,417.0,0.8968,0.8363,1060.5,1030.6
29,1014.0,0.7047,0.4700,1084.6,827.9
30,4630.0,0.6711,0.9926,1205.1,361.7
31,728.0,0.9043,0.9716,1193.2,798.3
32,5616.0,0.8178,0.9378,1226.9,678.6
33,1532.0,0.8197,0.8584,1223.3,113.6
34,1479.0,0.9018,0.9511,1249.8,550.3
35,1088.0,0.7116,0.9714,1448.6,194.7
36,1095.0,0.8333,0.9817,1841.7,107.7
