id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,492.0,0.9231,0.9162,246.2,767.7
2,667.0,0.8788,0.9705,254.5,817.1
3,1543.0,0.9409,0.7954,340.4,552.3
4,475908.0,0.5904,0.9212,715.8,1044.5
5,1317.0,0.8351,0.8049,766.3,295.4
6,356.0,0.9393,0.8220,760.6,394.3
7,544.0,0.8382,0.7649,820.5,289.2
8,1429.0,0.6867,0.8689,869.5,906.0
9,2124.0,0.8673,0.7017,969.8,358.9
10,408.0,0.9047,0.7967,1042.9,315.4
11,647.0,0.8791,0.8549,1067.1,336.1
12,254139.0,0.6954,0.9697,1278.4,651.9
13,532.0,0.8024,0.9466,1132.7,986.5
14,811.0,0.8474,0.8427,1201.7,1038.8
15,909.0,0.7796,0.9229,1352.5,1012.3
16,535.0,0.8814,0.9007,1479.6,900.6
17,1267.0,0.9248,0.8264,1494.4,829.9
