id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,77.0,0.9277,0.7557,102.9,4742.6
2,179431.0,0.7467,0.9211,550.2,4778.1
3,532.0,0.7940,0.9663,200.6,4714.7
4,5748.0,0.8206,0.9885,274.1,4306.1
5,552.0,0.9246,0.9420,255.5,4453.7
6,1326.0,0.9014,0.9363,360.7,4646.8
7,511.0,0.8720,0.6583,391.8,4543.3
8,489.0,0.8534,0.8583,530.8,4665.6
9,1269.0,0.8156,0.9533,533.1,866.6
10,5438.0,0.9360,0.9383,565.7,277.1
11,14224.0,0.8771,0.7228,623.9,4265.9
12,452.0,0.8028,0.7629,570.0,4616.2
13,1367.0,0.9187,0.8891,598.2,1538.4
14,353.0,0.9619,0.5333,612.9,3479.9
15,402.0,0.8375,0.5997,620.9,3604.4
16,452.0,0.7834,0.8588,647.8,3570.7
17,1037.0,0.8217,0.8786,678.4,2263.8
18,531.0,0.8009,0.8951,683.3,3636.3
19,31335.0,0.6324,0.9692,745.5,4053.0
20,413.0,0.8750,0.8164,716.4,3613.9
21,4460.0,0.7025,0.9604,732.1,1467.3
22,4632.0,0.7398,0.9522,733.9,2798.7
23,20428.0,0.6520,0.6800,798.8,4417.4
24,2597.0,0.7482,0.9579,735.9,793.4
25,3461.0,0.8629,0.9143,736.8,3451.3
26,2837.0,0.8030,0.9667,735.5,2111.2
27,720.0,0.7563,0.8505,751.7,3587.4
28,1052.0,0.7940,0.9241,762.9,2804.4
29,451.0,0.9130,0.8657,774.8,3714.1
30,8820.0,0.8509,0.5774,849.6,2709.3
31,29923.0,0.8496,0.9827,956.9,1829.4
32,67227.0,0.7257,0.8894,1187.7,4835.1
33,720.0,0.9449,0.8757,956.7,4771.4
34,342.0,0.9000,0.8345,960.0,4562.6
35,662233.0,0.3415,0.7122,2158.4,4152.0
36,1227.0,0.8450,0.9953,1069.7,4328.2
37,358.0,0.8972,0.9573,1081.5,4292.2
38,4258.0,0.7968,0.9735,1138.0,3538.5
39,3527.0,0.8694,0.8044,1140.5,3366.1
40,3054.0,0.8196,0.5731,1156.4,4706.8
41,1024.0,0.8605,0.8190,1159.6,3488.2
42,300.0,0.9404,0.5064,1192.2,4263.4
43,1326.0,0.7404,0.9644,1257.2,4254.2
44,355.0,0.9245,0.8140,1235.5,4693.4
45,350.0,0.7937,0.9054,1294.5,4271.9
46,328.0,0.8913,0.8965,1323.9,4260.1
47,3648.0,0.8207,0.9232,1338.8,3652.5
48,3448.0,0.6498,0.6562,1347.0,2870.5
49,8446.0,0.7678,0.9272,1352.2,3371.7
50,485.0,0.9417,0.7985,1328.9,899.3
51,2668.0,0.7547,0.7572,1355.1,4670.7
52,4026.0,0.5794,0.9303,1424.8,2405.6
53,27028.0,0.8347,0.9492,1421.6,3902.5
54,4767.0,0.6684,0.9461,1405.9,2225.2
55,3318.0,0.7666,0.8614,1380.1,2764.4
56,2172.0,0.8243,0.9431,1377.6,777.5
57,919.0,0.8264,0.8806,1367.4,2142.7
58,2115.0,0.7813,0.9205,1382.9,1428.2
59,846.0,0.9276,0.8557,1379.5,2095.6
60,556.0,0.8811,0.9024,1388.0,4269.2
61,374.0,0.8698,0.5727,1386.1,714.4
62,576.0,0.8521,0.8154,1394.0,1571.4
63,370.0,0.9113,0.6345,1392.4,2702.5
64,720.0,0.8867,0.8901,1397.4,4093.7
65,550.0,0.9615,0.5492,1403.4,4478.1
66,332.0,0.8300,0.8595,1413.0,887.1
67,875.0,0.8821,0.8521,1438.0,4705.5
68,36066.0,0.6490,0.8740,1620.7,4821.0
69,22.0,0.9167,0.9511,1449.5,4926.3
70,377.0,0.8687,0.9284,1517.5,707.5
71,7847.0,0.7004,0.8688,1574.4,1782.5
