id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,42.0,0.8936,0.7622,101.9,2218.7
2,406.0,0.8476,0.8311,136.0,2071.5
3,4943.0,0.7872,0.9447,177.5,1626.5
4,898.0,0.9089,0.9250,266.7,727.7
5,1074.0,0.9179,0.8683,320.0,1341.9
6,982290.0,0.6463,0.8784,979.1,1502.1
7,3701.0,0.7592,0.7317,395.0,1573.1
8,852.0,0.9016,0.9568,421.5,1385.3
9,512.0,0.9030,0.6780,433.4,1619.2
10,336.0,0.8842,0.8235,442.6,1056.8
11,2331.0,0.9298,0.8958,519.7,1003.7
12,1175.0,0.8405,0.9654,538.2,786.0
13,21780.0,0.7469,0.8994,595.1,210.3
14,555.0,0.9407,0.8717,586.6,849.8
15,1587.0,0.9012,0.8127,729.7,573.6
16,40281.0,0.8802,0.9470,794.4,425.6
17,725.0,0.9074,0.7335,794.1,1085.6
18,623.0,0.8677,0.8666,820.2,788.5
19,334.0,0.9227,0.6853,824.3,1035.4
20,900.0,0.8065,0.8864,854.1,824.1
21,603.0,0.7976,0.8667,856.1,786.3
22,3543.0,0.8354,0.8288,935.5,1168.3
23,888.0,0.8663,0.8049,931.1,866.3
24,23506.0,0.8691,0.8609,1037.1,225.1
25,932.0,0.8550,0.7772,1028.1,1595.3
26,841.0,0.9324,0.6012,1123.1,422.6
27,6366.0,0.9485,0.8123,1224.5,143.0
28,310.0,0.8401,0.4295,1312.1,108.6
29,53061.0,0.7816,0.9246,1505.4,1937.0
30,505.0,0.8970,0.6242,1587.5,1658.0
31,360.0,0.9449,0.9454,1593.5,1518.8
