id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,375.0,0.9352,0.8127,107.5,110.1
2,61.0,0.9242,0.9536,101.5,2138.8
3,143.0,0.9346,0.5221,105.6,2197.7
4,253.0,0.8664,0.9519,103.7,2227.6
5,23.0,0.7667,0.9814,100.6,2253.7
6,1878.0,0.8365,0.4735,140.6,2250.1
7,6201.0,0.7541,0.7717,150.2,1697.1
8,408.0,0.9007,0.8887,241.0,772.7
9,1168.0,0.8626,0.8856,293.4,1398.3
10,981635.0,0.6414,0.8706,968.8,1545.3
11,1514.0,0.8032,0.9642,385.3,1442.4
12,435.0,0.9197,0.8984,385.7,1735.5
13,2474.0,0.7346,0.9261,502.2,815.6
14,1412.0,0.9121,0.8885,489.4,1070.5
15,28473.0,0.7290,0.9052,575.0,223.9
16,826.0,0.8930,0.5872,619.7,584.7
17,47087.0,0.8293,0.9404,770.2,477.2
18,494.0,0.9518,0.5230,755.8,1178.5
19,957.0,0.8076,0.8908,913.1,1257.6
20,29325.0,0.8757,0.8956,1018.9,283.5
21,350.0,0.8816,0.8550,955.9,450.5
22,11013.0,0.8997,0.8213,1213.5,187.8
23,1575.0,0.8156,0.6350,1295.8,149.8
24,55258.0,0.7710,0.9192,1502.3,2004.8
25,242.0,0.9528,0.7756,1598.7,206.1
