id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,389315.0,0.2952,0.9905,1639.9,2708.0
2,8.0,0.8000,0.9574,100.2,3144.5
3,17.0,0.8500,0.9480,100.6,3164.8
4,326.0,0.9422,0.7223,252.2,3070.2
5,682.0,0.8348,0.9674,291.0,2884.0
6,347.0,0.9084,0.9016,391.1,2611.7
7,302.0,0.9408,0.7014,545.3,2478.2
8,443.0,0.8204,0.9254,884.7,2626.0
9,24287.0,0.7766,0.3948,985.5,3527.7
10,10260.0,0.7419,0.4415,980.1,2997.5
11,416.0,0.9585,0.5097,930.6,3269.9
12,381.0,0.8523,0.8578,930.2,3057.6
13,1400.0,0.9321,0.6971,1059.3,3230.7
14,2192.0,0.8839,0.9463,1161.8,3499.0
15,34.0,0.8947,0.9363,1186.1,3599.9
16,975.0,0.9402,0.8978,1226.9,3469.7
17,2105.0,0.6545,0.9853,1333.3,2499.7
18,829.0,0.9304,0.7023,1306.6,3549.6
19,392.0,0.8270,0.4477,1416.2,2484.1
20,1989.0,0.6357,0.9808,1979.4,2473.4
21,370.0,0.9113,0.6592,2065.7,2473.4
22,568.0,0.8292,0.8821,2135.9,2466.8
23,728.0,0.9321,0.9115,2351.0,3456.2
24,898.0,0.9344,0.7883,3068.3,2763.3
25,1653.0,0.8751,0.7843,3475.2,2953.3
26,47.0,0.9038,0.9104,3634.4,2931.9
