id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,59272.0,0.1868,0.9874,910.3,716.1
2,3087.0,0.8582,0.9788,153.3,765.9
3,380.0,0.9572,0.7823,180.6,808.5
4,1011.0,0.9250,0.9264,258.7,805.3
5,1037.0,0.8707,0.8530,319.1,818.7
6,1097.0,0.8679,0.9013,322.9,721.9
7,412.0,0.9450,0.8984,362.5,879.9
8,406.0,0.9575,0.6603,366.1,836.7
9,1105.0,0.8861,0.8652,530.6,747.6
10,715.0,0.9286,0.8966,541.4,899.4
11,698.0,0.9484,0.7673,669.8,923.8
12,1143.0,0.9255,0.8248,777.0,945.7
13,1605.0,0.8690,0.7170,960.3,867.9
14,538.0,0.8054,0.9742,979.1,800.0
15,1763.0,0.7988,0.9858,1060.7,2569.5
16,7251.0,0.7377,0.9663,1129.7,1227.3
17,971.0,0.8803,0.9620,1066.1,2461.0
18,896.0,0.8327,0.9780,1066.5,2663.4
19,1223.0,0.8394,0.9916,1078.0,2313.0
20,1666.0,0.6693,0.8751,1088.4,1031.2
21,1228.0,0.8037,0.9753,1087.8,2605.6
22,1123.0,0.7820,0.9874,1095.3,2500.8
23,753.0,0.8932,0.9730,1090.6,2685.7
24,381.0,0.9478,0.7250,1098.1,846.1
25,493.0,0.9463,0.8968,1102.2,1096.6
26,424.0,0.8363,0.9534,1108.8,2411.1
27,1678.0,0.8501,0.9507,1133.4,1622.5
28,379.0,0.9244,0.9502,1178.7,1572.5
29,368.0,0.9316,0.5445,1233.5,502.0
30,418.0,0.9631,0.4705,1296.3,340.3
31,515.0,0.9626,0.5860,1391.3,419.0
32,514.0,0.9554,0.7269,1423.8,161.5
33,2472.0,0.7057,0.9555,1500.5,617.4
34,2749.0,0.8735,0.8457,1511.9,497.3
35,11022.0,0.6199,0.9030,1572.4,786.7
36,1594.0,0.8851,0.8521,1556.6,237.9
37,11108.0,0.7112,0.9914,1787.3,117.2
38,100754.0,0.6261,0.9372,1973.6,544.0
39,3413.0,0.8048,0.8831,1642.1,623.7
40,569.0,0.9222,0.8425,1605.0,422.7
41,648.0,0.8394,0.6429,1613.0,764.4
42,889.0,0.7651,0.9733,1633.3,236.3
43,440.0,0.9382,0.8640,1633.4,421.2
44,3075.0,0.5956,0.9662,1696.4,696.1
45,3250.0,0.8711,0.9400,1686.3,767.4
46,409.0,0.9512,0.8585,1686.2,466.8
47,3444.0,0.6651,0.9791,1752.8,829.9
48,351.0,0.9616,0.8381,1703.6,473.0
49,1017.0,0.8059,0.9199,1756.4,246.0
50,393.0,0.9014,0.8623,1759.8,763.3
51,1182.0,0.8425,0.8381,1782.7,707.8
52,1398.0,0.9688,0.4848,1800.3,405.4
53,3469.0,0.8228,0.9778,1854.6,229.3
54,573.0,0.9487,0.9061,1809.7,446.2
55,741.0,0.8667,0.9536,1833.8,194.7
56,422.0,0.9483,0.7921,1855.0,469.4
57,6436.0,0.7774,0.5164,1926.1,372.6
58,450.0,0.9474,0.8987,1960.7,428.7
59,322.0,0.9555,0.7858,1982.5,429.9
60,4693.0,0.8249,0.6477,2051.6,320.9
61,429.0,0.8864,0.9225,2199.3,215.3
62,295.0,0.7564,0.7107,2242.8,340.7
63,210.0,0.9251,0.9853,2248.7,296.2
