id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,6061775.0,0.7643,0.2073,1469.1,1487.2
2,1329.0,0.8675,0.8811,156.7,901.4
3,1071.0,0.9233,0.9733,414.3,2904.5
4,795.0,0.9266,0.7192,443.7,979.7
5,2867.0,0.8589,0.8389,543.5,554.5
6,5251.0,0.8815,0.6753,577.1,485.3
7,1336.0,0.9543,0.5707,600.1,2348.2
8,309.0,0.9335,0.5649,620.1,1341.1
9,1214.0,0.7522,0.9245,724.1,2682.1
10,307.0,0.9505,0.4614,709.4,1369.5
11,657.0,0.8866,0.9104,799.3,206.0
12,357.0,0.9545,0.9399,816.1,104.8
13,909.0,0.8903,0.6405,866.1,618.5
14,665.0,0.8926,0.7898,880.1,134.7
15,469.0,0.9037,0.6759,921.9,147.3
16,134.0,0.9371,0.9153,934.9,103.0
17,624.0,0.8851,0.7392,964.3,2308.3
18,10.0,0.8333,0.9644,984.0,100.3
19,1.0,1.0000,0.0000,993.0,100.0
20,1391.0,0.9687,0.4161,1119.3,2327.2
21,645.0,0.9267,0.4850,1151.6,1818.8
22,634.0,0.9534,0.7162,1155.7,2359.8
23,21444.0,0.6539,0.9166,1256.7,2455.6
24,1150.0,0.8364,0.8359,1196.7,1931.3
25,407.0,0.9667,0.6263,1287.3,2583.1
26,943.0,0.9458,0.8553,1318.6,2038.2
27,316.0,0.9433,0.5484,1321.0,1902.8
28,390.0,0.9028,0.8934,1320.5,1321.5
29,387.0,0.9509,0.6215,1322.8,1992.7
30,3101.0,0.8657,0.8028,1345.7,2492.4
31,1786.0,0.8385,0.7815,1355.8,1829.5
32,680.0,0.8354,0.8545,1356.9,2430.4
33,540.0,0.9091,0.7971,1399.6,692.6
34,414.0,0.9388,0.7585,1570.4,138.4
35,473.0,0.9498,0.7637,1600.9,1752.7
36,1602.0,0.9479,0.7111,1621.9,303.5
37,1780.0,0.9524,0.6645,1625.2,2329.0
38,1644.0,0.9133,0.8472,1626.2,976.3
39,2238.0,0.7445,0.9306,1640.0,1645.4
40,351.0,0.9023,0.8562,1642.8,938.5
41,470.0,0.9592,0.7121,1650.3,375.7
42,548.0,0.9336,0.5911,1651.6,2002.9
43,849.0,0.8862,0.6376,1666.6,1608.7
44,2547.0,0.9235,0.7837,1858.1,2574.6
45,1695.0,0.8543,0.8892,1862.7,1881.3
46,1516.0,0.9541,0.7527,1861.7,1215.4
47,1634.0,0.9657,0.5993,1929.7,631.3
48,668.0,0.9151,0.7978,1929.1,1299.2
49,689.0,0.8890,0.8463,1969.5,2531.7
50,2066.0,0.9219,0.7665,2005.4,1801.0
51,324.0,0.9474,0.6954,1997.2,995.6
52,925.0,0.9372,0.7235,2039.7,1702.2
53,520.0,0.7558,0.9210,2099.9,2911.5
54,374.0,0.9350,0.7501,2105.8,2832.3
55,331.0,0.9169,0.9546,2146.4,2930.9
56,1603.0,0.7823,0.7272,2155.7,2860.5
57,301.0,0.8853,0.9618,2219.4,103.6
58,1249.0,0.9177,0.5635,2302.1,973.5
59,2669.0,0.8800,0.5964,2318.0,1766.5
60,1693.0,0.9495,0.4379,2310.8,2441.5
61,8350.0,0.7417,0.8205,2401.2,2388.3
62,2127.0,0.8427,0.8817,2463.8,2333.6
63,1379.0,0.8978,0.6872,2476.4,1804.8
64,804.0,0.8894,0.8766,2488.1,462.2
65,1576.0,0.9303,0.7703,2527.4,1906.2
66,1371.0,0.9201,0.8303,2524.3,2568.7
67,1326.0,0.8303,0.8891,2528.6,562.2
68,1161.0,0.9281,0.6161,2530.4,1214.6
69,10721.0,0.8145,0.8584,2576.5,1793.1
70,585.0,0.8891,0.7046,2557.8,1935.9
71,562.0,0.8809,0.7158,2556.3,1684.1
72,2516.0,0.8373,0.6953,2580.0,2410.5
73,3713.0,0.8275,0.8914,2585.9,2511.9
74,2472.0,0.9210,0.8245,2597.5,2331.9
75,867.0,0.9303,0.6262,2595.8,2018.5
76,2305.0,0.8108,0.8669,2613.5,1684.2
77,1525.0,0.8724,0.6571,2603.6,1968.1
78,752.0,0.9580,0.5011,2646.1,1361.0
79,856.0,0.8319,0.8503,2655.3,1963.0
80,1947.0,0.8960,0.5459,2675.5,1813.0
81,882.0,0.8408,0.5722,2680.8,1317.3
82,1123.0,0.7831,0.7312,2722.5,1341.4
83,704.0,0.9060,0.5429,2767.2,475.1
84,550.0,0.9582,0.6224,2767.7,2470.2
85,318.0,0.9408,0.7425,2767.5,1800.2
86,433.0,0.8946,0.6727,2770.6,2031.4
87,3877.0,0.9029,0.6514,2797.7,1329.9
88,509.0,0.8731,0.6849,2786.2,1385.7
89,1877.0,0.9399,0.7974,2812.5,1750.9
90,230.0,0.9127,0.9532,2821.2,2931.6
91,326.0,0.9081,0.8449,2867.6,125.5
92,1433.0,0.9372,0.7194,2887.3,2840.0
93,2568.0,0.8708,0.5761,2902.1,2887.6
94,76.0,0.8837,0.9960,2884.8,2934.3
95,1172.0,0.7726,0.4967,2910.1,1327.3
96,1473.0,0.9241,0.8605,2914.0,2003.0
97,10.0,0.8333,0.9644,2926.7,1357.0
