id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,6376374.0,0.8530,0.7652,1160.8,1833.1
2,236.0,0.8489,0.9379,219.7,3572.1
3,647.0,0.9296,0.5999,502.8,3013.8
4,4.0,1.0000,1.0000,732.5,3576.0
5,2593.0,0.8234,0.8135,832.2,3511.4
6,324.0,0.9391,0.7342,814.6,3451.0
7,14.0,0.7778,0.9946,811.2,3575.9
8,4.0,1.0000,1.0000,838.5,3576.0
9,1065.0,0.7537,0.8830,888.1,971.0
10,332.0,0.9326,0.6110,908.1,2519.3
11,381.0,0.8965,0.9252,915.1,3171.8
12,313.0,0.9514,0.6619,928.6,364.0
13,2352.0,0.7757,0.7428,949.6,2963.6
14,8997.0,0.6720,0.5253,1029.7,3017.4
15,2326.0,0.8403,0.7587,992.8,249.7
16,1088.0,0.8441,0.8072,1066.9,1581.9
17,1474.0,0.9634,0.5457,1097.1,2972.3
18,2799.0,0.8449,0.9168,1118.1,2320.8
19,381.0,0.9315,0.6027,1112.0,3060.1
20,382.0,0.8662,0.8586,1215.4,1205.4
21,702.0,0.9683,0.5558,1287.7,1182.7
22,403.0,0.9394,0.6737,1285.8,3019.4
23,353.0,0.9515,0.6982,1311.5,362.8
24,4.0,1.0000,1.0000,1385.5,3576.0
25,522.0,0.9110,0.8743,1408.6,167.6
26,5043.0,0.7770,0.8810,1485.5,123.0
27,629.0,0.7238,0.8746,1439.9,209.1
28,347.0,0.9253,0.9345,1466.0,3571.0
29,327.0,0.9109,0.8393,1474.6,3543.1
30,1080.0,0.8182,0.7861,1566.1,187.9
31,10250.0,0.7297,0.6014,1658.6,2984.8
32,442.0,0.9630,0.6404,1619.5,338.3
33,3104.0,0.7396,0.9411,1722.8,3033.9
34,584.0,0.9097,0.7620,1722.0,238.5
35,385.0,0.9145,0.6041,1734.0,1529.1
36,1365.0,0.9572,0.4942,1770.6,2966.3
37,1836.0,0.8874,0.8286,1779.2,2327.7
38,271.0,0.9033,0.6472,1805.1,3569.9
39,5.0,1.0000,1.0000,1836.0,3576.0
40,29.0,0.9062,0.8421,1965.4,3574.7
41,506.0,0.9267,0.7895,2022.3,2056.3
42,10.0,1.0000,1.0000,2010.5,3576.0
43,3.0,1.0000,1.0000,2073.0,3576.0
44,382.0,0.9363,0.8699,2141.4,833.0
45,973.0,0.9356,0.6512,2166.5,838.4
46,1573.0,0.8793,0.6977,2196.4,1458.5
47,1424.0,0.9030,0.8060,2204.9,3545.3
48,15.0,0.8824,0.9204,2210.3,3575.3
49,66.0,0.8800,0.9537,2248.4,2835.3
