id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,1750001.0,0.4776,0.6217,1172.7,976.3
2,315.0,0.7143,0.7393,108.0,1389.0
3,805.0,0.7900,0.8449,120.7,1425.0
4,1042007.0,0.4092,0.6669,751.5,2605.5
5,2.0,1.0000,1.0000,100.0,1996.5
6,62.0,0.8986,0.9851,117.1,3404.9
7,405.0,0.8960,0.7655,119.0,2020.9
8,518.0,0.8478,0.8816,165.0,2105.3
9,528.0,0.8980,0.8662,183.8,1425.9
10,10.0,0.7692,0.9824,199.3,3405.8
11,1181.0,0.9380,0.7163,267.6,1605.0
12,1493.0,0.9455,0.5613,268.7,2221.7
13,1239.0,0.9372,0.7180,270.7,2847.3
14,1128.0,0.9487,0.6215,271.4,364.0
15,891.0,0.9083,0.8585,284.3,295.5
16,546.0,0.8349,0.9152,280.4,932.9
17,753.0,0.7441,0.8871,275.3,1490.0
18,1841.0,0.6566,0.9096,324.3,2097.2
19,319.0,0.9522,0.5713,289.4,2152.3
20,358.0,0.9179,0.7904,290.6,2774.9
21,516.0,0.9538,0.6731,324.4,1636.5
22,531.0,0.8362,0.8834,346.6,867.7
23,327.0,0.9424,0.7683,358.1,373.1
24,400.0,0.8929,0.8864,356.5,1617.9
25,3213.0,0.9294,0.6047,395.7,2356.1
26,2308.0,0.8634,0.7177,398.9,1745.6
27,2597.0,0.8565,0.5413,399.4,1134.8
28,2014.0,0.9389,0.7664,404.9,399.8
29,842.0,0.9450,0.7485,397.3,1635.1
30,1128.0,0.9503,0.7604,400.3,2259.9
31,660.0,0.9720,0.5317,395.1,110.7
32,395.0,0.8404,0.9064,401.9,1528.5
33,12020.0,0.7445,0.5230,460.6,1452.4
34,822.0,0.9299,0.5346,409.1,349.8
35,419.0,0.9437,0.7040,409.1,2203.1
36,349.0,0.9357,0.7610,406.6,2115.1
37,679.0,0.9563,0.6608,428.9,131.9
38,1104.0,0.9617,0.4949,444.0,956.1
39,547.0,0.9193,0.8514,444.8,321.7
40,387.0,0.8836,0.8579,442.5,1560.3
41,1557.0,0.9436,0.7699,455.3,178.9
42,397.0,0.9211,0.6668,456.9,2898.0
43,16929.0,0.7599,0.8815,575.5,1069.3
44,1255.0,0.9262,0.8875,534.7,191.3
45,318.0,0.9493,0.6103,523.5,2503.5
46,1256.0,0.8771,0.7764,537.6,963.9
47,386.0,0.9082,0.8329,530.1,2289.9
48,7705.0,0.7861,0.9206,613.2,129.4
49,396.0,0.9274,0.6353,538.3,2314.3
50,14810.0,0.6822,0.9437,584.0,411.7
51,9151.0,0.7587,0.9381,576.6,2309.6
52,874.0,0.9190,0.7032,560.1,638.7
53,2156.0,0.7491,0.8794,588.4,2495.2
54,2287.0,0.7854,0.8901,587.6,1873.3
55,645.0,0.8323,0.8326,561.8,926.0
56,602.0,0.8999,0.7718,563.7,1275.3
57,500.0,0.9074,0.8662,585.5,205.7
58,1288.0,0.8251,0.4883,604.1,1269.4
59,25541.0,0.7413,0.6611,742.2,3082.1
60,63456.0,0.7093,0.7074,768.7,1149.3
61,2708.0,0.8259,0.8962,654.1,2279.7
62,1625.0,0.7383,0.7643,644.9,683.3
63,529.0,0.8729,0.8587,636.1,358.2
64,361.0,0.8595,0.7481,637.1,2561.6
65,1476.0,0.7086,0.7801,654.4,1923.0
66,12139.0,0.8570,0.6923,706.9,877.5
67,1109.0,0.9335,0.7527,680.2,2333.0
68,1283.0,0.8897,0.7561,682.2,426.2
69,391.0,0.9009,0.7678,678.9,314.7
70,894.0,0.9531,0.6672,685.2,1713.4
71,885.0,0.9257,0.4862,688.2,2959.2
72,2149.0,0.9121,0.8260,693.7,206.8
73,3428.0,0.7736,0.8438,735.1,762.8
74,1933.0,0.7527,0.7502,747.6,2617.8
75,1918.0,0.8100,0.5304,747.4,1983.6
76,1313.0,0.9068,0.7108,741.6,2914.9
77,1981.0,0.9104,0.6056,752.6,3222.8
78,965.0,0.8517,0.5988,752.5,1376.1
79,1138.0,0.7925,0.8703,757.4,269.6
80,426.0,0.8520,0.6291,763.6,207.6
81,3.0,1.0000,1.0000,755.0,3406.0
82,912.0,0.9412,0.4884,777.5,2959.2
83,754.0,0.7710,0.9094,783.6,2665.9
84,1130.0,0.8652,0.8440,797.5,3358.6
85,1217.0,0.7644,0.6392,812.2,2858.2
86,299.0,0.9614,0.5459,801.1,3324.0
87,415.0,0.9562,0.8667,806.4,809.0
88,132966.0,0.6175,0.5222,1120.7,3233.6
89,1242.0,0.8155,0.7312,823.5,850.0
90,575.0,0.8179,0.9197,823.0,2089.6
91,740.0,0.8585,0.7667,837.5,1330.2
92,296.0,0.9457,0.8166,834.3,3110.8
93,3162.0,0.7545,0.6261,862.5,2934.6
94,634.0,0.7856,0.8617,860.4,108.8
95,1742.0,0.8662,0.5923,858.6,3019.9
96,1198.0,0.8854,0.7530,873.2,323.8
97,1442.0,0.7837,0.8734,882.0,2155.8
98,1673.0,0.8523,0.8023,889.9,603.9
99,2239.0,0.8354,0.9210,904.4,199.0
100,765.0,0.9352,0.7141,897.7,1828.0
101,818.0,0.9295,0.6525,898.3,2452.7
102,776.0,0.9034,0.7305,898.0,3065.5
103,329.0,0.9400,0.7753,895.8,861.9
104,514.0,0.9097,0.6636,897.1,1217.0
105,4579.0,0.7446,0.9524,948.7,157.3
106,3002.0,0.8775,0.7838,950.2,2382.9
107,1255.0,0.8727,0.9165,949.2,1830.9
108,348.0,0.9086,0.7013,933.9,3069.9
109,3445.0,0.8881,0.9152,968.9,552.5
110,9332.0,0.6784,0.7994,1010.1,2979.8
111,480.0,0.9339,0.6197,960.6,3065.7
112,2515.0,0.9304,0.6689,989.5,3115.9
