id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,173226.0,0.6229,0.9557,385.0,508.9
2,4889.0,0.8604,0.9098,121.4,709.6
3,3791.0,0.9459,0.9417,117.0,1398.1
4,788.0,0.9303,0.7519,113.7,1687.8
5,3467.0,0.9383,0.9406,116.3,2063.8
6,3671.0,0.8370,0.9128,118.5,2716.5
7,612.0,0.8908,0.7890,116.5,3029.1
8,3048.0,0.9010,0.9505,116.2,3402.5
9,3837.0,0.8525,0.8990,119.5,4053.9
10,838.0,0.9469,0.8792,122.9,4196.0
11,442.0,0.9002,0.7985,118.0,2341.9
12,335.0,0.9178,0.7688,118.1,3675.6
13,1255.0,0.7547,0.8992,134.7,531.8
14,1098.0,0.9007,0.9298,145.3,887.5
15,269.0,0.9539,0.6285,142.4,3550.1
16,439.0,0.9523,0.6703,145.6,1105.8
17,335.0,0.9178,0.7883,143.5,2211.3
18,534.0,0.9352,0.9105,144.4,2898.2
19,405.0,0.9507,0.5701,147.0,2421.1
20,520.0,0.9302,0.9321,145.5,1551.6
21,396.0,0.9659,0.5262,147.0,3111.6
22,371.0,0.9537,0.5642,146.6,3756.8
23,61.0,0.9385,0.9554,160.6,4268.5
24,1126.0,0.8225,0.8719,180.6,678.6
25,2088.0,0.9027,0.8163,197.1,920.3
26,1146.0,0.9146,0.8486,193.4,1585.0
27,1105.0,0.8397,0.7586,194.0,2929.6
28,13866.0,0.4416,0.9953,369.1,290.4
29,701.0,0.8795,0.9180,191.8,2235.0
30,407.0,0.8925,0.8368,190.3,3574.4
31,297.0,0.9399,0.7442,201.1,970.9
32,6847.0,0.8136,0.8317,276.1,4228.5
33,810.0,0.9507,0.7850,243.3,870.9
34,16657.0,0.5196,0.9960,876.8,708.8
35,4664.0,0.7827,0.8105,959.7,4233.5
36,506.0,0.9250,0.9171,985.9,945.7
37,53478.0,0.7354,0.9671,1222.2,1076.8
38,1627.0,0.7487,0.9603,1204.8,909.7
39,524.0,0.8866,0.9664,1259.1,898.7
40,20148.0,0.3643,0.9966,1603.9,1170.4
41,1149.0,0.9465,0.7299,1342.0,1045.7
42,650.0,0.8530,0.8301,1420.1,1040.8
43,421.0,0.9152,0.8278,1446.0,1239.6
44,48612.0,0.4856,0.9933,1851.3,1445.0
45,3863.0,0.7223,0.8425,1607.5,4242.4
46,276.0,0.9583,0.7848,1931.3,4162.7
47,11707.0,0.6308,0.9970,2147.5,1443.4
48,4721.0,0.7673,0.8048,2299.9,4236.1
49,6143.0,0.5718,0.6066,2689.1,1436.8
50,26222.0,0.6804,0.9552,2925.2,1475.8
51,647.0,0.9024,0.7768,2772.7,1459.9
52,18684.0,0.6093,0.9724,2950.8,1328.8
53,419.0,0.7774,0.8750,2863.8,923.2
54,666.0,0.8582,0.8288,2896.6,1147.9
55,2997.0,0.7562,0.7958,2958.8,4244.7
56,676.0,0.9575,0.7200,3047.3,1532.8
57,447.0,0.9739,0.6052,3088.2,1087.4
58,26572.0,0.6052,0.9092,3267.6,1341.2
59,593.0,0.9309,0.6771,3133.6,1503.6
60,560.0,0.9241,0.7764,3167.7,996.4
61,1197.0,0.9103,0.9704,3268.5,1488.0
62,12639.0,0.6361,0.7157,3322.9,1154.5
63,717.0,0.9216,0.7482,3355.2,549.6
64,2179.0,0.7290,0.6915,3389.1,488.7
65,2985.0,0.9145,0.7324,3395.6,1220.3
66,600.0,0.9119,0.8039,3377.2,427.4
67,2409.0,0.6452,0.9192,3454.7,1115.4
68,252.0,0.9582,0.5602,3428.9,1133.0
69,10572.0,0.6552,0.8906,3550.6,1277.0
70,371.0,0.9049,0.7649,3526.2,1365.4
71,56956.0,0.7244,0.9612,3802.5,1372.8
72,3543.0,0.7182,0.7883,3597.3,4235.4
73,863.0,0.7408,0.9938,3686.8,1236.9
74,3658.0,0.6434,0.9899,3785.1,1263.4
75,36987.0,0.4216,0.9942,4304.8,1066.1
76,366.0,0.9361,0.8132,4102.2,1336.6
77,15256.0,0.5106,0.9597,4358.1,1229.2
78,5726.0,0.7862,0.7665,4296.8,4202.2
79,2222.0,0.8307,0.9777,4344.8,1106.1
80,6099.0,0.7007,0.9705,4514.5,1071.8
81,1119.0,0.8988,0.8812,4551.8,1207.5
82,455.0,0.8213,0.6804,4589.8,1150.0
83,18667.0,0.6519,0.9813,4789.7,859.3
84,978.0,0.8709,0.5875,4620.3,1131.9
85,456.0,0.9102,0.7919,4655.5,770.6
86,14037.0,0.6482,0.9576,4823.7,643.7
87,969.0,0.8817,0.8834,4688.5,1146.1
88,18787.0,0.6774,0.9544,4813.5,1034.0
89,529.0,0.9549,0.5203,4711.8,1241.6
90,695.0,0.6888,0.9621,4776.9,938.6
91,385.0,0.9530,0.7486,4849.4,896.6
92,399.0,0.8926,0.9456,4858.5,697.3
93,464.0,0.9469,0.7863,4875.5,1063.8
94,878.0,0.9089,0.6828,4885.0,896.9
95,314.0,0.9290,0.8854,4930.6,690.6
