id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,1098.0,0.8862,0.9394,111.8,134.9
2,2997.0,0.7868,0.9498,139.8,243.7
3,121766.0,0.5875,0.8921,414.9,487.0
4,887.0,0.8705,0.7421,116.1,996.7
5,1151.0,0.8596,0.7059,118.9,1674.9
6,997.0,0.8357,0.6481,116.7,2348.7
7,1040.0,0.8360,0.7070,118.0,3007.3
8,1633.0,0.8141,0.8121,117.7,3666.8
9,299.0,0.9315,0.5677,122.6,2196.7
10,492.0,0.9266,0.5338,144.0,3754.0
11,482.0,0.8993,0.5550,144.0,1078.8
12,459.0,0.9425,0.6163,144.7,1757.8
13,426.0,0.8838,0.9085,170.3,682.9
14,464.0,0.8212,0.9024,169.9,2013.5
15,375.0,0.8886,0.8877,169.4,2686.8
16,15844.0,0.4986,0.9588,344.3,222.7
17,329.0,0.9400,0.5935,192.4,1767.8
18,669.0,0.9004,0.6436,203.1,290.0
19,440.0,0.9091,0.6214,204.9,665.7
20,432.0,0.9391,0.8841,265.4,570.6
21,1790.0,0.8111,0.9109,286.9,613.4
22,540.0,0.9375,0.8409,270.2,1940.6
23,537.0,0.9071,0.8471,271.2,2614.7
24,694.0,0.8463,0.7585,274.5,3937.7
25,740.0,0.9343,0.7499,273.8,3272.4
26,472.0,0.9219,0.7942,366.8,674.5
27,1655.0,0.8422,0.9542,512.0,710.3
28,369.0,0.9022,0.6879,523.6,1772.2
29,1575.0,0.8654,0.8763,552.2,3641.8
30,1449.0,0.9090,0.8952,551.2,1643.5
31,1271.0,0.9230,0.8326,553.6,971.5
32,1404.0,0.8886,0.8214,554.2,2321.2
33,1224.0,0.9308,0.7822,555.1,2981.7
34,379.0,0.9547,0.4667,593.0,528.8
35,724.0,0.9176,0.9567,613.0,4158.7
36,2506.0,0.8877,0.5815,660.7,515.1
37,938.0,0.9080,0.9278,656.3,378.2
38,10015.0,0.7433,0.9520,727.6,289.9
39,631.0,0.8825,0.9388,753.0,583.3
40,486.0,0.8482,0.9668,778.7,640.3
41,7124.0,0.6797,0.8825,829.5,511.6
42,306.0,0.9000,0.9238,817.3,239.8
43,79953.0,0.5886,0.9540,1257.0,956.3
44,20765.0,0.4822,0.9883,1182.3,698.1
45,321.0,0.9640,0.7511,929.5,806.4
46,1807.0,0.6390,0.8027,961.6,971.5
47,685.0,0.9133,0.8614,966.3,814.1
48,603.0,0.9248,0.9028,1011.8,822.7
49,992.0,0.8841,0.7603,1094.2,1014.5
50,2856.0,0.8000,0.9464,1226.2,792.6
51,408.0,0.8831,0.9490,1193.9,1628.6
52,1764.0,0.9207,0.9251,1206.0,2994.2
53,1176.0,0.8776,0.9379,1209.3,2299.9
54,710.0,0.9305,0.8732,1215.1,1670.0
55,700.0,0.9472,0.8771,1216.3,3646.5
56,647.0,0.9217,0.9424,1264.6,4172.3
57,1255.0,0.8578,0.9611,1286.5,752.5
58,331.0,0.9457,0.5565,1340.1,1260.8
59,803.0,0.8982,0.6733,1368.4,881.4
60,395.0,0.9060,0.9581,1378.4,777.5
61,3527.0,0.7857,0.9634,1482.7,750.4
62,795.0,0.7327,0.8619,1459.2,370.1
63,1226.0,0.5684,0.9570,1559.9,844.9
64,10044.0,0.7292,0.9896,1694.4,792.5
65,113693.0,0.6042,0.3968,1822.3,1148.6
66,773.0,0.9041,0.8799,1608.8,918.9
67,2458.0,0.7645,0.6345,1712.7,919.8
68,10671.0,0.6680,0.9914,1759.4,1902.6
69,1535.0,0.9121,0.7562,1753.5,1692.5
70,485.0,0.9623,0.7942,1758.5,293.4
71,31420.0,0.7865,0.9675,1836.1,1662.8
72,2553.0,0.7527,0.9157,1835.8,3665.5
73,2576.0,0.8394,0.9182,1835.8,2321.6
74,1424.0,0.9271,0.9077,1837.6,2992.6
75,1364.0,0.8297,0.9586,1852.6,2219.1
76,13356.0,0.4332,0.9667,2010.4,708.2
77,611.0,0.9230,0.8384,1883.8,1382.6
78,989.0,0.7679,0.8660,1916.8,1414.5
79,939.0,0.8743,0.9492,1929.7,4168.4
80,314.0,0.9345,0.6892,1984.7,931.3
81,541.0,0.9626,0.7250,2009.2,1227.0
82,425.0,0.8691,0.9814,2046.1,773.3
83,3219.0,0.8726,0.5206,2109.2,690.5
84,23568.0,0.6570,0.8148,2242.4,828.8
85,766.0,0.9076,0.7317,2140.6,564.2
86,14899.0,0.4296,0.9905,2342.4,710.7
87,395.0,0.9144,0.8188,2196.4,956.3
88,482.0,0.8844,0.8288,2229.2,959.5
89,41466.0,0.6534,0.8764,2457.0,970.0
90,413.0,0.8515,0.7334,2308.7,1062.2
91,536.0,0.9116,0.7419,2340.1,1043.7
92,439.0,0.7896,0.9680,2428.5,896.2
93,1117.0,0.7599,0.9628,2522.9,2330.3
94,334.0,0.9304,0.8491,2512.3,3648.6
95,819.0,0.9307,0.7290,2526.5,3688.8
96,601.0,0.8561,0.7786,2571.5,1059.6
97,421.0,0.9172,0.9658,2612.5,4181.8
98,741.0,0.9059,0.9780,2653.0,762.7
99,639.0,0.8554,0.6010,2661.8,1103.0
100,634.0,0.8904,0.6347,2688.2,1247.2
101,12478.0,0.5233,0.6801,2762.9,1022.8
102,90.0,0.9474,0.9755,2695.0,4277.4
103,10532.0,0.7503,0.9645,2846.4,678.3
104,504.0,0.8675,0.8859,2753.0,3044.0
105,576.0,0.7945,0.9176,2755.2,3699.8
106,486.0,0.8127,0.7832,2776.9,2345.7
107,439.0,0.8625,0.7674,2776.5,3688.2
108,479.0,0.8554,0.7942,2777.1,3032.7
109,877.0,0.7554,0.7723,2799.5,4213.7
110,590.0,0.9049,0.8342,2808.0,1164.8
111,642.0,0.9224,0.7405,2819.6,1267.4
112,380.0,0.8879,0.8575,2819.1,3945.1
113,566.0,0.9188,0.7286,2829.4,916.0
114,3295.0,0.7722,0.6096,2864.9,4252.6
115,1235.0,0.8046,0.7958,2865.2,1144.3
116,420.0,0.8333,0.8517,2882.5,4190.0
117,980.0,0.9524,0.6456,2893.9,1367.4
118,417.0,0.9542,0.7760,2904.7,760.1
119,122.0,0.9606,0.8606,2907.2,4275.7
120,569.0,0.8849,0.9699,2910.9,1057.3
121,169.0,0.8942,0.9232,2912.7,4193.8
122,139.0,0.9456,0.9606,2913.6,4236.7
123,38.0,0.9048,0.9648,2915.0,4260.4
