id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,314.0,0.9101,0.5516,837.6,5762.3
2,13373.0,0.7210,0.7714,1125.4,6212.6
3,1792.0,0.8123,0.8969,1213.3,6215.1
4,4536.0,0.8397,0.5412,1254.5,5879.9
5,5049.0,0.8486,0.5691,1259.6,5225.7
6,2972.0,0.9028,0.8678,1250.7,2337.4
7,1294.0,0.8446,0.7464,1250.8,2542.9
8,875.0,0.8365,0.7036,1253.4,1214.6
9,4626.0,0.6553,0.8251,1286.8,6221.6
10,500.0,0.9124,0.7313,1257.6,1890.7
11,1303.0,0.7109,0.9649,1343.2,5232.7
12,1673.0,0.9315,0.8635,1357.7,5124.8
13,648.0,0.8297,0.9027,1369.6,6203.8
14,622.0,0.8911,0.8819,1374.3,6242.7
15,680.0,0.8213,0.8151,1415.5,5084.9
16,612.0,0.7866,0.9405,1422.4,6246.2
17,16387.0,0.7765,0.9445,1539.8,4976.7
18,289.0,0.8450,0.9250,1489.4,5390.9
19,26373.0,0.5852,0.9861,1541.6,4239.3
20,2921.0,0.7990,0.8703,1520.9,4512.0
21,36728.0,0.7176,0.9530,1588.0,3709.1
22,356.0,0.8222,0.9725,1514.8,5347.7
23,130846.0,0.2942,0.9331,1778.8,5547.3
24,350.0,0.8883,0.6847,1520.7,4699.9
25,892.0,0.8072,0.9354,1545.1,5527.0
26,274.0,0.9352,0.7259,1542.9,5446.9
27,708.0,0.7460,0.9046,1545.8,4761.2
28,275.0,0.8958,0.6834,1557.6,5259.0
29,2181.0,0.6133,0.9642,1571.8,3392.2
30,1272.0,0.9658,0.5852,1626.9,1814.6
31,1214.0,0.7230,0.8154,1644.6,4313.8
32,1026.0,0.8156,0.8865,1638.4,4804.8
33,1184.0,0.7575,0.7780,1678.7,1805.5
34,374.0,0.8558,0.8839,1665.4,3860.9
35,697.0,0.8210,0.9025,1700.9,4938.6
36,1308.0,0.8472,0.9337,1736.1,4759.8
37,367.0,0.9062,0.9024,1726.2,4174.1
38,2149.0,0.7778,0.9712,1764.0,4301.9
39,1413.0,0.7206,0.7143,1782.9,4494.3
40,7754.0,0.5976,0.9583,1795.3,3810.5
41,3188.0,0.8291,0.9225,1791.5,4405.1
42,3248.0,0.6059,0.8960,1818.1,4736.2
43,360.0,0.9574,0.5374,1792.5,4189.1
44,4716.0,0.7846,0.8829,1817.7,3596.1
45,365.0,0.9505,0.5852,1799.7,4585.0
46,386.0,0.9190,0.7471,1799.8,4540.1
47,570.0,0.8824,0.6308,1816.7,4653.9
48,1366.0,0.6539,0.9034,1854.0,4075.1
49,495.0,0.7205,0.9021,1870.1,3436.0
50,607.0,0.8659,0.7284,1875.6,3877.1
51,309.0,0.9392,0.7472,1884.2,6257.0
52,409.0,0.9359,0.8691,1895.7,4095.7
53,502.0,0.8822,0.9660,1910.3,5619.0
54,481.0,0.9007,0.9353,1914.0,5411.8
55,2591.0,0.7945,0.6967,1947.3,5230.8
56,361.0,0.9139,0.7994,1939.3,5503.2
57,473.0,0.9498,0.8123,1942.3,5165.8
58,1938.0,0.6642,0.8694,1956.5,4573.6
59,2391.0,0.9347,0.5115,1967.9,2955.6
60,42.0,0.9333,0.9093,1944.7,6261.5
61,307.0,0.8950,0.8161,1966.1,4914.9
62,1111.0,0.8266,0.8757,1988.3,1037.7
63,1311.0,0.8535,0.6685,2001.1,6207.0
64,356.0,0.8747,0.7315,2002.8,6254.1
65,405.0,0.8785,0.9676,2023.2,4101.5
66,30.0,0.9091,0.7918,2036.0,6261.5
67,11556.0,0.5707,0.9162,2185.9,6192.0
68,1620.0,0.8137,0.6105,2182.7,5199.0
69,9614.0,0.7018,0.9120,2221.5,5710.2
70,321.0,0.8295,0.7863,2188.6,5783.1
71,393.0,0.7907,0.7893,2212.8,6015.9
72,372.0,0.7294,0.8964,2218.9,5820.1
73,318.0,0.9271,0.8462,2225.9,5863.9
74,392.0,0.9333,0.9133,3008.9,5458.2
