id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,441.0,0.8580,0.8837,466.8,586.2
2,477.0,0.9226,0.6267,686.4,5956.6
3,1898.0,0.8848,0.7547,722.6,3309.8
4,456.0,0.7958,0.8912,753.5,5830.1
5,21287.0,0.6831,0.9569,1240.1,6222.9
6,411.0,0.8107,0.9142,1085.7,4989.0
7,277.0,0.7983,0.9108,1141.6,4938.4
8,1241.0,0.6501,0.9036,1155.5,5629.6
9,330.0,0.7534,0.9370,1142.6,5585.1
10,430.0,0.8398,0.9941,1162.3,6054.5
11,689.0,0.7724,0.9878,1173.9,5377.5
12,475.0,0.7353,0.9576,1175.6,5679.2
13,288.0,0.9000,0.8335,1171.5,5704.7
14,304.0,0.8889,0.7569,1177.6,5474.3
15,3658.0,0.8015,0.7573,1240.6,1271.1
16,469.0,0.8100,0.6440,1274.4,5282.4
17,378.0,0.9310,0.8623,1297.5,5241.1
18,2560.0,0.7080,0.8002,1330.3,5358.9
19,1442.0,0.8918,0.7051,1322.3,5416.2
20,2672.0,0.7283,0.7204,1332.3,4157.4
21,590.0,0.8104,0.9076,1324.6,4220.5
22,557.0,0.8313,0.8313,1364.4,5079.8
23,415.0,0.9284,0.8028,1364.2,6153.3
24,595.0,0.8151,0.9720,1386.7,5088.1
25,2034.0,0.9536,0.7870,1408.8,4080.4
26,515.0,0.9035,0.6384,1469.2,4036.9
27,358.0,0.8136,0.8724,1476.6,5402.1
28,25787.0,0.7320,0.9252,1555.7,2988.0
29,30668.0,0.7165,0.9709,1546.9,3737.0
30,337.0,0.7948,0.8861,1507.4,3220.9
31,18433.0,0.6565,0.9533,1564.2,2660.8
32,1297.0,0.6182,0.8650,1522.4,3166.1
33,89164.0,0.3584,0.9373,1766.0,4431.3
34,2904.0,0.7008,0.9322,1541.7,3421.3
35,327.0,0.8516,0.8602,1526.0,3354.1
36,1046.0,0.8236,0.9110,1546.5,4459.8
37,13664.0,0.6727,0.9442,1598.5,2270.1
38,419.0,0.9109,0.6322,1558.1,3308.2
39,734.0,0.8192,0.8456,1605.6,2529.8
40,1620.0,0.5414,0.9232,1630.9,2592.7
41,4378.0,0.6475,0.8479,1646.9,3693.5
42,414.0,0.7263,0.8457,1622.6,2105.7
43,359.0,0.9112,0.8290,1632.0,2743.4
44,984.0,0.7935,0.6361,1640.8,2143.9
45,1055.0,0.9411,0.7899,1639.2,715.3
46,483.0,0.7879,0.7239,1644.9,2924.0
47,2664.0,0.7805,0.8458,1667.2,2967.1
48,274.0,0.8562,0.9135,1662.3,3614.5
49,457.0,0.9462,0.7504,1673.2,2776.7
50,768.0,0.8486,0.4418,1699.1,711.2
51,640.0,0.9182,0.4897,1713.7,3680.2
52,343.0,0.8071,0.5653,1739.1,2367.7
53,8823.0,0.7586,0.4672,1807.4,3644.6
54,575.0,0.7316,0.8383,1764.1,2397.5
55,22715.0,0.6168,0.9534,1813.4,2665.3
56,345.0,0.9055,0.6954,1763.7,2996.0
57,560.0,0.8247,0.9372,1765.9,3198.2
58,13770.0,0.7399,0.9682,1815.8,3314.9
59,887.0,0.7794,0.8692,1783.7,2922.8
60,274.0,0.9288,0.7925,1777.6,3430.5
61,645.0,0.7642,0.9685,1789.1,3109.6
62,2782.0,0.6884,0.9165,1811.5,3906.4
63,1422.0,0.7805,0.7259,1824.8,3563.0
64,508.0,0.8481,0.9331,1811.0,3774.0
65,460.0,0.7836,0.8852,1818.4,2441.4
66,330.0,0.9322,0.7891,1811.3,3739.6
67,1909.0,0.7792,0.7898,1831.4,5159.8
68,5581.0,0.8349,0.8049,1843.2,2993.3
69,9661.0,0.7116,0.9145,1884.8,5269.4
70,1174.0,0.8147,0.9075,1857.0,3945.6
71,646.0,0.9255,0.9502,1857.4,4027.2
72,529.0,0.9074,0.9702,1854.8,3351.6
73,603.0,0.8933,0.9466,1860.6,3282.1
74,1641.0,0.6959,0.9519,1896.2,3964.6
75,352.0,0.8670,0.8877,1896.4,4549.5
76,263.0,0.9228,0.8557,1909.6,2696.0
77,1119.0,0.9256,0.6824,1934.4,1851.4
78,310.0,0.9254,0.8965,1956.6,4664.3
79,321.0,0.8316,0.8995,1959.0,2378.7
80,360.0,0.9704,0.5909,1986.8,3728.1
81,3832.0,0.8450,0.9762,2018.6,5676.0
82,363.0,0.8985,0.7554,2017.9,2709.8
83,327.0,0.8862,0.5296,2019.4,4404.5
84,702.0,0.7215,0.7556,2035.3,5375.0
85,390.0,0.8245,0.9080,2027.4,5318.5
86,1402.0,0.7084,0.6222,2071.5,5349.0
87,463.0,0.8703,0.9279,2069.9,5590.5
88,658.0,0.9177,0.8840,2081.0,5284.3
89,19543.0,0.7652,0.8086,2270.8,5605.8
90,12988.0,0.6184,0.9547,2404.1,6208.0
91,605.0,0.7982,0.8835,2340.4,5978.5
92,304.0,0.8150,0.6812,2382.2,5598.8
93,293.0,0.9071,0.5990,2382.2,6026.3
94,312.0,0.9070,0.6591,2558.9,5971.7
95,5309.0,0.8073,0.8652,2630.0,6242.3
96,436.0,0.9336,0.7787,2953.2,4357.6
97,2655.0,0.8179,0.9614,3449.7,294.8
