id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,26001.0,0.6126,0.8328,580.4,2195.0
2,566.0,0.9218,0.7735,563.6,1812.8
3,8676.0,0.6302,0.7850,644.0,1864.3
4,7819.0,0.6826,0.8597,670.0,1638.1
5,902.0,0.7400,0.9211,668.2,1411.4
6,475.0,0.8348,0.9302,660.1,1328.4
7,368.0,0.8659,0.8651,670.9,2046.5
8,7369.0,0.6306,0.8818,725.5,1367.9
9,869.0,0.7893,0.7541,695.8,2025.3
10,743.0,0.8424,0.7089,717.9,2255.7
11,408.0,0.8908,0.7940,717.6,1940.8
12,515.0,0.9432,0.6244,732.6,1990.8
13,37949.0,0.4836,0.9218,886.2,2120.6
14,98768.0,0.7144,0.8542,936.6,1588.2
15,779.0,0.6937,0.7964,782.0,1356.3
16,750.0,0.8455,0.7915,790.7,1667.6
17,2578.0,0.6386,0.8519,824.7,1201.0
18,615.0,0.8448,0.8312,834.4,1796.3
19,384.0,0.8668,0.9577,852.4,1292.3
20,1395.0,0.7565,0.8617,903.6,1904.5
21,405.0,0.8473,0.6250,904.9,1010.5
22,2118.0,0.8032,0.9194,922.4,1825.4
23,5019.0,0.7326,0.9184,967.3,2001.8
24,6427.0,0.8675,0.8064,1007.4,1037.2
25,584.0,0.8295,0.5568,971.4,1873.9
26,1152.0,0.7254,0.7005,978.0,1912.1
27,392.0,0.9116,0.8357,969.7,1839.1
28,1177.0,0.7969,0.9168,997.1,2109.6
29,342.0,0.8860,0.8431,997.6,1936.9
30,669.0,0.6991,0.9552,1009.5,1882.5
31,996.0,0.8026,0.8825,1034.0,2246.7
32,15040.0,0.7838,0.7500,1122.0,2193.8
33,328.0,0.8497,0.5836,1105.1,1902.6
34,2511.0,0.7748,0.8566,1120.5,1975.3
35,634.0,0.8591,0.8993,1153.3,1913.4
36,330.0,0.9244,0.6550,1157.8,2256.2
37,463.0,0.8574,0.7484,1258.0,1875.8
38,1615.0,0.8641,0.8333,1358.3,2156.0
39,1621.0,0.8287,0.5949,1375.9,2030.7
40,653.0,0.7886,0.9748,1383.2,2090.9
