id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,803.0,0.9251,0.7097,196.3,1944.2
2,480.0,0.9430,0.8254,379.7,3728.2
3,1369.0,0.6263,0.9475,667.5,4818.0
4,532.0,0.8986,0.8397,685.7,6104.8
5,22902.0,0.7255,0.5171,986.8,6178.3
6,497.0,0.8540,0.5117,912.1,5899.1
7,1917.0,0.7317,0.9515,922.0,5794.3
8,710.0,0.7880,0.7274,925.4,5861.4
9,1857.0,0.8906,0.9532,932.3,5700.4
10,1636.0,0.9573,0.7423,964.7,2605.6
11,17590.0,0.6092,0.9095,1004.1,5607.9
12,1105.0,0.6204,0.9328,984.3,5799.6
13,328.0,0.8889,0.8012,1008.7,6042.9
14,333.0,0.8325,0.5892,1063.2,5492.5
15,394.0,0.8698,0.7941,1066.6,5715.4
16,2697.0,0.9258,0.8212,1117.8,5376.7
17,487.0,0.8903,0.8477,1116.5,5476.5
18,332.0,0.7721,0.5016,1128.4,6242.8
19,278.0,0.9236,0.8752,1157.9,5402.1
20,3018.0,0.7332,0.6230,1185.4,5330.6
21,268.0,0.9404,0.8225,1172.8,5453.6
22,1011.0,0.8120,0.6204,1200.3,5261.8
23,908.0,0.9044,0.7755,1198.7,6211.2
24,10.0,0.8333,0.9644,1195.0,6252.7
25,744.0,0.8212,0.8314,1233.8,4327.6
26,1241.0,0.7785,0.8973,1239.5,5297.7
27,7874.0,0.7657,0.8506,1291.0,3981.8
28,4288.0,0.5732,0.8759,1273.1,5036.1
29,404.0,0.8228,0.8790,1257.9,5344.4
30,24189.0,0.5525,0.9953,1334.8,6020.9
31,29.0,0.9355,0.8934,1247.6,6251.8
32,273.0,0.7936,0.8703,1262.0,4968.2
33,633.0,0.9241,0.8458,1275.1,4100.6
34,1289.0,0.8464,0.8747,1280.3,4340.5
35,1721.0,0.7453,0.9516,1323.2,4063.7
36,2139.0,0.6882,0.9430,1320.8,5596.5
37,296.0,0.8810,0.7938,1296.0,4160.8
38,673.0,0.8207,0.9683,1312.9,5958.5
39,260.0,0.9286,0.6617,1303.8,5726.2
40,372.0,0.9277,0.7722,1344.3,5525.2
41,2454.0,0.7891,0.7734,1372.7,2062.4
42,1052.0,0.9443,0.7755,1358.9,4963.6
43,301.0,0.9406,0.8914,1366.9,3976.0
44,609.0,0.8737,0.7970,1391.0,4092.7
45,287.0,0.8885,0.9488,1406.2,3977.8
46,510.0,0.8916,0.9205,1420.6,5077.8
47,1209.0,0.8484,0.6619,1437.3,1310.6
48,12158.0,0.7505,0.9909,1503.5,5254.2
49,553.0,0.9021,0.7719,1458.1,4940.2
50,12018.0,0.5869,0.9731,1513.0,1317.4
51,25993.0,0.5155,0.9804,1539.6,1765.4
52,38696.0,0.6735,0.9735,1597.5,3048.2
53,2895.0,0.5905,0.9308,1520.0,3361.4
54,4620.0,0.7590,0.9769,1525.8,3642.5
55,1570.0,0.7258,0.8799,1542.0,1475.2
56,498.0,0.8019,0.7652,1532.2,4346.5
57,355.0,0.8831,0.8913,1546.5,1533.2
58,1607.0,0.6506,0.9735,1572.4,4371.9
59,986.0,0.9005,0.9267,1569.9,2297.3
60,429.0,0.8737,0.8747,1582.7,1104.1
61,421.0,0.9034,0.6841,1586.4,3792.2
62,25840.0,0.5826,0.9617,1651.1,1431.7
63,486.0,0.8679,0.6746,1601.4,3607.1
64,2260.0,0.7237,0.9668,1605.3,4312.3
65,3555.0,0.8460,0.9587,1656.3,2291.8
66,878.0,0.7298,0.8921,1653.3,2400.9
67,503.0,0.7984,0.9155,1674.1,3446.3
68,885.0,0.8310,0.7479,1682.8,3404.7
69,391.0,0.8968,0.6419,1687.1,2864.0
70,337.0,0.8799,0.8677,1715.9,2967.2
71,14774.0,0.7000,0.9710,1810.3,1732.5
72,1839.0,0.6439,0.9552,1769.7,3382.6
73,382.0,0.8925,0.7578,1868.0,2736.2
74,4498.0,0.7329,0.9214,1928.5,3038.7
75,681.0,0.7146,0.9582,1944.3,3396.0
76,1497.0,0.8167,0.9175,1970.3,1342.4
77,6111.0,0.7827,0.9708,1978.1,5210.4
78,745.0,0.9278,0.7563,1985.7,4955.7
79,18686.0,0.6296,0.9974,2023.6,5985.0
80,2561.0,0.6414,0.9540,2007.8,5371.6
81,875.0,0.8993,0.9597,2049.8,5998.5
82,323.0,0.9444,0.7553,2053.8,6053.6
83,385.0,0.9038,0.7263,2059.0,1319.6
84,552.0,0.8832,0.9167,2056.0,4287.1
85,2452.0,0.7235,0.9942,2063.6,6179.6
86,481.0,0.8924,0.8257,2071.4,4149.3
87,1114.0,0.9116,0.9307,2089.3,4357.4
88,465.0,0.9190,0.7943,2101.7,1347.9
89,26060.0,0.7529,0.7606,2333.9,6186.8
90,3000.0,0.7911,0.7027,2237.1,2066.7
91,8599.0,0.7263,0.9107,2275.2,4980.0
92,12303.0,0.8692,0.8723,2269.0,2285.4
93,1785.0,0.6756,0.9116,2256.3,5623.9
94,2907.0,0.7915,0.9603,2247.9,2987.6
95,1764.0,0.7516,0.9679,2252.5,3659.7
96,564.0,0.8046,0.8537,2256.3,2123.3
97,382.0,0.7796,0.9154,2251.5,2912.9
98,641.0,0.6093,0.9383,2288.4,2127.2
99,445.0,0.8302,0.9185,2282.8,3720.2
100,801.0,0.7362,0.8645,2311.3,5596.8
101,1530.0,0.9206,0.8508,2324.8,2459.2
102,350.0,0.7812,0.7362,2322.2,2168.7
103,775.0,0.7169,0.9634,3189.6,5698.0
104,801.0,0.9502,0.7455,3173.9,5776.5
