id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,273.0,0.8951,0.4074,107.9,815.5
2,15059.0,0.5492,0.8320,206.8,1132.9
3,423.0,0.8460,0.9651,104.8,1151.0
4,131.0,0.7401,0.9945,101.4,1203.0
5,7.0,1.0000,0.8887,100.4,1302.3
6,332612.0,0.4186,0.9518,508.4,1136.1
7,30692.0,0.5616,0.5006,215.0,2195.9
8,353.0,0.8527,0.8607,144.1,881.0
9,1305.0,0.5399,0.8407,158.5,1247.2
10,7698.0,0.9199,0.8024,202.2,2550.5
11,694.0,0.7593,0.9163,315.9,243.6
12,3734.0,0.7000,0.7496,353.5,1166.3
13,279.0,0.9269,0.7923,323.7,216.6
14,296.0,0.7936,0.8209,327.7,1674.7
15,572.0,0.9455,0.7488,335.6,1276.8
16,454.0,0.8392,0.7523,346.7,360.4
17,823.0,0.6916,0.7590,361.8,1059.3
18,454.0,0.6931,0.9634,368.0,835.0
19,1615.0,0.7203,0.7768,395.0,444.9
20,500.0,0.9174,0.6702,379.3,1430.9
21,42966.0,0.6244,0.7429,559.6,2185.0
22,585.0,0.8784,0.7406,396.9,1226.5
23,438.0,0.6479,0.9761,438.6,815.9
24,8200.0,0.6846,0.4140,496.7,2574.0
25,428.0,0.8184,0.9180,467.9,462.7
26,482.0,0.9094,0.8002,466.6,389.7
27,759.0,0.7636,0.8929,496.2,422.8
28,269.0,0.8252,0.7669,511.7,1588.1
29,274.0,0.9073,0.8793,534.5,446.6
30,397.0,0.8483,0.7673,587.2,345.9
31,355.0,0.8765,0.7944,629.9,636.7
32,2607.0,0.9160,0.8499,875.0,2177.2
33,1693.0,0.8841,0.7768,937.2,2239.0
