id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,81819.0,0.1083,0.8941,873.9,619.3
2,5.0,1.0000,1.0000,100.0,315.0
3,15.0,0.8824,0.9204,100.7,331.3
4,918.0,0.8524,0.6376,129.7,328.9
5,511.0,0.9274,0.9673,393.1,307.5
6,1065.0,0.8853,0.9361,608.2,319.6
7,712.0,0.9271,0.5553,803.1,424.2
8,1259.0,0.9025,0.8922,842.2,703.2
9,5150.0,0.8978,0.9695,998.4,430.3
10,1201.0,0.8883,0.9729,1061.2,1581.6
11,328.0,0.9318,0.8304,1069.3,3085.4
12,463.0,0.9078,0.9046,1084.1,402.3
13,17560.0,0.6976,0.9061,1233.8,1810.9
14,1317.0,0.7470,0.9879,1148.7,2549.1
15,516.0,0.9485,0.5283,1189.0,972.0
16,493.0,0.8695,0.8267,1193.9,596.1
17,1352.0,0.9260,0.9721,1192.3,2142.5
18,747.0,0.7709,0.9827,1205.9,2651.9
19,816.0,0.9273,0.9343,1202.1,2702.1
20,520.0,0.8966,0.9728,1212.7,2514.6
21,50106.0,0.4009,0.9964,1343.1,886.6
22,3867.0,0.7314,0.9551,1247.0,2389.8
23,784.0,0.7817,0.8748,1251.9,1684.3
24,348.0,0.9231,0.9186,1247.0,2133.4
25,463.0,0.9507,0.8518,1296.2,1953.1
26,761.0,0.8798,0.9634,1329.7,1751.9
27,405.0,0.8980,0.9262,1325.4,2049.0
28,508.0,0.9495,0.9020,1329.9,2006.9
29,655.0,0.8365,0.8778,1341.7,1825.7
30,2353.0,0.7593,0.7241,1360.3,1741.0
31,393.0,0.9470,0.5920,1353.7,1152.1
32,483.0,0.9452,0.8472,1360.2,1864.5
33,424.0,0.9258,0.7215,1369.7,125.5
34,5559.0,0.8523,0.9480,1429.5,161.1
35,2243.0,0.7537,0.9434,1431.4,241.8
36,1591.0,0.7765,0.8957,1431.4,616.6
37,2830.0,0.8395,0.8330,1517.5,143.8
38,943.0,0.7871,0.7208,1565.6,325.7
39,4851.0,0.8158,0.9739,1689.7,321.2
40,404.0,0.8382,0.7623,1659.2,115.3
41,18158.0,0.7312,0.9470,1855.8,139.1
42,2145.0,0.8218,0.5965,2026.6,355.1
43,1747.0,0.7966,0.9387,2100.4,190.7
44,547.0,0.8560,0.8213,2077.1,364.1
45,32.0,0.9412,0.9192,2064.5,101.2
46,1342.0,0.7988,0.9295,2097.4,323.2
