id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,6807.0,0.6907,0.9949,284.2,1744.9
2,344.0,0.9272,0.8071,166.1,1977.2
3,379.0,0.9089,0.9058,189.0,2310.1
4,471.0,0.8121,0.5324,222.7,3634.9
5,474.0,0.8910,0.6209,226.1,2317.2
6,399.0,0.9215,0.9248,237.3,2061.2
7,351.0,0.9335,0.7617,283.0,2052.3
8,407.0,0.9085,0.7468,312.1,2042.4
9,343.0,0.9295,0.7410,319.3,1949.2
10,2172.0,0.6411,0.6730,396.3,1997.1
11,339.0,0.9137,0.7776,403.5,1663.0
12,330.0,0.9402,0.8083,492.4,2039.9
13,615.0,0.9165,0.8139,493.5,851.3
14,8466.0,0.5929,0.9651,689.8,2021.7
15,72177.0,0.4458,0.7631,892.9,1666.1
16,10104.0,0.7272,0.8119,843.9,1289.0
17,2249.0,0.8964,0.7817,838.9,1171.6
18,2627.0,0.8543,0.9323,1224.7,1722.9
19,99042.0,0.4745,0.9508,1528.1,1540.4
20,1581.0,0.8200,0.8988,1476.3,446.3
21,9450.0,0.7145,0.7572,1517.0,865.8
22,511.0,0.9076,0.8353,1478.1,1031.2
23,1149.0,0.8029,0.8650,1503.4,121.3
24,491.0,0.8480,0.8594,1522.9,1803.9
25,593.0,0.8225,0.9102,1556.3,952.5
26,425.0,0.9101,0.6554,1571.3,1243.8
27,329.0,0.7687,0.8915,1750.2,4275.0
28,518.0,0.8706,0.9333,1789.2,4266.7
29,5773.0,0.6486,0.9205,1873.1,1829.7
30,1811.0,0.8396,0.7373,2002.3,127.2
31,41198.0,0.5235,0.9753,2096.8,381.4
32,699135.0,0.3826,0.5232,2703.9,1165.0
33,758.0,0.8824,0.9531,2065.3,1842.5
34,635.0,0.7307,0.7349,2073.2,752.4
35,359.0,0.9066,0.5560,2108.6,1818.9
36,508.0,0.8301,0.8279,2168.5,121.1
37,495.0,0.8075,0.8919,2176.3,970.5
38,459.0,0.8861,0.5823,2174.2,1060.7
39,1230.0,0.7130,0.8117,2267.5,1736.8
40,447.0,0.9371,0.8501,2298.9,1924.6
41,329.0,0.9294,0.8155,2351.0,1813.2
42,333.0,0.8952,0.8217,2355.8,1921.2
43,2163.0,0.6695,0.6214,2392.8,132.6
44,1035.0,0.9557,0.5595,2383.9,1055.9
45,17951.0,0.7810,0.7290,2435.2,734.3
46,1259.0,0.6679,0.9130,2405.7,1817.3
47,2672.0,0.7451,0.8292,2401.8,284.8
48,1910.0,0.8504,0.7629,2414.9,215.0
49,1322.0,0.8652,0.7711,2403.1,1350.1
50,1242.0,0.7001,0.9392,2423.6,1876.3
51,2910.0,0.8163,0.8560,2465.2,1376.7
52,351.0,0.8731,0.8885,2454.0,214.2
53,16690.0,0.7791,0.8539,2567.5,415.2
54,392.0,0.9074,0.5320,2497.7,764.2
55,290.0,0.9355,0.6825,2499.8,1360.0
56,2262.0,0.7838,0.5832,2528.9,1331.2
57,7068.0,0.6264,0.7069,2577.9,687.6
58,664.0,0.7830,0.8373,2543.8,1841.2
59,1319.0,0.7200,0.8665,2554.8,189.4
60,952.0,0.8322,0.8285,2575.2,924.1
61,826.0,0.8787,0.6431,2604.5,1402.9
62,1993.0,0.7589,0.8018,2628.7,896.9
63,374.0,0.9056,0.7445,2609.4,987.4
64,353.0,0.8982,0.6970,2612.3,1285.1
65,366.0,0.7957,0.7269,2617.6,1480.4
66,670.0,0.8181,0.7115,2626.6,111.0
67,807.0,0.8659,0.9073,2629.0,1358.6
68,677.0,0.9087,0.7576,2670.9,155.6
69,3090.0,0.3993,0.7068,2715.0,1839.7
70,615.0,0.9207,0.8060,2680.5,519.1
71,515.0,0.8714,0.9494,2717.7,1689.2
72,400.0,0.8850,0.6005,2720.0,111.0
73,18868.0,0.7104,0.9156,2783.1,279.3
74,1260.0,0.6075,0.9183,2754.6,1738.8
75,2267.0,0.7777,0.9220,2738.1,349.7
76,1044.0,0.7026,0.8102,2737.7,514.7
77,412.0,0.9321,0.4366,2740.1,130.2
78,424.0,0.8797,0.8468,2763.3,1165.4
79,1273.0,0.6743,0.8511,2805.9,1724.9
80,389.0,0.8861,0.8524,2790.2,480.6
81,1049.0,0.7456,0.9534,2813.0,487.6
82,3771.0,0.7071,0.9120,3042.3,1175.8
83,3783.0,0.7066,0.7741,3069.5,1007.2
84,3639.0,0.7623,0.7399,3061.4,1327.6
85,5491.0,0.7138,0.7900,3088.9,244.1
86,645.0,0.8799,0.8861,3062.5,499.4
87,808.0,0.8245,0.8451,3069.4,449.3
88,431.0,0.9170,0.6411,3076.4,536.0
89,671.0,0.7669,0.6555,3081.6,413.7
90,8772.0,0.5809,0.8059,3126.7,594.0
91,579.0,0.8540,0.8696,3082.3,913.1
92,10122.0,0.7133,0.7474,3136.1,1206.6
93,5024.0,0.7080,0.6995,3130.0,490.3
94,1440.0,0.5899,0.9558,3111.2,895.3
95,3815.0,0.6994,0.6986,3153.9,1305.3
96,21648.0,0.4550,0.8809,3270.2,337.9
97,10939.0,0.3818,0.8229,3230.2,1016.5
98,631.0,0.7705,0.9259,3167.0,640.7
99,339.0,0.8921,0.5351,3171.6,593.2
100,544.0,0.7640,0.9386,3176.2,828.7
101,4055.0,0.4952,0.8487,3227.2,744.2
102,5667.0,0.5585,0.9615,3274.3,1403.6
103,347.0,0.9060,0.8384,3217.3,911.3
104,336.0,0.9545,0.5267,3213.8,529.9
105,489.0,0.8302,0.6132,3217.7,1256.6
106,528.0,0.7964,0.9353,3243.0,510.8
107,403.0,0.8396,0.8630,3231.3,723.2
