id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,3032927.0,0.5821,0.9146,2182.9,4395.5
2,438.0,0.8975,0.9794,268.2,4333.7
3,718.0,0.8767,0.8335,282.8,4231.9
4,1534.0,0.8278,0.9568,520.5,834.6
5,6293.0,0.9499,0.9248,566.5,284.9
6,3290.0,0.8140,0.9200,588.8,3480.8
7,1948.0,0.9116,0.8646,599.3,1536.9
8,617.0,0.7800,0.6982,596.7,3608.6
9,407.0,0.8173,0.7100,622.4,3604.4
10,811.0,0.7509,0.8077,653.0,3589.1
11,620.0,0.8857,0.6937,671.6,2251.5
12,5925.0,0.7791,0.8984,731.2,2117.4
13,1021.0,0.6077,0.9163,714.2,3603.8
14,22860.0,0.6739,0.8671,793.0,2768.2
15,15154.0,0.7916,0.6920,758.3,3471.1
16,5432.0,0.7418,0.9716,726.6,1496.9
17,432.0,0.9038,0.7356,722.5,2204.7
18,2259.0,0.8702,0.8621,732.6,809.1
19,855.0,0.8953,0.6848,732.1,3332.8
20,379.0,0.8614,0.8987,722.3,3365.3
21,712.0,0.8704,0.5781,741.6,2031.4
22,372.0,0.8857,0.8909,736.1,3256.7
23,1453.0,0.8172,0.9460,751.9,3192.5
24,621.0,0.7772,0.9234,746.2,1989.5
25,979.0,0.8098,0.7557,766.1,1422.0
26,437.0,0.8214,0.6823,767.8,2098.0
27,1039.0,0.8687,0.8941,777.5,3747.5
28,1744.0,0.6426,0.7195,803.4,4125.2
29,749.0,0.8699,0.8795,815.4,3552.4
30,400.0,0.9009,0.7601,889.1,2658.8
31,31792.0,0.8463,0.9738,954.8,1829.0
32,419.0,0.9148,0.7850,921.1,4037.3
33,299.0,0.8743,0.8401,991.2,4133.4
34,598.0,0.8306,0.9836,1113.7,3490.0
35,1898.0,0.7440,0.9089,1141.5,3361.4
36,2390.0,0.6667,0.9403,1142.5,3506.2
37,305.0,0.9187,0.6823,1157.0,2814.8
38,493.0,0.8314,0.7113,1172.1,3560.6
39,5966.0,0.7566,0.9537,1342.7,3356.9
40,3774.0,0.6066,0.7846,1344.5,3656.1
41,518.0,0.9300,0.8546,1327.4,900.1
42,11951.0,0.4464,0.9458,1389.6,2197.9
43,292.0,0.7978,0.7375,1332.5,819.5
44,30443.0,0.8281,0.9043,1414.7,3907.6
45,329.0,0.9114,0.7920,1331.4,2220.7
46,19983.0,0.6361,0.9773,1380.2,748.3
47,911.0,0.7793,0.6425,1346.4,4069.9
48,5648.0,0.6067,0.8225,1420.6,2411.9
49,10968.0,0.5973,0.9563,1383.3,1479.1
50,1504.0,0.7749,0.9769,1376.5,2785.6
51,437.0,0.8955,0.8271,1378.5,1194.9
52,418.0,0.9009,0.7072,1382.0,3480.7
53,380.0,0.9157,0.8226,1385.5,2528.2
54,1181.0,0.9176,0.8808,1399.8,4093.6
55,515.0,0.8910,0.7792,1466.3,1617.9
56,9022.0,0.7312,0.7764,1572.8,1780.9
57,1605.0,0.7532,0.7893,1681.0,3300.9
58,354.0,0.8138,0.9471,1713.7,3260.8
59,479.0,0.8316,0.8081,1812.6,1586.2
60,1243.0,0.8778,0.7979,1835.3,3601.4
61,400.0,0.8565,0.4793,1825.4,3662.6
62,849.0,0.8602,0.7765,1855.8,2140.4
63,517.0,0.9249,0.7888,1870.3,1465.5
64,1352.0,0.7699,0.8338,1891.1,2791.7
65,1378.0,0.8063,0.8363,1886.2,956.5
66,40691.0,0.6168,0.9506,2002.2,2812.3
67,445.0,0.8492,0.5479,1912.1,3869.7
68,1032.0,0.7650,0.9567,1945.8,3658.8
69,1555.0,0.6881,0.8862,1943.8,3744.0
70,2723.0,0.8960,0.7607,1955.1,3249.9
71,3729.0,0.7430,0.9153,2000.7,2129.6
72,1179.0,0.8227,0.8188,1998.5,1417.7
73,1352.0,0.8284,0.9118,1996.8,789.9
74,658.0,0.8235,0.9433,1991.2,384.7
75,940.0,0.8530,0.8695,1996.4,1492.2
76,8871.0,0.7989,0.9172,2088.7,2095.8
77,3355.0,0.7649,0.9318,2083.0,1418.6
78,98.0,0.8909,0.5835,2063.8,103.7
79,3399.0,0.7034,0.8962,2094.3,2919.6
80,2680.0,0.8648,0.8911,2099.6,2258.7
81,2666.0,0.6896,0.8881,2108.9,3042.0
82,327.0,0.9343,0.5121,2083.3,3036.9
83,824.0,0.8486,0.8342,2091.3,221.7
84,630.0,0.8714,0.7425,2093.8,2391.0
85,688.0,0.8411,0.8361,2118.2,108.8
86,292.0,0.9450,0.6034,2100.2,761.6
87,3330.0,0.6651,0.9458,2147.1,928.7
88,368.0,0.9485,0.7475,2112.3,3166.8
89,323.0,0.8825,0.7965,2114.2,740.1
90,521.0,0.9238,0.5110,2116.8,4024.7
91,775.0,0.8592,0.5841,2125.7,3923.6
92,378.0,0.9333,0.7091,2126.5,966.3
93,637.0,0.8294,0.8976,2151.6,4033.3
94,1998.0,0.8687,0.9358,2227.4,928.3
95,710.0,0.8953,0.5892,2228.2,2269.2
96,24988.0,0.8417,0.9605,2281.8,2919.8
97,6277.0,0.6757,0.8117,2300.0,2717.7
98,469.0,0.9361,0.8141,2243.8,3151.2
99,2195.0,0.7049,0.8585,2257.8,3874.9
100,351.0,0.6923,0.9275,2297.9,104.5
101,390.0,0.9028,0.7030,2287.2,3123.8
102,371.0,0.8876,0.8658,2290.2,964.5
103,33039.0,0.7103,0.9737,2435.9,2490.9
104,2711.0,0.9297,0.6913,2372.8,2200.4
105,994.0,0.8181,0.8029,2372.3,2470.3
106,651.0,0.8199,0.8609,2374.7,3882.5
107,1023.0,0.8427,0.8892,2387.0,3636.2
108,283.0,0.9129,0.8169,2387.6,2709.5
109,580.0,0.7562,0.8978,2389.2,3757.6
110,304.0,0.9412,0.8547,2389.0,3189.9
111,498.0,0.8356,0.8392,2418.4,2829.4
112,23537.0,0.3766,0.9132,2552.8,3031.7
113,472.0,0.9255,0.4640,2422.3,3379.6
114,879.0,0.8584,0.9322,2430.0,3451.9
115,494.0,0.9356,0.8634,2439.9,2723.0
116,366.0,0.9127,0.9428,2468.4,3455.9
117,2225.0,0.8162,0.8957,2516.4,3411.0
118,579.0,0.9118,0.6312,2491.4,4036.7
119,412.0,0.9471,0.4243,2491.7,3899.6
120,884.0,0.8650,0.8054,2515.2,148.3
121,72188.0,0.4750,0.9105,2673.7,1319.2
122,11100.0,0.8713,0.9105,2547.5,3785.9
123,1927.0,0.7638,0.6921,2552.0,963.1
124,49214.0,0.5230,0.9195,2709.1,3380.7
125,355.0,0.7442,0.9878,2575.1,103.2
126,5913.0,0.6922,0.7967,2617.3,2279.8
127,463.0,0.9242,0.8549,2582.3,2332.3
128,814.0,0.9156,0.7774,2604.3,3375.3
129,2665.0,0.8352,0.8492,2640.4,2852.3
130,3026.0,0.7137,0.7467,2647.8,1012.5
131,20490.0,0.5946,0.7977,2729.6,2721.3
132,10.0,0.7692,0.9824,2623.3,100.2
133,444.0,0.8207,0.8859,2659.2,2988.9
134,1165.0,0.8572,0.8364,2669.6,2323.5
135,588.0,0.8497,0.9360,2694.1,106.5
136,529.0,0.9248,0.8287,2678.9,3310.1
137,16141.0,0.7499,0.7354,2757.3,766.0
138,4882.0,0.7506,0.8601,2737.7,2309.1
139,358.0,0.8287,0.8682,2707.7,899.2
140,24058.0,0.4927,0.9746,2782.7,2174.5
141,1502.0,0.7601,0.9446,2745.3,186.5
142,662.0,0.7797,0.9544,2742.8,1616.3
143,4198.0,0.6348,0.9452,2774.3,2519.0
144,13910.0,0.8987,0.9276,2836.0,1717.9
145,212.0,0.9381,0.7609,2742.6,106.5
146,434.0,0.8821,0.9367,2752.0,1681.4
147,582.0,0.8509,0.7867,2770.2,1858.4
148,367.0,0.9709,0.6288,2778.3,229.0
149,673.0,0.7099,0.8630,2797.4,2963.5
150,2900.0,0.8992,0.5161,2810.0,2148.9
151,4284.0,0.6476,0.8500,2842.5,1058.0
152,471.0,0.9496,0.6463,2810.6,3860.9
153,306.0,0.9245,0.8169,2808.9,1644.5
154,441.0,0.9484,0.9014,2871.2,3596.0
155,101.0,0.9182,0.6055,2861.2,104.1
156,24213.0,0.7121,0.9713,2973.9,1963.6
157,5043.0,0.8897,0.8832,2972.6,2334.4
158,799.0,0.8564,0.9221,2960.4,1643.7
159,852.0,0.9054,0.7191,2965.6,2962.7
160,368.0,0.9042,0.7674,2956.4,3917.5
161,462.0,0.9296,0.6793,2966.7,3281.0
162,380.0,0.9524,0.8332,2976.8,3037.5
163,394.0,0.9359,0.8400,2980.6,3229.6
164,312.0,0.9313,0.7478,2981.8,3380.0
165,6141.0,0.7596,0.9381,3011.3,3636.6
166,476.0,0.8702,0.8355,3012.1,2314.4
167,1317.0,0.8351,0.4976,3046.1,3869.2
168,12762.0,0.8153,0.9529,3087.6,1406.4
169,1360.0,0.9227,0.7025,3060.5,3745.6
170,3585.0,0.8376,0.8066,3087.5,3638.1
171,556.0,0.9055,0.8727,3073.1,3334.3
172,437.0,0.9541,0.7794,3111.5,2963.8
173,682.0,0.8938,0.5353,3117.6,3841.3
174,803.0,0.9219,0.5408,3130.8,3764.2
175,882.0,0.8563,0.8289,3159.3,3639.6
176,1086.0,0.9073,0.7512,3239.0,3575.5
177,422.0,0.8998,0.9222,3234.6,288.0
178,558.0,0.8871,0.7712,3235.1,958.1
179,22747.0,0.4806,0.8499,3402.2,719.1
180,834.0,0.9402,0.7331,3279.3,3388.4
181,487.0,0.8484,0.8898,3277.1,3433.0
182,3669.0,0.8908,0.8819,3302.8,2372.6
183,1460.0,0.9136,0.9336,3295.0,3266.3
184,802.0,0.8813,0.7886,3313.6,3423.3
185,401.0,0.8813,0.9056,3316.8,2109.4
186,306.0,0.9000,0.9173,3314.1,2294.4
187,933.0,0.8271,0.9113,3340.3,1651.2
188,895.0,0.9531,0.8127,3328.4,3971.0
189,1165.0,0.8516,0.5234,3351.4,2712.3
190,951.0,0.8019,0.9592,3358.9,977.9
191,13735.0,0.6402,0.9318,3391.4,1376.0
192,19603.0,0.7216,0.9534,3396.8,2059.1
193,51249.0,0.6353,0.8240,3495.9,2790.1
194,604.0,0.8691,0.6347,3364.5,327.8
195,38551.0,0.6233,0.7783,3490.2,2481.8
196,4829.0,0.7668,0.8862,3404.5,161.8
197,708.0,0.7445,0.7610,3396.9,1636.1
198,1001.0,0.9083,0.7504,3394.6,3754.8
199,718.0,0.8168,0.9545,3398.1,334.2
200,737.0,0.8763,0.9432,3405.7,1732.2
201,913.0,0.9022,0.6585,3419.8,1559.8
202,2461.0,0.8708,0.8478,3425.8,1872.0
203,500.0,0.8993,0.8310,3427.0,534.8
204,518.0,0.9300,0.8601,3425.5,1188.9
205,3948.0,0.8013,0.9382,3458.2,314.7
206,696.0,0.8946,0.8606,3451.1,564.7
207,917.0,0.8367,0.9170,3463.8,2010.1
208,1244.0,0.6735,0.9576,3454.0,2956.5
209,754.0,0.8277,0.8527,3459.5,984.0
210,417.0,0.8616,0.9080,3461.9,1130.1
211,937.0,0.7442,0.9363,3465.8,1678.5
212,306.0,0.9273,0.8484,3466.6,770.5
