id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,577693.0,0.2262,0.9860,2049.8,2992.2
2,507.0,0.7873,0.8571,115.5,3649.3
3,1845.0,0.8156,0.8058,156.2,3787.1
4,2137.0,0.7673,0.7554,223.5,3788.6
5,59369.0,0.4986,0.8942,423.2,3701.9
6,403.0,0.8761,0.6984,227.7,3403.8
7,768.0,0.9458,0.7857,264.2,3455.6
8,769.0,0.7637,0.7884,276.0,3786.4
9,508.0,0.8610,0.8628,316.7,3498.2
10,526.0,0.7958,0.8975,370.2,3636.2
11,16030.0,0.8015,0.9636,514.5,3003.7
12,1615.0,0.7477,0.7954,395.3,3499.4
13,620.0,0.8010,0.6877,403.3,3151.5
14,347.0,0.9204,0.9490,477.2,1046.0
15,1013.0,0.8414,0.8820,595.6,3365.1
16,494.0,0.8713,0.8426,653.3,3143.3
17,9870.0,0.8506,0.9511,756.2,3101.3
18,4641.0,0.8903,0.7005,715.5,2642.8
19,2064.0,0.7268,0.8407,741.2,2335.9
20,3264.0,0.8399,0.9111,760.9,2241.2
21,1054.0,0.8209,0.8573,762.7,3710.9
22,709.0,0.8807,0.5993,762.1,1545.5
23,804.0,0.8280,0.8142,771.0,2706.9
24,2063.0,0.7756,0.8957,773.5,2484.2
25,498.0,0.8328,0.8942,775.2,813.3
26,508.0,0.8789,0.8261,779.3,2804.5
27,2099.0,0.7065,0.9178,808.1,2700.6
28,354.0,0.9440,0.4869,799.9,1694.5
29,3753.0,0.8166,0.9256,813.2,3716.3
30,60.0,0.8219,0.9701,824.5,3805.7
31,711.0,0.8810,0.8835,847.2,3759.7
32,399.0,0.9172,0.9130,877.5,3010.7
33,325.0,0.9420,0.8712,892.0,3742.9
34,1706.0,0.7162,0.9595,980.2,3338.2
35,3304.0,0.7967,0.7552,1126.6,3454.1
36,1439.0,0.9218,0.9254,1177.7,3503.6
37,754.0,0.9309,0.7630,1194.0,3404.8
38,366.0,0.8188,0.8860,1339.9,1589.8
39,531.0,0.8496,0.8421,1349.0,1637.8
40,3900.0,0.7370,0.8562,1394.4,3591.2
41,1422.0,0.7993,0.7913,1435.8,2651.1
42,906.0,0.9379,0.8936,1429.4,1938.7
43,9880.0,0.8264,0.6020,1489.2,2280.6
44,6769.0,0.7247,0.9592,1489.5,775.8
45,1156.0,0.7439,0.9091,1481.0,1528.1
46,860.0,0.7420,0.9445,1494.4,1988.6
47,687.0,0.7633,0.8523,1494.1,2489.4
48,335.0,0.8981,0.8026,1490.7,2518.5
49,548.0,0.8354,0.6484,1499.4,2645.3
50,2233.0,0.7955,0.9155,1556.0,2669.4
51,412.0,0.9075,0.7925,1542.3,2702.6
52,378.0,0.9333,0.8199,1637.3,1657.3
53,1025.0,0.6231,0.9701,1704.2,3341.1
54,324.0,0.9586,0.7989,1711.5,3014.3
55,307.0,0.9475,0.6225,1753.4,3163.0
56,1238.0,0.8856,0.9413,1777.8,3207.2
57,486.0,0.9400,0.8158,1775.9,3239.1
58,1232.0,0.6387,0.8916,1828.9,3103.0
59,310.0,0.9509,0.7563,1813.0,3471.3
60,623.0,0.9482,0.8126,1832.9,3224.3
61,771.0,0.9289,0.9297,1930.1,3171.9
62,836.0,0.9642,0.5564,1996.7,2923.7
63,1469.0,0.7352,0.9304,2028.2,2321.3
64,706.0,0.8516,0.8683,2080.5,3302.4
65,371.0,0.9537,0.5183,2085.1,3737.8
66,424.0,0.9422,0.8825,2131.8,3249.0
67,1475.0,0.8843,0.6437,2140.8,3757.2
68,11197.0,0.6607,0.8151,2224.7,2633.0
69,4297.0,0.8339,0.7836,2200.4,2245.8
70,4113.0,0.9210,0.8292,2207.1,830.1
71,383.0,0.9319,0.8295,2184.1,3544.7
72,1208.0,0.9257,0.5620,2196.9,1546.6
73,1512.0,0.7734,0.9199,2228.4,1980.0
74,1190.0,0.7292,0.9152,2208.9,2519.3
75,778.0,0.8568,0.8508,2209.0,2310.0
76,319.0,0.9114,0.5737,2217.6,1270.3
77,559.0,0.9317,0.7544,2243.0,2011.1
78,475.0,0.8879,0.7983,2242.7,2277.3
79,389.0,0.9373,0.6099,2328.0,962.6
80,384.0,0.9121,0.8556,2383.9,2634.0
81,1454.0,0.8055,0.8894,2632.9,2282.8
82,542.0,0.9459,0.7895,2808.8,2321.5
83,19907.0,0.5988,0.9530,2919.7,2536.5
84,354.0,0.8027,0.6980,2831.0,2340.9
85,382.0,0.9183,0.6140,2838.1,2666.9
86,10885.0,0.6623,0.6308,2911.6,2261.8
87,748.0,0.8926,0.7186,2868.7,112.4
88,1048.0,0.7043,0.8971,2895.5,1533.7
89,604.0,0.8779,0.9302,2897.2,303.1
90,10017.0,0.7499,0.9274,3027.5,2750.8
91,373.0,0.9165,0.8221,2945.8,1618.0
92,447.0,0.8580,0.9263,2959.1,1815.1
93,368.0,0.7667,0.8272,2959.1,111.9
94,1803.0,0.7441,0.6402,2977.7,329.0
95,435.0,0.9295,0.7097,2983.7,2477.2
96,391.0,0.9009,0.8735,2989.2,1830.5
97,576.0,0.8862,0.8296,2987.3,1741.0
98,226.0,0.9187,0.4796,2996.7,107.1
99,600.0,0.9009,0.7121,3006.8,1678.8
100,605.0,0.8871,0.7069,3030.9,1967.5
101,8836.0,0.8064,0.8689,3077.0,1645.5
102,4872.0,0.7217,0.9327,3076.9,2385.7
103,1935.0,0.8954,0.9279,3070.7,2596.3
104,438.0,0.8725,0.8984,3061.4,3333.5
105,909.0,0.7829,0.8314,3080.3,936.0
106,446.0,0.8336,0.8360,3072.3,2533.2
107,571.0,0.8691,0.9334,3096.0,2513.5
108,735.0,0.8015,0.5438,3119.0,1124.4
109,1038.0,0.9129,0.6937,3117.4,2651.7
110,2620.0,0.6598,0.9395,3151.7,3357.3
111,821.0,0.8743,0.8881,3155.8,2628.3
112,1417.0,0.7252,0.7760,3183.8,1126.1
113,1257.0,0.8042,0.8559,3187.0,3398.8
114,1124.0,0.6849,0.9374,3188.3,2313.2
115,906.0,0.9033,0.9250,3192.1,2791.6
116,1804.0,0.8493,0.8032,3216.1,3354.6
117,1531.0,0.8170,0.6793,3230.8,1959.0
118,565.0,0.9278,0.7892,3245.7,3407.7
119,789.0,0.7882,0.9611,3266.4,2826.2
120,945.0,0.7975,0.9285,3252.8,3339.2
121,3866.0,0.5721,0.9602,3308.7,3404.1
122,1254.0,0.8825,0.9037,3294.1,2912.4
123,450.0,0.8687,0.7015,3292.5,2796.6
124,524.0,0.8704,0.9816,3354.0,3387.4
125,2421.0,0.6799,0.8327,3454.5,2363.8
126,2386.0,0.8601,0.8948,3456.2,2240.7
127,494.0,0.7904,0.8423,3480.0,2407.4
128,73.0,0.8202,0.9928,3484.8,3806.0
129,1237.0,0.8392,0.7409,3513.2,3756.2
130,1123.0,0.7772,0.8752,3522.8,2390.3
131,564.0,0.9141,0.8385,3531.6,2274.5
132,351.0,0.9213,0.7982,3533.6,3722.4
133,547.0,0.9613,0.6617,3543.0,959.5
134,1694.0,0.7976,0.9134,3581.5,2340.6
135,2104.0,0.8225,0.9659,3589.6,2223.9
136,9325.0,0.6358,0.8994,3629.9,852.3
137,885.0,0.8841,0.7730,3575.2,3170.2
138,543.0,0.8902,0.7725,3588.4,2731.7
139,1525.0,0.8155,0.9350,3613.3,1634.6
140,4689.0,0.8532,0.8411,3634.1,2259.9
141,816.0,0.8681,0.7419,3607.3,1570.9
142,428.0,0.8577,0.7399,3618.7,2673.7
143,6345.0,0.5986,0.9742,3650.4,2758.9
144,4811.0,0.7284,0.9139,3642.8,1999.3
145,2158.0,0.9179,0.7042,3647.1,1545.9
146,84.0,0.9438,0.6980,3628.3,103.2
147,857.0,0.8377,0.9116,3635.6,3402.7
148,732.0,0.7305,0.8714,3650.5,752.6
149,318.0,0.9408,0.7687,3646.8,3774.1
150,745.0,0.9301,0.9099,3660.4,3333.8
151,356.0,0.8476,0.7212,3670.5,2630.6
152,740.0,0.9158,0.9368,3687.1,3780.3
153,330.0,0.9510,0.5536,3681.6,3370.8
154,356.0,0.9319,0.7846,3682.4,3402.5
155,376.0,0.9377,0.6384,3686.2,3534.0
156,7894.0,0.6795,0.7903,3763.5,3585.6
157,1901.0,0.8349,0.9656,3765.4,3674.9
158,768.0,0.8430,0.9617,3792.4,906.7
159,758.0,0.8653,0.9730,3793.6,710.5
160,9.0,0.8182,0.9731,3798.8,3698.9
