id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,918.0,0.9153,0.9177,117.3,1151.5
2,911.0,0.7649,0.9000,183.7,987.9
3,663.0,0.8185,0.9362,187.2,296.6
4,595.0,0.8815,0.8715,225.6,1039.2
5,370.0,0.8447,0.9236,253.7,684.3
6,5626.0,0.8193,0.8483,374.0,724.6
7,424105.0,0.6016,0.8933,763.8,1125.4
8,2415.0,0.9211,0.6139,476.2,939.6
9,351.0,0.9261,0.5335,551.7,943.1
10,2834.0,0.8777,0.8292,588.7,359.7
11,389.0,0.8531,0.9128,585.9,109.6
12,5248.0,0.8239,0.6025,644.9,157.9
13,1296.0,0.9013,0.8096,805.2,443.2
14,739.0,0.7025,0.9461,822.3,308.9
15,506.0,0.6756,0.8536,835.3,372.9
16,953.0,0.9033,0.9050,885.8,1128.2
17,749.0,0.9224,0.7634,892.9,1038.3
18,818.0,0.9029,0.7257,895.6,346.6
19,1508.0,0.8396,0.9158,942.9,166.6
20,717.0,0.9312,0.8784,929.8,1162.7
21,928.0,0.7111,0.8879,936.6,214.9
22,763.0,0.8831,0.8179,960.4,241.8
23,360.0,0.8675,0.6996,1018.5,735.1
24,2054.0,0.6810,0.8717,1065.1,757.4
25,814.0,0.8515,0.7426,1139.7,254.2
26,255278.0,0.7654,0.9646,1296.0,659.2
27,356.0,0.8436,0.7922,1146.7,1127.4
28,59881.0,0.7931,0.9052,1479.7,1324.8
