id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,138.0,0.8625,0.9733,102.1,1754.4
2,809.0,0.7408,0.8695,218.9,1593.2
3,343.0,0.9171,0.8360,237.0,1643.4
4,595.0,0.9154,0.8489,361.0,1370.3
5,434.0,0.9374,0.5139,370.2,1307.6
6,959858.0,0.6519,0.8874,998.1,1514.7
7,727.0,0.8964,0.8421,423.8,2243.3
8,283.0,0.8984,0.5145,536.2,1492.1
9,1762.0,0.8057,0.8969,577.5,981.6
10,14248.0,0.7961,0.8510,639.4,176.6
11,328.0,0.8654,0.9048,659.4,786.1
12,925.0,0.7947,0.8184,714.0,421.9
13,34825.0,0.8876,0.9391,836.9,377.9
14,362.0,0.8808,0.7257,782.0,941.2
15,669.0,0.9090,0.8740,810.4,578.2
16,690.0,0.6785,0.6176,846.0,885.9
17,2285.0,0.8678,0.6401,983.7,809.0
18,2094.0,0.7822,0.8476,992.2,1133.1
19,16594.0,0.8946,0.8238,1072.7,188.1
20,441.0,0.9055,0.8085,1133.6,533.0
21,2170.0,0.9513,0.7514,1250.9,119.4
22,49563.0,0.8056,0.9399,1524.0,1902.9
23,327.0,0.8886,0.9223,1495.9,777.8
24,960.0,0.8156,0.9586,1522.7,1277.8
25,1777.0,0.8806,0.8536,1569.0,381.9
26,304.0,0.9383,0.6122,1586.2,1027.5
