id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,238.0,0.9407,0.7700,106.7,2224.2
2,486.0,0.7397,0.6981,122.5,2169.2
3,819.0,0.8893,0.8926,150.5,2203.1
4,63.0,0.6848,0.9940,150.0,2249.1
5,359.0,0.9112,0.8554,268.4,726.6
6,1139.0,0.8153,0.7492,302.6,2215.0
7,1020167.0,0.6763,0.8822,970.4,1515.0
8,2252.0,0.6983,0.5789,409.0,1568.6
9,372.0,0.8671,0.9031,513.5,991.7
10,21042.0,0.7421,0.8695,591.3,208.5
11,821.0,0.7909,0.7924,569.9,808.3
12,1.0,1.0000,0.0000,691.0,100.0
13,936.0,0.8683,0.8496,731.8,574.8
14,43108.0,0.9011,0.9373,798.6,429.4
15,343.0,0.8886,0.8251,823.7,1031.2
16,1556.0,0.7047,0.7587,939.3,1185.2
17,1024.0,0.9360,0.9129,934.9,855.4
18,25839.0,0.8928,0.8412,1034.7,222.6
19,620.0,0.7789,0.9054,996.4,1712.3
20,489.0,0.7787,0.8207,1014.9,1598.2
21,508.0,0.8328,0.6519,1122.0,554.5
22,6817.0,0.8721,0.7803,1234.1,139.6
23,47552.0,0.7611,0.9298,1506.9,1928.7
24,358.0,0.8364,0.7903,1423.1,561.5
