id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,1327.0,0.8320,0.9407,111.4,316.6
2,252.0,0.9065,0.8497,106.6,843.2
3,1624.0,0.9022,0.9101,112.6,981.0
4,1162.0,0.8120,0.9244,118.4,1533.0
5,2026.0,0.9243,0.9113,113.1,1657.9
6,1926.0,0.9386,0.9242,112.6,2307.2
7,85.0,0.9239,0.6291,103.8,2789.0
8,282.0,0.9038,0.8630,105.5,2823.8
9,1532.0,0.9049,0.9429,110.7,2969.8
10,50.0,0.9259,0.7200,102.2,3201.3
11,441.0,0.8384,0.9098,114.1,3437.8
12,97.0,0.8739,0.6776,103.7,3495.2
13,333.0,0.8284,0.9303,107.1,3529.6
14,1646.0,0.8377,0.9500,110.8,3649.3
15,2172.0,0.8281,0.9400,114.2,4148.7
16,1796.0,0.8061,0.9431,111.1,4307.8
17,1281.0,0.8123,0.9187,110.6,4986.6
18,1572.0,0.7529,0.9600,110.8,5505.7
19,888.0,0.9126,0.7932,111.9,5640.7
20,499.0,0.7946,0.8448,110.0,5682.2
21,376.0,0.9038,0.8414,118.8,2779.1
22,378.0,0.8610,0.9343,121.0,4209.7
23,341.0,0.7949,0.9071,124.1,2133.5
24,581.0,0.8843,0.7654,136.2,4075.4
25,3281.0,0.6450,0.9287,155.2,1335.6
26,330.0,0.8919,0.5648,152.1,1574.2
27,876.0,0.8375,0.9377,162.9,4219.2
28,1114.0,0.8061,0.9629,171.2,2202.6
29,7592.0,0.8580,0.8747,205.4,2943.5
30,735.0,0.8596,0.7639,189.8,142.2
31,23475.0,0.5948,0.9675,263.6,3794.3
32,507.0,0.9201,0.5438,241.8,142.1
33,1784.0,0.8685,0.6211,258.7,2290.6
34,967.0,0.8558,0.8396,263.9,1438.1
35,612.0,0.8182,0.9127,333.5,3495.8
36,2411.0,0.9050,0.8773,383.0,6250.6
37,371.0,0.9345,0.8556,355.7,2849.6
38,596.0,0.9342,0.8847,392.6,5337.4
39,530.0,0.9014,0.8757,391.5,3708.5
40,371.0,0.8048,0.9400,411.2,105.3
41,350.0,0.8413,0.7578,429.1,5321.6
42,30893.0,0.8719,0.8569,523.9,5876.5
43,942.0,0.8024,0.6498,505.3,5494.8
44,5385.0,0.7801,0.6739,575.3,221.2
45,4515.0,0.8948,0.8641,596.2,5033.7
46,5063.0,0.8135,0.9413,611.6,2844.3
47,4643.0,0.9127,0.9553,587.2,2266.9
48,342.0,0.8465,0.7960,589.6,5538.7
49,7005.0,0.9112,0.8569,643.5,5593.1
50,289.0,0.9507,0.9190,608.7,5141.3
51,544.0,0.8527,0.9099,612.4,5676.8
52,897.0,0.8890,0.7731,631.4,6128.1
53,2896.0,0.8819,0.7980,642.6,214.1
54,555.0,0.8909,0.6565,638.8,1061.8
55,1401.0,0.9570,0.4612,656.2,120.0
56,6572.0,0.9142,0.8771,692.6,3150.1
57,585.0,0.7748,0.4927,669.7,1056.7
58,3250.0,0.7690,0.9436,687.1,1180.2
59,3766482.0,0.6323,0.9716,1681.3,4171.7
60,317.0,0.8757,0.4532,698.0,5685.3
61,870.0,0.9091,0.6234,710.5,179.1
62,2860.0,0.9430,0.8065,741.7,361.4
63,2079.0,0.8757,0.6443,749.3,3742.6
64,1499.0,0.8561,0.7784,747.6,240.4
65,1565.0,0.8772,0.8776,748.4,1199.4
66,1056.0,0.9111,0.8575,756.0,1518.2
67,441.0,0.9245,0.7903,760.7,4347.6
68,1823.0,0.8455,0.6770,780.1,3619.6
69,993.0,0.8680,0.7841,790.3,186.9
70,1274.0,0.8161,0.9715,856.3,3627.2
71,749.0,0.8740,0.6597,865.2,139.5
72,1036.0,0.9112,0.7332,869.3,201.9
73,598.0,0.8820,0.8774,869.3,5348.4
74,787.0,0.8994,0.7771,894.1,113.2
75,2891.0,0.9216,0.8934,938.0,2773.9
76,4660.0,0.8018,0.9477,1061.1,2646.2
77,1161.0,0.8130,0.8961,1147.0,3444.5
78,469.0,0.9232,0.8891,1170.6,4553.7
79,520.0,0.8754,0.6038,1181.2,3617.0
80,768.0,0.8807,0.7890,1182.1,4484.7
81,13667.0,0.8485,0.9576,1233.6,209.5
82,564.0,0.7747,0.9113,1232.7,2401.3
83,1127.0,0.8750,0.9269,1245.4,5087.1
84,340.0,0.9392,0.8379,1241.9,785.8
85,405.0,0.9060,0.8324,1283.7,5167.8
86,793.0,0.7775,0.9102,1305.2,5013.7
87,551.0,0.9077,0.9502,1310.0,6146.7
88,1000.0,0.9107,0.7412,1328.2,120.4
89,1119.0,0.9046,0.9252,1325.1,3668.5
90,345.0,0.9249,0.8882,1329.3,368.5
91,7720.0,0.8840,0.8938,1383.7,763.1
92,1386.0,0.7111,0.9481,1380.2,3952.8
93,9827.0,0.8223,0.9240,1435.1,593.4
94,357.0,0.9395,0.8681,1410.7,2334.1
95,2307.0,0.8058,0.9120,1440.4,2056.5
96,411.0,0.8220,0.8838,1420.2,3930.4
97,2191.0,0.7519,0.9414,1452.3,1784.6
98,61011.0,0.6717,0.9656,1552.2,1139.9
99,367.0,0.9434,0.8479,1453.5,5929.0
100,641.0,0.9454,0.8211,1471.9,5883.6
101,595.0,0.9225,0.6283,1528.3,4821.3
102,1113.0,0.7546,0.9743,1534.5,1978.6
103,442.0,0.8929,0.9186,1568.9,2366.5
104,44788.0,0.8845,0.9216,1732.5,1524.6
105,716.0,0.8796,0.9450,1747.7,2259.1
106,4392.0,0.8711,0.8864,1854.5,2249.3
107,479.0,0.9301,0.4844,1836.2,546.8
108,756.0,0.8700,0.9028,1877.0,2203.8
109,44806.0,0.9098,0.9141,1970.4,1276.0
110,144.0,0.9600,0.4969,1914.6,6261.1
111,496.0,0.7911,0.9119,1991.7,2149.8
112,901.0,0.8748,0.9348,2056.6,948.2
113,2513.0,0.8915,0.9365,2087.7,4431.8
114,24533.0,0.7010,0.9749,2190.7,1113.7
115,1598.0,0.7942,0.6092,2170.3,4542.6
116,2633.0,0.8472,0.8094,2264.8,4783.0
117,10448.0,0.9176,0.9249,2287.8,633.2
118,30164.0,0.6752,0.9575,2356.9,6089.0
119,290.0,0.9206,0.8734,2303.3,5840.9
120,51824.0,0.7978,0.9454,2456.1,2981.9
121,405.0,0.9101,0.4618,2347.4,2996.1
122,321.0,0.9304,0.8386,2375.7,5928.0
123,3807.0,0.8837,0.8729,2548.9,4691.2
124,520.0,0.8769,0.6249,2607.4,5009.1
125,1220.0,0.8746,0.8198,2694.2,6116.7
126,5668.0,0.9387,0.8690,2742.9,2638.4
127,30637.0,0.9297,0.9586,2776.1,3308.8
128,3738.0,0.8783,0.9151,2781.0,471.5
129,5315.0,0.7118,0.9238,2931.0,4917.6
130,11527.0,0.9377,0.9183,2968.4,4169.8
131,1875.0,0.8903,0.8777,3017.8,1677.6
132,1415.0,0.4682,0.9692,3063.6,4403.9
133,136.0,0.9444,0.8701,3096.8,103.7
134,364.0,0.9406,0.8005,3535.3,4866.6
135,344.0,0.9451,0.7561,3535.3,1547.4
136,327.0,0.9083,0.8571,3583.1,4856.1
