id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,3577703.0,0.9811,0.9472,1906.5,3085.8
2,411.0,0.8935,0.7567,406.3,2797.7
3,2104.0,0.8484,0.5953,451.6,2765.6
4,417.0,0.8373,0.9157,454.9,2452.8
5,1730.0,0.6055,0.9330,533.8,2471.8
6,3362.0,0.8060,0.9172,658.4,2686.5
7,1473.0,0.7971,0.9783,711.8,995.6
8,7439.0,0.8214,0.9735,767.2,2471.7
9,937.0,0.8708,0.9121,759.4,1801.7
10,387.0,0.9416,0.8556,812.3,2337.7
11,2034.0,0.8100,0.9308,1506.5,2421.1
12,439.0,0.9242,0.9201,1572.9,2430.9
13,355.0,0.8575,0.9039,2166.0,2414.0
14,888.0,0.8192,0.9059,2861.1,2516.3
