id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,7171363.0,0.6867,0.9343,952.6,2585.9
2,3715.0,0.6222,0.8643,349.5,1096.2
3,3437.0,0.6719,0.6601,431.2,1094.6
4,693.0,0.8965,0.7092,412.0,1041.4
5,1034.0,0.8660,0.8712,442.9,1916.4
6,278.0,0.9298,0.5797,438.0,1268.2
7,380.0,0.9069,0.7902,483.6,2491.3
8,333.0,0.8672,0.8780,502.3,1971.1
9,8424.0,0.6071,0.9749,568.8,1055.5
10,1272.0,0.8694,0.8489,575.5,1910.3
11,669.0,0.8479,0.7660,594.0,1998.0
12,544.0,0.9396,0.5517,620.5,1807.5
13,904.0,0.8820,0.8617,638.1,1877.0
14,663.0,0.9418,0.7426,771.5,1104.6
15,1437.0,0.7365,0.9435,820.3,1886.8
16,697.0,0.9406,0.5988,868.0,1855.4
17,316.0,0.9159,0.5425,879.1,1925.9
18,703.0,0.8146,0.6137,918.5,1282.4
19,1442.0,0.8803,0.8440,1093.4,3246.0
20,347.0,0.9455,0.7968,1100.9,3322.1
21,644.0,0.8907,0.8339,1211.4,2434.6
22,764.0,0.9095,0.8395,1212.1,3126.7
23,876.0,0.9369,0.7377,1211.9,2384.4
24,1308.0,0.7681,0.8767,1222.3,3086.7
25,1463.0,0.9048,0.8508,1234.8,2210.5
26,408.0,0.9169,0.7862,1244.3,3045.9
27,757.0,0.9288,0.5403,1250.3,3338.5
28,7881.0,0.8440,0.7935,1373.0,1012.0
29,839.0,0.8749,0.8846,1331.5,1150.8
30,392.0,0.8829,0.8552,1340.3,3163.6
31,1219.0,0.9200,0.4798,1351.6,3256.8
32,906.0,0.9283,0.7239,1349.0,2563.8
33,1256.0,0.8312,0.8678,1369.2,3217.4
34,3712.0,0.8297,0.7474,1384.5,2321.6
35,381.0,0.9225,0.8523,1358.8,3314.5
36,548.0,0.8940,0.8123,1371.7,1209.7
37,420.0,0.9231,0.7589,1367.7,1296.6
38,1266.0,0.7309,0.9322,1404.4,2263.8
39,407.0,0.9126,0.8134,1389.4,1126.3
40,391.0,0.9490,0.6818,1395.6,3347.1
41,975.0,0.8333,0.8730,1447.7,947.8
42,390.0,0.9007,0.5882,1448.0,2273.9
43,824.0,0.9025,0.5436,1463.5,3276.6
44,336.0,0.9106,0.5737,1454.8,3326.1
45,1119.0,0.8881,0.5147,1473.5,1661.5
46,432.0,0.9251,0.5955,1477.0,2334.5
47,306.0,0.9080,0.8438,1485.6,2588.3
48,347.0,0.8484,0.8052,1486.0,1630.0
49,481.0,0.7783,0.7298,1532.3,961.2
50,675.0,0.8074,0.5877,1555.8,1018.1
51,2623.0,0.6147,0.9280,1579.1,1824.4
52,1889.0,0.7907,0.7326,1606.1,1943.8
53,519.0,0.8009,0.6369,1593.3,1707.5
54,428.0,0.8682,0.8368,1585.2,1897.2
55,493.0,0.8016,0.8377,1591.3,1112.1
56,487.0,0.9035,0.7450,1600.3,1052.5
57,1663.0,0.5553,0.8241,1637.6,1592.3
58,841.0,0.8760,0.5900,1630.5,1531.5
59,568.0,0.7665,0.8157,1655.3,2425.8
60,296.0,0.8757,0.8254,1659.5,3594.4
61,438.0,0.8639,0.3560,1661.9,1558.7
62,10747.0,0.6693,0.9229,1757.1,2983.0
63,369.0,0.7885,0.8671,1683.2,2340.2
64,57068.0,0.6693,0.8994,1957.1,2211.3
65,437.0,0.8810,0.8497,1689.5,3043.0
66,31561.0,0.5187,0.9598,1951.2,1530.5
67,398.0,0.9087,0.8741,1712.6,3145.1
68,913.0,0.8285,0.6720,1723.9,3202.5
69,1056.0,0.7164,0.8129,1726.5,3095.4
70,449.0,0.8635,0.8591,1736.6,3700.8
71,1538.0,0.8238,0.7861,1752.7,1414.1
72,1165.0,0.8819,0.8882,1769.6,4747.9
73,1068.0,0.8565,0.7326,1769.0,4579.7
74,991.0,0.6737,0.9575,1780.6,1655.3
75,911.0,0.9147,0.7875,1789.4,2202.3
76,464.0,0.8406,0.9126,1862.6,888.5
77,1308.0,0.8201,0.9102,1884.8,1603.3
78,716.0,0.9409,0.6637,1890.3,4417.9
79,346.0,0.8782,0.7855,1886.5,3153.8
80,844.0,0.7722,0.9375,1891.8,3821.3
81,3190.0,0.8251,0.8534,1937.1,1614.3
82,2720.0,0.8349,0.9125,1957.8,4058.8
83,715.0,0.8563,0.8666,1950.7,2111.8
84,1153.0,0.8361,0.9249,1961.4,2795.7
85,458.0,0.8078,0.9103,1955.2,2734.5
86,1301.0,0.7894,0.7661,1971.1,4744.1
87,13269.0,0.5795,0.6815,2077.4,3627.9
88,699.0,0.8859,0.8244,1997.5,2925.2
89,366.0,0.8188,0.8237,2007.0,2897.8
90,585.0,0.8797,0.6333,2028.6,4591.3
91,359.0,0.8329,0.8482,2035.0,1654.0
92,2597.0,0.6654,0.7809,2063.4,4340.9
93,985.0,0.8603,0.7768,2049.5,997.6
94,2346.0,0.8439,0.9104,2075.2,933.4
95,4301.0,0.6300,0.5401,2082.9,2974.4
96,560.0,0.9380,0.8156,2060.0,3799.8
97,429.0,0.8791,0.8003,2066.5,3134.2
98,563.0,0.7588,0.8072,2111.9,985.2
99,550.0,0.9322,0.6062,2124.9,4303.7
100,790.0,0.9207,0.7683,2136.2,2199.8
101,355.0,0.9010,0.8826,2142.9,4203.9
102,557.0,0.9207,0.8818,2151.5,3269.5
103,758.0,0.9144,0.8557,2152.5,4317.6
104,301.0,0.9319,0.6488,2148.9,4362.2
105,387.0,0.8836,0.6710,2150.7,4609.6
106,610.0,0.9024,0.8258,2163.1,1899.5
107,2942.0,0.6832,0.9614,2202.3,4107.7
108,2896.0,0.7326,0.9612,2205.5,3444.8
109,1460.0,0.7344,0.9170,2184.8,2775.2
110,669.0,0.9202,0.7439,2212.7,2839.1
111,2012.0,0.5211,0.9717,2230.7,3809.3
112,1333.0,0.7939,0.7957,2221.2,3188.5
113,813.0,0.9260,0.8485,2214.7,4679.4
114,2773.0,0.6917,0.9431,2228.8,3962.5
115,557.0,0.8622,0.8649,2221.0,4166.1
