id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,2546102.0,0.5567,0.6209,1194.3,1513.1
2,1941.0,0.7636,0.9648,113.9,992.8
3,91.0,0.8426,0.9260,102.2,1037.7
4,735.0,0.7299,0.8081,113.6,1063.9
5,399.0,0.8693,0.9033,120.0,667.7
6,567.0,0.8450,0.8582,132.9,1113.1
7,3979.0,0.5824,0.9663,243.3,2820.0
8,378.0,0.9265,0.5165,160.0,2793.1
9,9649.0,0.4132,0.7532,364.4,2521.3
10,3283.0,0.7591,0.9443,282.9,1139.9
11,452.0,0.9168,0.8939,259.0,488.9
12,1497.0,0.7115,0.9257,285.7,2448.7
13,1407.0,0.8538,0.9377,289.9,2320.9
14,531.0,0.7878,0.5924,298.0,2629.5
15,377.0,0.8976,0.8807,311.2,2846.7
16,2304.0,0.6813,0.4844,356.0,2323.8
17,884.0,0.8779,0.8186,339.5,2819.3
18,719.0,0.8736,0.8389,348.5,2389.4
19,780.0,0.7422,0.8829,349.6,2456.5
20,376.0,0.9082,0.7909,359.7,2666.3
21,1629.0,0.8670,0.7447,377.9,2854.6
22,1578.0,0.6220,0.9504,402.9,682.1
23,366.0,0.9242,0.8275,401.4,2878.3
24,463.0,0.9025,0.7620,407.9,2354.5
25,1856.0,0.6524,0.9089,455.6,2317.0
26,1531.0,0.7004,0.7325,452.6,2577.3
27,540.0,0.7004,0.8277,462.8,2517.1
28,1445.0,0.8391,0.9094,468.5,2377.6
29,3208.0,0.6504,0.9269,554.7,2877.0
30,331.0,0.8922,0.7136,485.4,1581.1
31,4235.0,0.5146,0.7530,557.8,2350.7
32,412.0,0.7759,0.8361,509.6,2649.8
33,684.0,0.7300,0.7132,525.8,2539.6
34,3064.0,0.7681,0.9817,530.1,2423.3
35,11990.0,0.4962,0.9824,572.1,488.6
36,375.0,0.8681,0.7812,535.0,2573.9
37,407.0,0.8409,0.9151,560.1,2653.0
38,2313.0,0.6726,0.7609,574.8,240.2
39,13739.0,0.8585,0.9576,733.1,147.8
40,1288.0,0.7293,0.9244,670.1,2902.5
41,708.0,0.7344,0.5683,683.0,300.9
42,443.0,0.8311,0.6529,704.2,572.3
43,1881.0,0.6231,0.8605,739.5,388.4
44,5902.0,0.6284,0.8968,774.2,603.0
45,501.0,0.8579,0.9293,813.9,1797.6
46,319.0,0.8598,0.7747,816.2,1573.3
47,368.0,0.8867,0.8422,852.1,620.1
48,831.0,0.7367,0.9316,920.9,972.3
49,119499.0,0.6877,0.4859,1122.5,2462.0
50,427.0,0.7558,0.8853,925.9,426.1
51,554.0,0.8171,0.8694,951.7,266.3
52,522.0,0.7620,0.7388,973.2,2276.0
53,1400.0,0.8187,0.9057,1001.5,2677.1
54,10388.0,0.4775,0.9885,1158.7,2895.9
55,325.0,0.9053,0.8146,1086.7,2238.5
56,375.0,0.8865,0.6759,1123.1,1825.3
57,522.0,0.8543,0.8416,1144.5,2699.9
58,456.0,0.8994,0.8729,1174.0,2747.3
59,3079.0,0.7635,0.9882,1222.9,1131.5
60,525.0,0.8294,0.7833,1228.1,2214.1
61,383.0,0.8744,0.9256,1226.9,2629.7
62,412.0,0.8078,0.9031,1250.8,2233.3
63,628.0,0.9101,0.5082,1274.1,1250.8
64,154.0,0.9112,0.6990,1288.1,106.2
65,346.0,0.9034,0.6018,1347.2,2565.1
66,1586.0,0.8006,0.7959,1361.4,555.7
67,465.0,0.9245,0.7694,1360.7,630.2
68,1847.0,0.7312,0.9526,1384.4,406.0
69,700.0,0.7056,0.8945,1411.1,565.1
70,679.0,0.7553,0.5241,1495.7,1581.2
71,292.0,0.8769,0.9118,1499.0,2076.9
72,2920.0,0.7169,0.9854,1560.3,469.9
73,484.0,0.8388,0.8864,1536.2,527.3
74,2207.0,0.8744,0.6625,1587.8,551.8
75,499.0,0.9345,0.7646,1581.6,640.1
76,630.0,0.8738,0.5858,1584.4,2645.3
77,802.0,0.6542,0.9110,1604.4,2201.2
78,619.0,0.9225,0.6192,1605.7,669.3
79,415.0,0.9061,0.6397,1676.4,1242.3
80,793.0,0.8278,0.9734,1811.9,2797.2
81,1500.0,0.7324,0.8195,1847.4,2740.2
82,360.0,0.9068,0.8861,1898.6,1071.6
83,787.0,0.7397,0.8577,1928.3,1007.7
84,376.0,0.8604,0.8272,1947.9,1714.3
85,428.0,0.8843,0.7947,2008.3,2611.1
86,16856.0,0.7439,0.7121,2082.0,1262.5
87,1297.0,0.7790,0.9017,2041.9,2571.4
88,1560.0,0.6863,0.9363,2061.6,568.0
89,354.0,0.9316,0.6792,2064.2,442.9
90,359.0,0.9229,0.8482,2065.3,2528.1
91,645.0,0.8355,0.4017,2073.5,395.2
92,563.0,0.8453,0.8074,2065.1,652.2
93,1480.0,0.6271,0.8790,2151.1,2210.3
94,756.0,0.7228,0.8174,2150.2,2251.9
95,397.0,0.7192,0.8730,2169.1,2153.9
96,315.0,0.8077,0.8123,2182.9,2113.9
97,716.0,0.7633,0.9178,2186.2,2067.7
98,1305.0,0.6554,0.7813,2199.3,2279.7
99,798.0,0.7980,0.7776,2200.6,2805.3
100,513.0,0.7966,0.7939,2207.4,2760.3
101,700.0,0.6731,0.8898,2213.1,2099.8
102,2237.0,0.6660,0.8634,2227.3,1259.6
103,474.0,0.7682,0.9230,2221.0,1139.3
104,471.0,0.7126,0.9017,2237.4,2277.5
105,681.0,0.8335,0.9457,2245.9,1376.0
106,232.0,0.8140,0.9465,2249.2,1092.7
107,42.0,0.8750,0.7585,2251.0,1528.5
