id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,4.0,1.0000,1.0000,100.0,568.5
2,3.0,1.0000,1.0000,100.0,580.0
3,154948.0,0.7155,0.7025,331.9,787.0
4,322436.0,0.5900,0.9606,649.5,1446.6
5,430.0,0.8635,0.9031,105.8,1889.5
6,166314.0,0.7521,0.7318,342.1,2122.7
7,94.0,0.9126,0.9661,101.9,2341.6
8,795.0,0.8014,0.9389,109.9,2543.4
9,3.0,1.0000,1.0000,100.0,2575.0
10,146330.0,0.7353,0.7236,317.6,2792.9
11,521545.0,0.7067,0.9888,1082.4,3439.5
12,170.0,0.8763,0.9557,130.2,103.1
13,433.0,0.9252,0.6447,149.4,414.0
14,2.0,1.0000,1.0000,150.5,100.0
15,5.0,1.0000,1.0000,159.0,100.0
16,869.0,0.7943,0.9362,193.3,425.9
17,569.0,0.8863,0.9035,189.6,2424.1
18,407.0,0.8848,0.8482,187.1,1754.3
19,644.0,0.7951,0.8336,205.1,466.6
20,593.0,0.7450,0.7767,208.6,2472.2
21,311.0,0.8544,0.7898,202.8,210.8
22,386.0,0.8230,0.7397,206.1,3118.4
23,370.0,0.7385,0.7939,210.8,1802.3
24,330.0,0.8271,0.5862,209.0,1119.4
25,1495.0,0.7893,0.9551,259.3,2492.4
26,1092.0,0.8254,0.8954,251.6,480.6
27,1433.0,0.6543,0.8587,261.1,2548.7
28,932.0,0.7583,0.8512,259.1,1144.9
29,1655.0,0.6319,0.9554,258.1,3164.3
30,926.0,0.8123,0.8464,259.1,1825.0
31,770.0,0.8004,0.8217,262.0,1187.4
32,577.0,0.8460,0.6154,261.3,532.4
33,293.0,0.9302,0.5971,278.5,1268.3
34,552.0,0.8505,0.8152,290.1,2619.1
35,365.0,0.9080,0.8195,296.1,1951.5
36,829.0,0.8041,0.8954,347.3,1895.3
37,547.0,0.9271,0.8121,344.8,2562.6
38,1681.0,0.7971,0.9402,482.1,2618.5
39,234.0,0.9323,0.8023,508.7,2135.5
40,813.0,0.8567,0.6788,526.7,640.2
41,339.0,0.7451,0.9549,527.7,801.6
42,4646.0,0.5750,0.9529,588.4,2690.6
43,5358.0,0.6124,0.9215,606.0,695.5
44,5144.0,0.6207,0.9831,573.3,377.2
45,2721.0,0.6732,0.9859,570.7,1756.3
46,1457.0,0.7783,0.9908,568.6,1097.8
47,1139.0,0.7915,0.9774,569.8,2402.1
48,414.0,0.8771,0.9049,569.1,3034.9
49,312.0,0.9398,0.6597,589.7,1971.3
50,622.0,0.8627,0.7405,605.8,2758.1
51,553.0,0.8547,0.6800,607.2,2090.1
52,544.0,0.7694,0.8362,630.6,924.4
53,348.0,0.8855,0.6046,642.7,2263.4
54,563.0,0.8769,0.7423,661.9,953.1
55,481.0,0.9232,0.6302,661.5,2957.1
56,575.0,0.8481,0.7723,665.0,2306.9
57,371.0,0.8709,0.6764,667.3,2688.8
58,27141.0,0.4912,0.8162,795.6,2465.1
59,21511.0,0.4819,0.8877,826.8,3109.5
60,40094.0,0.5691,0.8001,808.6,414.1
