id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,2058.0,0.5308,0.8599,121.0,128.0
2,1409924.0,0.4183,0.8168,913.3,1215.6
3,25.0,0.7353,0.9834,100.6,1119.3
4,9.0,0.9000,0.9503,100.3,1708.3
5,172803.0,0.5474,0.5471,307.1,2643.7
6,86812.0,0.5364,0.9248,369.2,3189.4
7,2472.0,0.8405,0.7821,133.7,3203.5
8,3170.0,0.7891,0.9555,144.7,3382.6
9,636.0,0.8424,0.8531,121.5,327.5
10,1481.0,0.8737,0.5793,129.0,3287.1
11,295.0,0.9248,0.6383,118.6,458.8
12,1923.0,0.7592,0.8056,147.6,423.0
13,366.0,0.8414,0.9122,171.2,3328.2
14,777.0,0.8993,0.6751,184.0,3233.3
15,14422.0,0.6568,0.9107,250.0,502.0
16,1042.0,0.8250,0.8188,188.7,2232.5
17,371.0,0.9369,0.7619,186.8,3265.7
18,594.0,0.8171,0.8847,212.8,595.6
19,435.0,0.7592,0.7608,207.7,271.0
20,1175.0,0.7465,0.8639,267.1,645.5
21,432.0,0.8710,0.7748,271.8,2837.9
22,697.0,0.9343,0.8943,278.1,986.1
23,830.0,0.9192,0.8469,298.3,110.0
24,1894.0,0.8574,0.7042,318.3,3379.6
25,331.0,0.8597,0.6714,306.4,3310.1
26,3403.0,0.7731,0.5721,358.5,774.0
27,953.0,0.7522,0.7401,348.9,1928.4
28,2807.0,0.8127,0.6501,356.1,2628.2
29,317.0,0.8364,0.8333,336.7,110.6
30,405.0,0.8654,0.7587,351.5,698.3
31,474.0,0.8287,0.6295,353.1,2552.6
32,385.0,0.8974,0.6193,374.9,3310.5
33,1554.0,0.8993,0.6956,390.5,3382.0
34,260.0,0.9353,0.7583,394.9,1451.6
35,523.0,0.9306,0.8644,406.4,2817.6
36,356.0,0.8337,0.8666,433.1,716.5
37,358.0,0.9421,0.8339,451.8,1226.7
38,1156.0,0.8129,0.9517,478.1,3085.7
39,542.0,0.8974,0.8567,492.2,1246.1
40,260.0,0.9353,0.5603,491.8,3384.2
41,1861.0,0.9328,0.9284,502.8,275.4
42,271.0,0.9313,0.6638,506.7,767.7
43,442.0,0.8419,0.8973,518.2,2625.4
44,3481.0,0.6911,0.8596,592.6,3178.0
45,11630.0,0.6613,0.9775,578.2,283.9
46,367.0,0.9152,0.7117,567.3,1108.4
47,285.0,0.9468,0.8190,572.5,2329.6
48,313.0,0.9125,0.9384,571.6,2867.5
49,417.0,0.8528,0.9426,572.8,2294.2
50,281.0,0.9094,0.7738,576.6,2830.5
51,765.0,0.8044,0.9206,601.1,638.9
52,193.0,0.9554,0.8999,615.5,3394.1
53,528.0,0.8544,0.8956,616.5,594.1
54,351.0,0.8519,0.6037,671.0,1567.2
55,362.0,0.8983,0.7576,673.4,1542.7
56,2530.0,0.8106,0.6115,705.8,1185.8
57,3105.0,0.6229,0.8477,710.7,1079.0
58,6634.0,0.6743,0.8899,737.6,390.3
59,109853.0,0.3995,0.7116,989.2,2790.8
60,13566.0,0.4896,0.8894,736.7,2343.6
61,571.0,0.8992,0.8073,690.0,2948.6
62,338.0,0.8779,0.7789,688.2,475.1
63,1555.0,0.8567,0.7488,707.5,557.2
64,1188.0,0.8290,0.8007,720.6,255.6
65,818.0,0.8485,0.8727,716.9,2479.2
66,2634.0,0.6186,0.9443,727.9,2875.5
67,779.0,0.7813,0.8824,726.0,1012.7
68,936.0,0.8118,0.8203,730.4,2128.3
69,683.0,0.8170,0.6381,736.7,645.4
70,41792.0,0.7154,0.8669,911.6,3240.0
71,303.0,0.9439,0.7194,737.0,1884.2
72,2204.0,0.6288,0.8999,773.7,570.1
73,815.0,0.8670,0.8874,756.5,1976.9
74,409.0,0.9253,0.7815,753.2,1364.5
75,529.0,0.8817,0.7274,759.0,958.0
76,1015.0,0.7684,0.9173,775.9,2802.3
77,305.0,0.8616,0.8410,772.2,621.7
78,422.0,0.9154,0.4564,772.1,1311.4
79,23688.0,0.6456,0.8684,881.0,2405.7
80,336.0,0.9106,0.6498,786.8,948.4
81,629.0,0.7727,0.7971,794.8,2394.5
82,362.0,0.8558,0.6161,789.1,2503.3
83,442.0,0.8484,0.8434,799.9,431.1
84,14404.0,0.6415,0.8120,902.1,492.8
85,1604.0,0.6667,0.6408,837.1,609.7
86,380.0,0.7116,0.8519,874.2,574.8
87,5571.0,0.8999,0.9374,1004.5,3377.6
88,398.0,0.8964,0.5538,931.6,2212.6
89,357.0,0.8992,0.8640,948.3,3336.6
90,704.0,0.9337,0.7905,960.9,110.0
91,15695.0,0.6825,0.8919,1049.6,2505.5
92,3224.0,0.7378,0.5286,986.8,3145.6
93,44367.0,0.4998,0.8891,1167.9,3190.9
94,9092.0,0.6955,0.9790,1053.5,617.6
95,647.0,0.7141,0.7909,996.5,1958.0
96,397.0,0.7940,0.8829,1016.5,1913.0
97,319.0,0.8264,0.9057,1018.2,664.7
98,722.0,0.9316,0.8755,1048.6,967.7
