id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,393.0,0.9097,0.9652,298.3,340.6
2,364.0,0.8922,0.9526,343.3,255.4
3,10337.0,0.6541,0.9745,476.2,523.3
4,1399.0,0.8249,0.9753,414.4,291.7
5,393.0,0.8070,0.9253,428.0,352.4
6,513.0,0.8739,0.9776,516.8,506.6
7,342.0,0.9194,0.8905,634.2,573.3
8,1306.0,0.7920,0.7406,667.6,593.8
9,1184.0,0.8642,0.9336,905.5,716.8
10,1405.0,0.8274,0.8526,914.0,323.5
11,532.0,0.9449,0.7171,915.8,573.7
12,735.0,0.8352,0.7144,935.8,682.4
13,27691.0,0.4519,0.9538,1183.4,1002.7
14,823.0,0.8407,0.9392,1043.7,346.5
15,577.0,0.8974,0.9772,1105.0,569.6
16,647.0,0.7515,0.9929,1123.4,558.3
17,788.0,0.7229,0.8509,1145.4,841.9
18,21577.0,0.7785,0.8730,1200.2,580.7
19,754.0,0.9106,0.9428,1154.6,143.1
20,4275.0,0.8569,0.9225,1227.6,1117.5
21,650.0,0.9040,0.8318,1283.0,642.0
22,583.0,0.8548,0.8026,1290.3,1087.6
23,1160.0,0.8067,0.9508,1298.8,588.8
24,9610.0,0.5686,0.9499,1396.5,1257.5
25,1200.0,0.8328,0.8727,1324.4,1138.6
26,2207.0,0.7152,0.8920,1353.7,527.8
27,925.0,0.8274,0.3671,1352.9,844.9
28,1091.0,0.9046,0.4010,1353.3,188.4
29,360.0,0.9549,0.7641,1379.8,262.3
30,557.0,0.8376,0.8675,1487.4,953.0
31,274.0,0.9226,0.6848,1504.8,1183.9
32,321.0,0.8515,0.8724,1508.5,1395.7
33,400.0,0.9639,0.8082,1512.6,213.8
34,135545.0,0.3966,0.7078,1752.9,922.9
35,334.0,0.8978,0.7586,1542.0,1597.3
36,303.0,0.8991,0.9312,1592.7,1441.4
37,3905.0,0.6714,0.8985,1618.4,1900.8
38,846.0,0.8127,0.7550,1614.7,1677.5
39,1528.0,0.8211,0.8173,1620.2,1740.0
40,1012.0,0.8454,0.8933,1623.8,1613.6
41,413.0,0.7271,0.8053,1618.9,1814.3
42,454.0,0.8867,0.8664,1618.3,2555.8
43,369.0,0.8425,0.9611,1615.8,2051.8
44,460.0,0.8779,0.9377,1632.7,1997.8
45,389.0,0.8037,0.7401,1654.5,1975.7
46,1050.0,0.8152,0.8892,1663.0,1835.3
47,606.0,0.7880,0.8048,1664.7,2488.5
48,932.0,0.6940,0.7456,1694.1,1607.3
49,2461.0,0.6754,0.7010,1711.0,1356.5
50,326.0,0.8763,0.9151,1719.8,1617.6
51,1058.0,0.7399,0.8242,1757.9,1698.3
52,365.0,0.9171,0.7101,1775.2,1620.5
53,1759.0,0.8498,0.5953,1925.5,628.0
54,630.0,0.6923,0.9078,1949.2,808.0
55,1592.0,0.7309,0.9112,2000.0,759.0
56,1331.0,0.7885,0.9018,2039.7,658.5
57,534.0,0.7092,0.7550,2034.1,1874.0
58,371.0,0.7204,0.8857,2038.6,2518.5
59,328.0,0.8723,0.9620,2044.9,896.7
60,555.0,0.8409,0.7855,2068.0,839.1
61,336337.0,0.5246,0.9483,2992.6,433.2
62,4249.0,0.8118,0.9691,2232.2,904.7
63,670.0,0.7181,0.9249,2244.0,404.6
64,1450.0,0.7046,0.7986,2268.0,2601.2
65,404.0,0.8296,0.9459,2255.0,2368.9
66,499.0,0.9007,0.6491,2257.8,1931.1
67,40861.0,0.5687,0.5703,2401.4,216.2
68,1335.0,0.8541,0.7337,2272.8,2073.9
69,592.0,0.8580,0.5529,2260.8,3234.0
70,748.0,0.8320,0.8878,2269.0,1635.1
71,843.0,0.8430,0.8343,2270.2,2302.5
72,829.0,0.7948,0.6879,2272.8,2735.2
73,831.0,0.8155,0.7466,2272.1,3366.1
74,709.0,0.7887,0.8897,2272.3,2028.1
75,6161.0,0.6314,0.6825,2307.5,496.2
76,1047.0,0.8167,0.7705,2303.7,368.2
77,1782.0,0.8390,0.9417,2308.9,3150.9
78,1316.0,0.7678,0.9274,2310.2,2528.3
79,1346.0,0.6058,0.9712,2345.9,2074.9
80,357.0,0.7863,0.7991,2312.6,3318.0
81,471.0,0.8690,0.8493,2317.6,3232.2
82,1308.0,0.6459,0.9536,2328.3,359.4
83,2392.0,0.7145,0.8986,2364.0,3369.3
84,420.0,0.8155,0.9350,2352.1,3527.8
85,394.0,0.7912,0.8905,2349.7,2734.8
86,355.0,0.9149,0.5641,2349.7,334.9
87,1310.0,0.7335,0.9432,2403.8,229.2
88,312.0,0.8410,0.8465,2388.4,2736.5
89,257.0,0.8862,0.8135,2474.0,3538.1
90,357.0,0.7846,0.8775,2486.0,3510.7
91,1688.0,0.6672,0.8671,2557.4,3534.5
92,77.0,0.9059,0.9487,2530.1,3562.2
93,116.0,0.9355,0.9048,2532.9,102.8
94,1220.0,0.8472,0.8806,2551.2,247.3
95,5475.0,0.6509,0.8187,2582.4,166.8
96,354.0,0.9516,0.8903,2577.1,107.6
97,570.0,0.7054,0.9381,2599.8,3468.7
98,28.0,0.9333,0.9118,2591.4,3562.9
99,363.0,0.8501,0.8464,2607.0,3554.8
100,6865.0,0.6892,0.9026,2671.4,151.4
101,652.0,0.7196,0.9688,2632.4,263.9
102,395.0,0.9472,0.8051,2646.0,451.4
103,677.0,0.9274,0.8641,2650.0,372.0
104,1157.0,0.8852,0.7336,2677.9,1897.5
105,445.0,0.8460,0.8716,2679.2,2561.5
106,331.0,0.9350,0.8334,2691.1,276.7
107,554.0,0.8921,0.6517,2712.1,1864.3
108,463.0,0.8195,0.9595,2745.6,669.4
109,319.0,0.9410,0.7547,2756.0,176.0
110,603.0,0.7145,0.9662,2804.0,657.7
111,55388.0,0.5663,0.9641,3139.0,3502.9
112,728.0,0.7583,0.8229,2937.7,2049.6
113,2920.0,0.8588,0.8779,2951.2,1359.3
114,689.0,0.8444,0.5698,2943.4,3229.6
115,639.0,0.8875,0.9461,2951.8,2930.8
116,316.0,0.9133,0.8625,2946.9,2555.1
117,443.0,0.9406,0.6866,2949.4,3054.0
118,495.0,0.9538,0.6176,2966.4,1428.0
119,593.0,0.8644,0.7735,3032.1,1368.2
120,654.0,0.7526,0.9543,3047.9,3374.9
121,419.0,0.8915,0.7198,3098.8,3434.6
122,452.0,0.9058,0.7102,3098.9,449.1
123,645.0,0.9416,0.8444,3109.4,1424.3
124,357.0,0.9444,0.9020,3200.0,2032.3
125,2750.0,0.7866,0.9554,3252.2,1457.3
126,320.0,0.9222,0.8372,3210.8,1500.0
127,3029.0,0.8116,0.9030,3383.4,3178.5
128,352.0,0.8092,0.8841,3367.6,2515.4
129,28.0,0.8750,0.8087,3357.1,101.4
130,280.0,0.9524,0.7025,3366.7,1851.9
131,2.0,1.0000,1.0000,3382.5,100.0
132,529.0,0.9058,0.8692,3403.2,1864.2
133,388.0,0.9463,0.7139,3400.7,1820.7
134,366.0,0.8756,0.5633,3414.2,1568.5
