id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,194095.0,0.6119,0.9651,516.9,400.3
2,2336.0,0.8334,0.7242,125.1,732.4
3,45.0,0.9184,0.9666,101.1,807.3
4,89.0,0.8641,0.9684,101.9,858.7
5,2207.0,0.8232,0.7553,121.3,1550.2
6,74.0,0.9250,0.8153,102.5,2113.2
7,51.0,0.9444,0.9221,101.6,2138.4
8,4768.0,0.7601,0.9060,122.4,2241.8
9,5651.0,0.6665,0.7441,128.6,2736.2
10,34.0,0.8947,0.9595,101.0,2812.3
11,1328.0,0.8680,0.8864,111.1,2937.8
12,2090.0,0.8383,0.7841,118.3,3014.0
13,458.0,0.7014,0.9612,113.7,3071.7
14,43.0,0.8269,0.9861,100.8,3160.0
15,1558.0,0.8431,0.6825,121.0,3205.2
16,6.0,1.0000,1.0000,100.0,3263.5
17,10902.0,0.7568,0.7071,149.4,3383.3
18,1518.0,0.8729,0.7397,114.3,3601.2
19,3264.0,0.7445,0.8490,123.6,3681.4
20,42.0,0.9130,0.8735,101.6,3756.3
21,29.0,0.8529,0.9834,100.6,3827.9
22,10645.0,0.6792,0.6624,152.3,4049.9
23,1069.0,0.7691,0.8742,123.3,3520.5
24,902.0,0.7857,0.8919,121.9,2868.5
25,617.0,0.7534,0.8672,131.4,4200.2
26,640.0,0.9209,0.8972,126.9,865.9
27,839.0,0.7776,0.8843,140.8,3927.7
28,346.0,0.8317,0.8153,149.4,3582.3
29,395.0,0.8837,0.7952,150.1,2916.0
30,759.0,0.8232,0.9398,164.4,2704.2
31,4307.0,0.7462,0.8660,196.2,1572.3
32,301.0,0.8431,0.9198,172.6,4267.1
33,743.0,0.7796,0.8034,193.9,2239.5
34,402.0,0.9437,0.5615,190.0,826.2
35,630.0,0.8678,0.8558,200.7,3614.8
36,371.0,0.8318,0.8996,197.9,2293.8
37,1447.0,0.8932,0.8818,208.1,2942.7
38,430.0,0.8583,0.7363,228.5,3669.4
39,1172.0,0.8173,0.8084,243.7,4168.7
40,3.0,1.0000,1.0000,247.0,4279.0
41,167.0,0.9227,0.7739,262.8,4273.8
42,1200.0,0.8523,0.8910,283.7,3641.0
43,529.0,0.7063,0.9487,282.0,2973.7
44,348.0,0.8832,0.8734,272.7,3033.7
