id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,1467.0,0.7947,0.7539,450.4,1688.0
2,807.0,0.9539,0.4344,614.5,6178.7
3,1714.0,0.8853,0.9123,766.8,5509.1
4,306.0,0.9503,0.7575,750.8,3529.3
5,473.0,0.8416,0.8681,936.5,5977.6
6,515.0,0.9213,0.5989,960.1,5984.3
7,2845677.0,0.8300,0.9362,1746.1,4950.3
8,5451.0,0.8340,0.7093,1242.6,2342.8
9,400.0,0.8658,0.3765,1257.8,1218.7
10,508.0,0.9321,0.8445,1292.1,3394.4
11,516.0,0.8230,0.9069,1319.9,3518.8
12,353.0,0.9439,0.8346,1351.0,3365.6
13,369.0,0.9437,0.8526,1350.8,3213.4
14,553.0,0.8254,0.9543,1361.2,3628.3
15,3891.0,0.8028,0.7751,1396.5,3525.7
16,449.0,0.9413,0.8577,1411.1,3437.4
17,815.0,0.9272,0.8672,1428.7,3778.3
18,1661.0,0.8998,0.9078,1498.3,3407.2
19,912.0,0.8898,0.8976,1514.9,3478.3
20,1121.0,0.8697,0.8647,1517.9,3235.9
21,321.0,0.8770,0.8626,1510.5,3522.6
22,4835.0,0.7064,0.9229,1654.1,1809.1
23,535.0,0.9022,0.8979,1626.1,2548.6
24,2125.0,0.8691,0.8823,1841.9,3290.7
25,10220.0,0.8946,0.8505,1949.3,2940.4
26,3728.0,0.8704,0.8792,1931.0,1085.2
27,1835.0,0.7378,0.8158,1945.7,1878.5
28,348.0,0.7751,0.8881,1941.4,2569.4
29,2244.0,0.8783,0.7185,1984.0,1034.8
30,2243.0,0.8728,0.8691,2004.8,1644.7
31,405.0,0.9226,0.9107,2026.9,1805.3
32,1144.0,0.8272,0.9410,2062.6,1839.5
33,373.0,0.8695,0.9097,2047.5,1691.8
34,1208.0,0.9504,0.8229,2052.4,2885.4
35,642.0,0.9224,0.7842,2075.1,2947.8
36,331.0,0.9272,0.8499,2135.7,3471.7
37,14842.0,0.6435,0.9637,2292.2,3999.6
38,371.0,0.8432,0.7702,2277.8,3068.9
39,1601.0,0.8435,0.9761,2304.7,1896.6
40,6896.0,0.9260,0.9050,2389.5,1992.1
41,526.0,0.8930,0.8469,2352.5,4498.1
42,329.0,0.9427,0.8057,2522.4,4403.7
43,730.0,0.5526,0.9679,3013.1,5473.5
44,663.0,0.8267,0.8686,3200.7,5729.3
45,1236.0,0.8937,0.7575,3253.6,1238.7
