id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,1115.0,0.8511,0.8648,359.8,5195.2
2,1387.0,0.8795,0.8840,463.1,2365.4
3,1061.0,0.9084,0.7796,460.3,5032.5
4,1385.0,0.8935,0.5415,466.9,584.0
5,1250.0,0.8278,0.9018,475.2,3022.0
6,987.0,0.8789,0.6450,517.9,5001.1
7,79409.0,0.6826,0.7862,675.5,5144.2
8,3757.0,0.9478,0.9072,554.3,4425.1
9,1828.0,0.9223,0.9401,554.9,3087.0
10,1641.0,0.9319,0.9361,560.6,2442.8
11,581.0,0.8897,0.7709,575.0,5787.5
12,13758.0,0.6479,0.5893,702.1,2611.8
13,24830.0,0.6879,0.8881,699.7,5958.7
14,9237.0,0.8221,0.8901,700.3,5712.7
15,22957.0,0.7897,0.9213,708.9,3299.7
16,10395.0,0.7321,0.7294,733.3,3709.6
17,3202.0,0.8496,0.8735,690.3,1041.9
18,11277.0,0.7838,0.8219,714.2,3937.3
19,17181.0,0.8165,0.8286,708.4,4603.6
20,685.0,0.9501,0.8684,675.3,1254.5
21,808.0,0.9461,0.7353,675.0,3187.6
22,2356.0,0.8646,0.8597,697.0,3029.1
23,1683.0,0.8671,0.9674,706.9,4350.4
24,392.0,0.8809,0.8235,696.3,4748.9
25,10724.0,0.7161,0.9513,757.5,4361.2
26,3410.0,0.9179,0.8626,730.2,1929.1
27,2205.0,0.8767,0.7763,742.0,1245.6
28,5608.0,0.8287,0.9151,757.5,3026.7
29,610.0,0.9064,0.8398,738.7,2007.3
30,967.0,0.9316,0.6383,756.4,5828.2
31,1957.0,0.8831,0.8090,771.2,2380.4
32,743.0,0.8793,0.7323,763.8,1048.0
33,317.0,0.8980,0.8868,764.5,3608.1
34,5502.0,0.8721,0.9526,819.4,5561.2
35,368.0,0.8519,0.9584,825.5,6234.2
36,2053.0,0.8054,0.8735,841.3,3745.1
37,289.0,0.9323,0.8301,887.8,4307.4
38,963.0,0.7686,0.9349,934.0,2686.1
39,834.0,0.8097,0.7878,937.1,5797.5
40,2028.0,0.8254,0.9654,934.0,5217.2
41,454.0,0.8454,0.8464,927.3,5869.1
42,1504.0,0.8332,0.9393,936.7,5920.4
43,904.0,0.8528,0.7730,957.4,4862.5
44,469.0,0.8653,0.8761,975.1,5666.5
45,1797.0,0.8012,0.9379,987.9,5184.3
46,778.0,0.9251,0.7622,1000.9,2689.5
47,4334163.0,0.7349,0.9469,1768.1,4591.7
48,2004.0,0.7672,0.8021,1037.0,5413.3
49,4690.0,0.8976,0.6331,1232.7,1254.9
50,690.0,0.9188,0.8846,1202.1,3121.4
51,1374.0,0.6805,0.9633,1256.5,1296.9
52,10128.0,0.5515,0.8948,1319.5,2343.9
53,3802.0,0.8854,0.8594,1295.8,2584.9
54,5756.0,0.7983,0.8932,1301.0,3286.5
55,5674.0,0.6836,0.8772,1336.2,1691.5
56,9300.0,0.6457,0.9797,1351.7,1316.6
57,1493.0,0.7975,0.9543,1338.0,739.9
58,1151.0,0.8674,0.7368,1329.2,3182.3
59,1806.0,0.8687,0.6343,1339.5,2117.0
60,2747.0,0.8901,0.9443,1346.6,355.1
61,722.0,0.8094,0.9590,1396.8,1605.5
62,486.0,0.9455,0.7542,1397.7,284.0
63,934.0,0.8938,0.8732,1405.5,2263.4
64,5955.0,0.8170,0.6931,1664.2,713.2
65,1843.0,0.8564,0.7913,1655.6,1900.9
66,4778.0,0.7895,0.9525,1740.8,1822.2
67,8872.0,0.8283,0.7039,1917.6,1822.8
68,1733.0,0.8483,0.9626,1961.0,2067.6
69,529.0,0.9248,0.8409,1973.6,571.7
70,1541.0,0.8786,0.8932,2045.5,2092.1
71,877.0,0.9060,0.7245,2051.4,994.1
72,8841.0,0.6365,0.9625,2266.3,2920.0
73,327.0,0.8583,0.8331,2280.9,4613.0
74,313.0,0.9343,0.9024,2400.2,3682.0
75,3600.0,0.9172,0.9050,2444.2,5209.5
76,1031.0,0.9084,0.8428,2442.4,3691.6
77,2438.0,0.8329,0.9397,2459.0,1040.5
78,736.0,0.9177,0.6079,2456.6,3827.7
79,2156.0,0.8928,0.9587,2462.1,3177.8
80,345.0,0.7582,0.9639,2620.2,740.7
81,611.0,0.8018,0.6616,2638.3,752.1
82,371.0,0.9071,0.5906,2794.8,4606.3
83,1696.0,0.8480,0.8977,3035.4,4675.9
84,1303.0,0.9011,0.7689,3041.9,5348.4
85,475.0,0.8392,0.9401,3075.7,1347.2
86,767.0,0.9230,0.7167,3106.4,1012.4
87,2351.0,0.8460,0.9087,3185.9,1087.0
88,3059.0,0.8826,0.9645,3400.0,4701.3
89,4898.0,0.8433,0.9674,3409.4,5296.8
90,6401.0,0.8152,0.9547,3419.9,613.5
91,426.0,0.9006,0.9209,3406.0,732.4
92,375.0,0.9375,0.8385,3408.9,4882.1
93,2032.0,0.8355,0.9864,3420.3,1272.4
94,14037.0,0.8709,0.9254,3448.5,347.4
95,405.0,0.8843,0.7727,3419.2,891.0
96,2795.0,0.7599,0.7816,3442.1,1032.6
97,740.0,0.7889,0.9828,3456.9,943.5
98,378.0,0.8326,0.9010,3528.4,372.7
99,558.0,0.8378,0.8368,3531.0,4078.1
100,233.0,0.8662,0.9922,3562.8,6266.8
101,606.0,0.7566,0.9673,3561.4,4079.4
102,799.0,0.9038,0.9142,3566.8,4234.3
