id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,1339.0,0.8933,0.6951,196.8,1944.2
2,808.0,0.8938,0.8738,357.6,3378.9
3,2999.0,0.7759,0.9573,392.5,3751.6
4,663.0,0.8555,0.7980,389.4,3833.3
5,31877.0,0.5615,0.9890,711.3,3206.5
6,5123.0,0.7748,0.7923,665.2,6089.5
7,24796.0,0.7133,0.9920,710.4,4642.0
8,8366.0,0.7637,0.9607,691.3,5403.0
9,7852.0,0.7672,0.8223,709.3,4004.3
10,28866.0,0.7987,0.9868,727.4,5765.2
11,9755.0,0.7093,0.9807,726.0,5017.2
12,2436.0,0.8334,0.9319,733.5,6218.3
13,11929.0,0.9027,0.9623,732.9,3702.4
14,1335.0,0.9563,0.9241,718.1,4398.7
15,2008.0,0.8523,0.9041,726.7,2408.4
16,977.0,0.8980,0.9290,732.8,4251.0
17,5326858.0,0.6566,0.9685,1740.7,4132.7
18,2662.0,0.8400,0.9551,761.7,1714.2
19,1325.0,0.9601,0.8488,759.1,1523.7
20,1276.0,0.9522,0.7515,766.6,4183.1
21,913.0,0.9004,0.8664,792.2,4525.5
22,430.0,0.9149,0.8261,820.0,6231.5
23,1946.0,0.8849,0.9157,1065.0,3630.9
24,7842.0,0.6578,0.9405,1090.2,893.1
25,2638.0,0.8858,0.7136,1074.0,3775.2
26,257.0,0.9554,0.8127,1061.6,3468.1
27,604.0,0.8377,0.8203,1112.2,3984.4
28,4002.0,0.8511,0.9639,1132.3,3819.2
29,438.0,0.8187,0.8903,1127.3,3906.5
30,2015.0,0.8245,0.9685,1155.7,3680.4
31,573.0,0.9153,0.9253,1152.4,863.8
32,330.0,0.8895,0.8230,1150.2,5053.0
33,705.0,0.8011,0.9713,1187.2,1347.0
34,295.0,0.9133,0.7924,1218.7,3730.5
35,12747.0,0.7066,0.9729,1325.0,670.8
36,599.0,0.8161,0.9304,1263.7,2436.6
37,1861.0,0.7956,0.8446,1344.7,2257.3
38,7902.0,0.6915,0.9570,1371.7,328.2
39,1201.0,0.9071,0.8022,1387.0,848.2
40,1020.0,0.8586,0.9275,1386.1,2373.4
41,315.0,0.9157,0.8069,1385.1,198.6
42,389.0,0.8384,0.9166,1388.0,2305.2
43,1468.0,0.7784,0.9220,1464.4,2186.0
44,350.0,0.8197,0.7354,1466.3,1106.0
45,418.0,0.9522,0.7064,1490.6,1094.1
46,420.0,0.9111,0.8264,1510.7,2219.3
47,468.0,0.8083,0.8517,1548.0,211.5
48,2589.0,0.8480,0.9744,1569.8,2289.9
49,1117.0,0.9458,0.7891,1582.4,1105.8
50,7351.0,0.8086,0.9818,1657.8,2332.1
51,400.0,0.9434,0.4482,1749.7,2270.7
52,3916.0,0.9046,0.8591,1771.0,1022.7
53,996.0,0.9113,0.6879,1783.0,821.5
54,808.0,0.9079,0.9257,1783.4,1118.8
55,454.0,0.7630,0.8735,1846.4,876.4
56,877.0,0.8166,0.9814,2145.5,1682.9
57,10156.0,0.7113,0.9383,2186.5,3498.2
58,1827.0,0.8529,0.9298,2165.0,1437.6
59,1905.0,0.7991,0.8523,2160.9,3683.5
60,322.0,0.9333,0.7848,2152.7,3761.1
61,1683.0,0.8734,0.9090,2227.7,3146.3
62,884.0,0.9404,0.8599,2240.8,4306.2
63,1029.0,0.7651,0.9516,2243.4,2995.1
64,1137.0,0.9389,0.8284,2275.5,2499.3
65,1185.0,0.9472,0.8538,2281.1,3163.5
66,2441.0,0.9215,0.7905,2326.9,2458.8
67,6667.0,0.8490,0.9598,2357.2,2010.0
68,1639.0,0.8927,0.9317,2362.0,2819.3
69,594.0,0.7775,0.9551,2356.3,1715.7
70,2.0,1.0000,1.0000,2398.5,6253.0
71,3191.0,0.9133,0.9614,2431.4,2998.2
72,18731.0,0.7556,0.9043,2472.0,4255.3
73,303.0,0.9528,0.6607,2424.4,5036.1
74,4608.0,0.8806,0.9105,2460.2,3317.6
75,1186.0,0.8576,0.8997,2448.8,5968.5
76,1262.0,0.9474,0.8835,2486.4,2502.6
77,1415.0,0.7954,0.9266,2518.7,4810.0
78,3965.0,0.5449,0.8716,2560.4,5834.3
79,503.0,0.9196,0.8052,2555.4,5344.8
80,4450.0,0.8327,0.6636,2631.9,4682.8
81,2411.0,0.8525,0.6901,2618.4,5006.0
82,531.0,0.9235,0.9012,2619.8,4350.5
83,966.0,0.8124,0.7716,2634.5,6081.2
84,2825.0,0.8496,0.7150,2651.3,2713.6
85,320.0,0.9357,0.8221,2637.4,5499.4
86,4231.0,0.8560,0.9404,2682.1,4563.4
87,2286.0,0.9004,0.9527,2701.2,5735.1
88,779.0,0.7877,0.9451,2697.6,5847.9
89,390.0,0.9353,0.8046,2697.8,5108.6
90,1179.0,0.9394,0.5168,2714.6,2537.8
91,607.0,0.9529,0.6096,2753.6,2749.7
92,667.0,0.8965,0.7252,2764.3,2540.1
93,403.0,0.8916,0.8944,2966.1,2640.3
94,593.0,0.8944,0.6564,3175.2,5700.3
95,471.0,0.8249,0.8604,3207.0,5685.8
96,828.0,0.9231,0.8000,3348.4,3379.6
97,8835.0,0.7168,0.9758,3374.8,325.8
98,3122.0,0.8765,0.8609,3360.8,2612.9
99,468.0,0.8014,0.8246,3348.1,3330.7
100,760.0,0.9371,0.7918,3354.8,1301.4
101,9691.0,0.8580,0.9528,3377.8,1021.4
102,5547.0,0.9042,0.9368,3380.4,2409.3
103,5110.0,0.6764,0.9825,3381.9,3683.4
