id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,753.0,0.7795,0.9545,106.8,636.1
2,1475.0,0.8226,0.9710,282.5,1801.1
3,41105.0,0.6107,0.7901,523.2,2170.6
4,550.0,0.8540,0.8555,405.5,2020.7
5,428.0,0.9030,0.7771,491.1,118.8
6,2452.0,0.5346,0.9100,521.6,1876.6
7,663.0,0.7137,0.3652,521.5,1816.7
8,4862.0,0.9153,0.9573,526.8,903.8
9,5024.0,0.6319,0.7254,571.1,1640.7
10,681.0,0.7525,0.8566,551.7,1718.1
11,1006.0,0.7872,0.5184,561.5,2029.0
12,1546.0,0.7734,0.6339,591.0,1562.1
13,319.0,0.8961,0.5298,576.3,1839.9
14,356.0,0.8436,0.8091,595.0,1695.4
15,487.0,0.9069,0.7838,614.7,1613.5
16,883.0,0.9010,0.8358,654.2,1465.6
17,380.0,0.8482,0.8544,649.5,1672.7
18,22391.0,0.6872,0.9765,751.8,2125.0
19,266.0,0.9568,0.5078,693.6,1256.3
20,298.0,0.9551,0.6929,696.8,1919.7
21,2315.0,0.6279,0.9967,733.6,1934.1
22,4942.0,0.5585,0.8241,814.0,1448.9
23,172579.0,0.4478,0.9073,1037.0,408.5
24,416.0,0.9224,0.9544,776.2,1815.6
25,9183.0,0.7089,0.9187,835.3,986.2
26,660.0,0.8980,0.7495,819.2,1667.0
27,606.0,0.8428,0.5874,831.1,726.5
28,461.0,0.8601,0.7553,834.4,766.6
29,515.0,0.7960,0.9216,844.8,1427.7
30,464.0,0.8940,0.8130,841.6,471.6
31,325.0,0.9531,0.6892,853.6,1798.2
32,1959.0,0.6800,0.5933,877.8,1370.2
33,86499.0,0.5015,0.9059,1080.2,2099.9
34,785.0,0.8396,0.8447,885.9,903.4
35,1002.0,0.8427,0.9264,917.1,1651.9
36,339.0,0.9088,0.8745,915.6,381.4
37,428.0,0.7868,0.8484,945.8,967.3
38,2311.0,0.7137,0.9415,985.7,1138.2
39,7453.0,0.6572,0.9294,985.2,1274.1
40,610.0,0.9313,0.6793,963.1,1383.5
41,392.0,0.9267,0.6305,969.3,1442.8
42,1313.0,0.7025,0.7408,993.6,1785.3
43,3751.0,0.7251,0.9474,1000.4,1626.4
44,496.0,0.8581,0.9344,1018.4,2255.5
45,300.0,0.9346,0.8814,1032.0,1089.1
46,407.0,0.8753,0.8160,1036.4,1565.1
47,2475.0,0.7507,0.6187,1082.0,1096.1
48,3106.0,0.5423,0.8718,1124.2,1632.7
49,1597.0,0.8090,0.9100,1114.8,1261.6
50,2627.0,0.8063,0.6010,1120.9,1685.0
51,1449.0,0.7202,0.5979,1132.1,1531.6
52,511.0,0.8826,0.7389,1149.6,1802.3
53,416.0,0.9123,0.7454,1178.9,1960.8
54,3066.0,0.6401,0.9661,1227.0,962.9
55,551.0,0.8816,0.6888,1215.8,2059.2
56,1143.0,0.5883,0.9295,1235.5,2027.0
57,401.0,0.8991,0.8182,1218.5,369.4
58,318.0,0.8571,0.6480,1229.4,797.5
59,317.0,0.8234,0.3336,1242.4,1210.7
60,388.0,0.8326,0.8743,1358.1,154.5
61,858.0,0.7050,0.9877,1452.8,2128.2
62,750.0,0.8929,0.8546,1453.4,2014.1
63,326.0,0.8602,0.9154,1484.0,2059.8
