id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,262267.0,0.4968,0.9968,1147.1,2895.8
2,444.0,0.8489,0.9818,417.6,2631.2
3,2674.0,0.9105,0.9331,627.7,549.3
4,540.0,0.9326,0.7933,767.4,2455.5
5,5578.0,0.6401,0.9942,1071.9,2928.7
6,1582.0,0.8823,0.9748,1026.2,2868.7
7,820.0,0.8733,0.9147,1096.3,2886.5
8,1737.0,0.8205,0.9780,1176.2,2912.6
9,1003.0,0.7662,0.9453,1261.3,2934.5
10,1027.0,0.7745,0.9647,1266.0,2986.1
11,393.0,0.8772,0.9592,1268.4,2830.6
12,310.0,0.8883,0.9034,1348.8,2095.3
13,519.0,0.8022,0.7829,1796.7,3013.3
14,4215.0,0.7516,0.8603,2170.9,2976.9
15,15540.0,0.8182,0.9801,2388.0,2962.5
16,697.0,0.9232,0.8802,2337.7,3631.3
17,20389.0,0.5880,0.9384,2547.3,3090.2
18,3394.0,0.7571,0.9485,2628.5,2986.8
19,517.0,0.8674,0.9873,2615.0,3021.9
20,1007.0,0.8787,0.8101,2642.8,1042.8
21,15497.0,0.6367,0.9623,2878.5,3060.6
22,368.0,0.9154,0.6590,2798.3,3098.5
23,91974.0,0.6174,0.9729,3266.8,3285.1
24,496.0,0.8378,0.9856,3569.4,3161.0
25,538.0,0.9150,0.5695,3568.4,3105.6
