id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,2032354.0,0.4471,0.8989,1163.9,1243.8
2,495.0,0.9150,0.7755,112.1,390.6
3,2820.0,0.7975,0.9078,130.5,649.6
4,4409.0,0.8396,0.5937,128.9,885.0
5,102677.0,0.4115,0.9524,474.4,1472.9
6,1478.0,0.7320,0.8176,120.6,1546.0
7,608.0,0.8812,0.9515,106.5,2046.0
8,142021.0,0.6474,0.8098,295.5,2275.2
9,118.0,0.9291,0.6053,104.6,2325.6
10,60717.0,0.6274,0.9744,375.3,2743.7
11,439.0,0.7622,0.6974,110.6,2823.0
12,190.0,0.8155,0.5709,105.8,2928.5
13,1133.0,0.7996,0.7422,114.8,3017.1
14,350.0,0.9067,0.4529,110.1,3111.2
15,50.0,0.9091,0.7478,102.2,3208.9
16,163.0,0.6966,0.9651,103.2,3293.6
17,10.0,0.9091,0.9564,100.4,3324.9
18,15971.0,0.5155,0.9761,237.7,3402.1
19,2014.0,0.4622,0.9120,134.4,3672.0
20,42897.0,0.5004,0.9506,327.7,4169.8
21,453.0,0.7892,0.8785,109.4,4192.7
22,492.0,0.8616,0.4119,156.6,3341.5
23,496.0,0.7654,0.9229,159.5,3599.2
24,425.0,0.8638,0.7128,163.5,3627.7
25,354.0,0.8917,0.7427,164.5,729.5
26,252.0,0.7706,0.8879,186.1,4263.7
27,294.0,0.9274,0.6964,178.9,4082.2
28,697.0,0.8268,0.8600,201.6,2937.8
29,345.0,0.8023,0.8487,203.4,3308.9
30,396.0,0.8590,0.7470,207.9,3626.8
31,349.0,0.8192,0.9575,209.1,3867.5
32,528.0,0.8111,0.9300,216.4,3188.2
33,487.0,0.7539,0.4934,234.3,3347.1
34,300.0,0.8696,0.9459,236.5,4036.6
35,298.0,0.8688,0.8998,232.6,3628.2
36,662.0,0.8768,0.7318,239.7,4237.4
37,1163.0,0.7717,0.8291,251.3,1179.7
38,1537.0,0.8014,0.9008,258.6,1823.7
39,3824.0,0.6443,0.9444,262.4,3130.9
40,4.0,1.0000,1.0000,239.5,100.0
41,410.0,0.8632,0.8114,254.4,3831.8
42,210.0,0.8974,0.9216,266.1,104.5
43,1331.0,0.6958,0.8078,277.1,2967.2
44,605.0,0.8473,0.9432,262.8,2438.4
45,850.0,0.7228,0.9679,277.0,3650.9
46,1096.0,0.7522,0.6046,273.8,3030.8
47,342.0,0.8883,0.8573,281.2,1676.5
48,336.0,0.8571,0.7626,284.8,984.4
49,357.0,0.8623,0.9589,309.6,4265.3
50,324.0,0.8640,0.5847,303.3,3109.6
51,748.0,0.7090,0.8996,321.0,2992.1
52,600.0,0.7853,0.9244,326.8,3197.5
53,403.0,0.8593,0.3496,331.8,1870.6
54,428.0,0.8646,0.8423,350.2,4259.6
55,362.0,0.8916,0.8294,361.5,3000.4
56,532.0,0.9032,0.9038,406.8,1581.3
57,796.0,0.8495,0.7748,416.8,3003.5
58,385.0,0.8575,0.7221,452.0,859.0
59,668.0,0.9051,0.9116,454.8,2567.1
60,633.0,0.8554,0.5715,492.4,2022.6
61,1677.0,0.6307,0.8825,519.8,2066.7
62,358.0,0.8710,0.9499,497.1,3390.8
63,444.0,0.9289,0.6254,509.7,1396.7
64,1214.0,0.6973,0.7605,530.4,3381.4
65,249.0,0.8527,0.7631,517.4,4262.8
66,2780.0,0.6800,0.9370,562.7,4172.3
67,380.0,0.8636,0.7637,532.7,4071.0
68,523.0,0.7877,0.8734,581.7,891.3
69,1664.0,0.7630,0.8777,599.8,1406.5
70,859.0,0.8847,0.6121,620.9,3372.1
71,4573.0,0.5572,0.9294,683.0,2077.3
72,459.0,0.7663,0.9472,627.5,1657.2
73,829.0,0.8143,0.6770,648.1,1611.2
74,992.0,0.9002,0.8752,671.2,1710.3
75,3224.0,0.7101,0.8982,716.6,2738.6
76,521.0,0.8597,0.8431,693.2,4076.7
77,959.0,0.8718,0.9098,708.6,2169.5
78,943.0,0.8604,0.9119,702.9,3381.9
79,361.0,0.9070,0.9150,738.0,105.0
80,266.0,0.8235,0.8290,734.7,4061.6
81,741.0,0.7784,0.8935,752.8,2610.0
82,443.0,0.8738,0.8777,757.9,2095.3
83,392.0,0.9289,0.8751,771.4,1196.5
84,708.0,0.9065,0.9090,773.0,2323.8
85,1229.0,0.7883,0.7176,792.6,2126.0
86,17928.0,0.6503,0.9277,868.8,1702.5
87,1598.0,0.8601,0.5353,867.4,1863.1
88,10957.0,0.7895,0.5995,912.4,2295.1
89,14749.0,0.5326,0.9724,966.3,3761.0
90,73612.0,0.8676,0.8888,1128.0,4181.4
91,302.0,0.8459,0.8914,937.2,3966.5
92,451.0,0.9093,0.6073,942.0,388.6
93,373.0,0.8715,0.7610,945.4,3321.5
94,403.0,0.8877,0.8240,952.3,2389.0
95,1281.0,0.8249,0.8716,964.5,3948.7
96,354.0,0.9171,0.7585,952.1,3275.3
97,396.0,0.7984,0.8218,966.6,2352.6
98,460.0,0.8142,0.9367,969.8,2453.6
99,400.0,0.7648,0.6453,984.3,4004.9
100,587.0,0.7356,0.9005,986.4,3341.3
101,3827.0,0.6146,0.8356,1064.0,3686.1
102,336.0,0.8000,0.8736,1040.3,427.8
103,345.0,0.8582,0.8025,1082.8,3944.4
104,532.0,0.8485,0.9494,1122.8,3980.2
105,319.0,0.9273,0.5639,1126.3,3463.1
106,321.0,0.8747,0.8370,1151.1,4007.4
107,266.0,0.8837,0.8438,1159.6,3457.4
108,434.0,0.8314,0.9117,1172.8,3807.7
109,523.0,0.8532,0.9458,1177.8,3575.0
110,386.0,0.8935,0.8163,1180.4,3710.7
111,2132.0,0.8625,0.8169,1189.9,3761.8
112,4632.0,0.8211,0.8770,1214.8,3874.0
113,334.0,0.8308,0.9155,1193.1,3455.8
114,2016.0,0.8532,0.7563,1249.5,4043.1
115,586.0,0.8383,0.6680,1302.1,4117.9
116,343.0,0.9050,0.7682,1332.4,4108.2
117,580.0,0.8480,0.9593,1343.8,1812.4
118,525.0,0.7848,0.8122,1352.3,3263.9
119,1840.0,0.8542,0.8840,1398.4,3339.9
120,376.0,0.8644,0.9090,1398.0,1210.4
121,2668.0,0.8858,0.8840,1416.2,2997.1
122,809.0,0.7742,0.9555,1418.4,2886.5
123,385.0,0.8370,0.9524,1431.3,951.7
124,426.0,0.7978,0.8934,1443.9,2225.3
125,591.0,0.7807,0.8118,1450.1,365.7
126,256384.0,0.3327,0.9581,1718.4,2743.7
127,322.0,0.8969,0.8374,1490.0,2325.5
128,9883.0,0.5833,0.8974,1575.2,1263.6
129,3117.0,0.5713,0.8961,1597.0,1137.5
130,9110.0,0.6532,0.9520,1631.6,1885.2
131,66476.0,0.7828,0.8753,1793.8,4184.6
132,520.0,0.9123,0.6366,1598.0,1980.8
133,672.0,0.7887,0.8617,1607.3,1932.0
134,6278.0,0.6237,0.8237,1672.7,3662.3
135,335.0,0.8568,0.9472,1617.9,137.7
136,371.0,0.8356,0.7925,1620.8,3762.8
137,352.0,0.8957,0.8502,1627.1,3918.0
138,842.0,0.7203,0.8995,1635.7,3789.3
139,322.0,0.8256,0.8748,1652.6,111.8
140,914.0,0.6735,0.9349,1669.3,3896.7
141,812.0,0.7907,0.9296,1668.4,3208.5
142,429.0,0.8298,0.9054,1670.2,2572.3
143,297.0,0.8684,0.5955,1671.9,1252.0
144,31.0,0.8378,0.9906,1677.5,100.5
