id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,1626432.0,0.4543,0.9943,2210.0,1795.5
2,5.0,1.0000,1.0000,100.0,2178.0
3,835.0,0.8734,0.8338,111.9,2200.0
4,1407.0,0.8461,0.5907,124.6,2254.7
5,35.0,0.9722,0.8390,101.6,2772.3
6,17965.0,0.6089,0.8851,173.7,2919.4
7,2617.0,0.6171,0.9750,146.5,3015.0
8,111.0,0.8952,0.9730,102.0,3396.7
9,87196.0,0.6422,0.8351,312.7,3542.1
10,176.0,0.9565,0.9381,103.2,3515.9
11,10252.0,0.8159,0.4852,166.0,3983.2
12,93145.0,0.8020,0.9572,377.4,4201.7
13,546.0,0.7358,0.7892,143.2,336.8
14,663.0,0.7342,0.9286,147.2,857.7
15,2143.0,0.6434,0.8503,179.4,840.4
16,1532.0,0.8975,0.8096,173.7,126.6
17,267.0,0.8900,0.8419,163.9,367.3
18,559.0,0.8721,0.8555,189.4,3726.7
19,804.0,0.8664,0.4696,200.4,3317.1
20,499.0,0.8048,0.8091,201.6,896.0
21,339.0,0.9187,0.7540,207.0,2359.5
22,371.0,0.9005,0.8284,209.2,2317.5
23,393.0,0.9470,0.7300,225.4,746.3
24,1991.0,0.6942,0.9517,251.1,887.8
25,396.0,0.8665,0.7064,231.6,1437.8
26,2620.0,0.8159,0.9179,265.9,3857.9
27,1744.0,0.8100,0.9329,267.0,3166.9
28,646.0,0.9500,0.8113,254.2,2810.2
29,1481.0,0.7343,0.9273,266.6,3935.4
30,1916.0,0.8244,0.8443,279.3,3022.3
31,536.0,0.7455,0.9591,278.5,2074.4
32,953.0,0.8104,0.4436,269.6,3093.8
33,1260.0,0.8451,0.4699,277.2,3785.0
34,387313.0,0.6426,0.8923,630.7,605.4
35,3.0,1.0000,1.0000,275.0,100.0
36,1077.0,0.9284,0.7697,302.9,2846.2
37,1274.0,0.8811,0.8289,319.3,114.6
38,319.0,0.8911,0.7567,313.1,932.4
39,379.0,0.8855,0.9206,331.1,3210.7
40,9364.0,0.5928,0.8403,415.1,2807.2
41,387.0,0.9085,0.8908,334.0,3898.8
42,407.0,0.9085,0.7549,348.1,3675.2
43,6468.0,0.5931,0.6645,394.8,2980.7
44,387.0,0.9171,0.8324,357.6,4061.2
45,789.0,0.7645,0.5349,369.0,509.2
46,308.0,0.9448,0.6911,358.1,3371.0
47,401.0,0.8931,0.9242,376.8,133.7
48,470.0,0.7667,0.8470,410.1,3699.2
49,9400.0,0.5299,0.9377,490.4,1237.0
50,1508.0,0.8245,0.9778,472.1,4024.4
51,1038.0,0.9050,0.9333,481.4,3348.0
52,848.0,0.8000,0.9354,483.6,2717.3
53,697.0,0.9005,0.7210,477.1,2990.5
54,3290.0,0.6091,0.9525,543.9,2792.3
55,654.0,0.8124,0.8648,500.8,2343.3
56,981.0,0.8697,0.8457,527.7,4081.4
57,345.0,0.9274,0.7647,537.5,3559.7
58,553.0,0.8876,0.7716,547.0,3634.7
59,578.0,0.9045,0.8100,548.9,3007.7
60,2916.0,0.6693,0.9716,555.8,3104.4
61,1866.0,0.7964,0.5855,561.5,2473.5
62,2141.0,0.7050,0.6496,563.8,3787.5
63,594.0,0.7734,0.9082,571.4,3528.9
64,3167.0,0.6845,0.7602,591.3,653.9
65,470.0,0.8688,0.8569,563.9,3842.0
66,3568.0,0.8286,0.8504,601.0,2746.4
67,2935.0,0.8242,0.8167,601.2,3377.8
68,329.0,0.9294,0.8524,586.8,3025.6
69,3936.0,0.8859,0.8913,646.4,3434.2
70,2580.0,0.8512,0.9156,641.9,2797.4
71,1594.0,0.8398,0.9112,632.1,4123.4
72,563.0,0.9184,0.7802,622.2,3759.9
73,407.0,0.8790,0.8630,624.6,3011.9
74,443.0,0.8011,0.8935,635.6,691.9
75,364.0,0.9529,0.6034,654.7,1630.4
76,609.0,0.8553,0.9050,665.6,4180.1
77,510.0,0.7944,0.8105,684.7,3550.1
78,450.0,0.8654,0.9173,690.4,3775.6
79,973.0,0.8352,0.8493,698.0,3916.1
80,531.0,0.8169,0.8778,706.1,3473.6
81,600.0,0.8621,0.8544,709.2,2594.3
82,3.0,1.0000,1.0000,699.0,4282.0
83,326.0,0.9368,0.7558,717.3,3210.0
84,290.0,0.9236,0.7831,718.9,3894.0
85,509.0,0.7991,0.9131,737.5,2235.0
86,451.0,0.8707,0.9176,756.1,3428.5
87,3847.0,0.6364,0.9129,771.6,2298.5
88,399.0,0.9258,0.8393,815.3,1859.9
89,369.0,0.9295,0.9429,831.2,1715.6
90,420.0,0.7850,0.9513,853.3,236.6
91,330.0,0.9270,0.8599,861.1,1644.7
92,45303.0,0.5630,0.8855,1033.5,3541.2
93,554.0,0.8269,0.7788,889.6,2639.4
94,363.0,0.9528,0.6211,891.7,1596.7
95,70210.0,0.7870,0.9199,1134.5,4202.8
96,99601.0,0.6910,0.8953,1164.6,2190.5
97,556.0,0.8450,0.8989,927.0,2643.0
98,2901.0,0.8341,0.8715,938.9,2508.4
99,1531.0,0.8896,0.9340,943.0,3164.5
100,2599.0,0.8727,0.9027,946.4,3851.1
101,1868.0,0.7849,0.8274,941.7,2587.8
102,2727.0,0.6061,0.6729,950.5,2976.6
103,1922.0,0.8800,0.6289,950.3,2430.7
104,301.0,0.8985,0.8727,944.0,2831.1
105,1198.0,0.8325,0.7717,946.4,3929.5
106,1008.0,0.8601,0.5934,950.2,3097.7
107,1790.0,0.7653,0.5760,955.0,3777.5
108,553.0,0.8132,0.8730,946.4,3260.4
109,21562.0,0.6396,0.9532,1110.7,2781.6
110,381.0,0.8779,0.9519,1005.6,3885.2
111,787.0,0.8964,0.8135,1012.4,4113.4
112,318.0,0.9244,0.8262,1008.5,3211.2
113,353.0,0.8847,0.7648,1023.3,3665.2
114,4768.0,0.8359,0.9085,1073.0,2912.9
115,13737.0,0.6975,0.7453,1115.6,255.0
116,350.0,0.8997,0.8888,1053.2,244.2
117,4362.0,0.6717,0.8572,1108.1,943.3
118,287.0,0.8885,0.8479,1079.9,3008.8
119,480.0,0.8556,0.5831,1081.4,3681.3
120,456.0,0.8398,0.8046,1114.9,377.4
121,1409.0,0.8264,0.9613,1130.3,991.4
122,631.0,0.9362,0.4552,1129.3,3520.7
123,1086.0,0.8354,0.9087,1158.3,3348.8
124,764.0,0.9150,0.9296,1154.7,4019.8
125,368.0,0.9223,0.8452,1147.7,2676.9
126,570.0,0.8382,0.7676,1162.2,895.8
127,339.0,0.9162,0.7100,1168.3,3400.0
128,1066.0,0.8869,0.8764,1205.9,3398.7
129,938.0,0.8512,0.8473,1203.5,4069.5
130,5737.0,0.8460,0.9029,1258.3,429.7
131,4139.0,0.7876,0.9365,1264.1,1111.3
132,488.0,0.9331,0.6565,1228.5,3781.5
133,357.0,0.8188,0.7990,1231.1,306.1
134,2538.0,0.7423,0.7741,1272.3,3378.8
135,381.0,0.7605,0.9288,1248.6,272.4
136,1921.0,0.7495,0.6660,1271.2,2715.0
137,14214.0,0.5675,0.9140,1389.5,332.9
138,552.0,0.9200,0.9001,1265.2,4036.4
139,4011.0,0.8880,0.8904,1322.9,3432.5
140,4422.0,0.8908,0.8777,1323.2,2766.9
141,1492.0,0.8669,0.9130,1307.7,4109.9
