id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,11148.0,0.8262,0.9265,276.7,821.2
2,514.0,0.8426,0.8955,268.0,631.8
3,487849.0,0.6070,0.9177,722.7,1009.6
4,549.0,0.7419,0.9833,579.1,492.6
5,378.0,0.8791,0.9295,595.6,490.8
6,415.0,0.9141,0.6661,788.3,276.4
7,915.0,0.7256,0.7269,818.0,117.0
8,3952.0,0.6742,0.8838,880.6,915.2
9,542.0,0.7305,0.8582,856.8,991.5
10,656.0,0.6694,0.8850,864.8,126.0
11,353.0,0.8982,0.7600,920.3,356.9
12,3841.0,0.8460,0.8362,963.2,839.0
13,457.0,0.8738,0.5794,980.8,109.0
14,380.0,0.8858,0.8109,1002.7,1182.8
15,278325.0,0.6783,0.9647,1279.0,657.8
16,415.0,0.9161,0.8011,1092.9,597.6
17,1589.0,0.8907,0.6935,1211.0,1094.2
18,6658.0,0.5719,0.7639,1321.2,1366.4
19,649.0,0.8653,0.8639,1260.8,1101.4
20,15178.0,0.6330,0.9817,1421.6,1568.2
21,1092.0,0.7324,0.6954,1405.9,1409.9
22,1672.0,0.6653,0.6944,1412.2,306.8
23,2754.0,0.8236,0.7963,1472.3,1403.6
24,4187.0,0.8321,0.7698,1477.6,304.2
25,1387.0,0.8125,0.9071,1493.5,837.3
26,361.0,0.8892,0.8135,1562.8,125.3
