id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,1319.0,0.8407,0.9556,130.9,109.4
2,1515.0,0.9029,0.8212,136.9,758.1
3,3412.0,0.9087,0.9607,177.9,250.9
4,1625.0,0.8472,0.9090,188.2,1409.5
5,304.0,0.7855,0.9754,206.3,103.8
6,8781.0,0.8126,0.8586,321.0,4186.7
7,264.0,0.8354,0.9758,269.6,103.3
8,395.0,0.9186,0.9649,296.9,2513.4
9,1760.0,0.8818,0.9124,339.7,111.8
10,3477.0,0.7331,0.9368,382.4,2478.4
11,442.0,0.9345,0.8302,381.0,3943.7
12,1987.0,0.7247,0.7502,420.0,120.6
13,3168.0,0.9679,0.7826,462.5,2613.9
14,501.0,0.9295,0.8979,474.6,3929.3
15,14402.0,0.8979,0.9834,524.3,1699.6
16,2617.0,0.9520,0.8278,508.1,4154.8
17,495.0,0.9218,0.9229,507.7,106.3
18,4749.0,0.8768,0.8791,554.7,3643.7
19,1221.0,0.8574,0.6310,556.3,117.9
20,330.0,0.8549,0.7076,549.1,3774.7
21,2355.0,0.9652,0.6834,565.2,4210.9
22,2142.0,0.9808,0.6413,728.9,3867.8
23,2367.0,0.6406,0.9724,762.7,4328.2
24,1016.0,0.9153,0.9199,748.3,3720.5
25,395.0,0.9165,0.9668,746.3,2389.8
26,394.0,0.9471,0.9597,751.6,374.1
27,470.0,0.8561,0.8775,770.3,3740.8
28,27177.0,0.8727,0.9965,1166.0,3453.4
29,4164.0,0.9338,0.9528,970.7,3253.6
30,280.0,0.7000,0.9146,992.5,111.7
31,816.0,0.9231,0.5282,1051.6,2588.2
32,4140.0,0.9566,0.8799,1067.2,3827.6
33,600.0,0.8942,0.7685,1066.2,1627.9
34,9226.0,0.8321,0.9036,1118.5,1638.4
35,836.0,0.6295,0.7449,1202.0,123.1
36,6849.0,0.7893,0.8192,1341.6,4091.6
37,1309.0,0.9103,0.7673,1587.0,3196.3
38,1082.0,0.7801,0.9409,1600.5,3731.0
39,491.0,0.9026,0.5094,1686.8,3932.6
40,17179.0,0.8957,0.9731,1797.3,3498.7
41,341.0,0.9342,0.7360,1763.9,3916.5
42,418.0,0.8856,0.9078,1782.2,3912.8
43,1124.0,0.8587,0.9886,1817.9,4181.7
44,5775.0,0.9656,0.9505,1839.1,2882.8
45,1564.0,0.7291,0.8839,1893.2,127.8
46,581.0,0.8966,0.9358,1921.0,4150.1
47,457.0,0.8590,0.9696,1976.7,4147.6
48,9497.0,0.7961,0.8574,2042.0,3833.8
49,597.0,0.9128,0.8826,2027.0,4137.8
50,4783.0,0.7790,0.5968,2064.5,3718.3
51,1037.0,0.9089,0.7295,2071.1,1230.9
52,5280.0,0.7328,0.8771,2135.2,3981.9
53,228.0,0.9120,0.9018,2265.8,104.1
54,8248.0,0.9035,0.9260,2319.7,1648.7
55,303.0,0.8707,0.5761,2386.5,107.0
56,1372.0,0.8695,0.8296,2413.6,2544.8
57,3318.0,0.8862,0.9305,2434.7,1885.3
58,931.0,0.9163,0.9101,2488.9,146.1
59,320.0,0.9496,0.8276,2669.6,3899.2
60,189.0,0.9450,0.8204,2678.0,105.5
61,4286.0,0.7340,0.8914,2738.9,3837.7
62,3366.0,0.9142,0.9223,2760.7,3704.5
63,511.0,0.9393,0.7932,3187.5,3654.9
64,818.0,0.8172,0.7353,3248.6,4037.2
65,588.0,0.8473,0.8267,3245.7,3668.1
66,3429.0,0.9313,0.9426,3262.8,2454.2
67,1009.0,0.8713,0.5592,3260.9,3961.3
68,8183.0,0.8554,0.6821,3420.5,4075.2
69,2191.0,0.9631,0.6154,3418.3,3870.0
70,4338.0,0.8534,0.5798,3480.1,3651.8
71,3354.0,0.7815,0.5237,3482.0,322.6
72,1394.0,0.7867,0.9156,3472.1,2325.0
73,550.0,0.8449,0.8162,3464.1,2997.4
74,2921.0,0.6104,0.9691,3527.9,4157.4
75,351.0,0.8731,0.9485,3478.7,989.5
76,4310.0,0.8782,0.9634,3584.6,3355.6
