id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,1103.0,0.9324,0.9224,126.1,109.4
2,5558.0,0.8710,0.9322,153.8,3195.7
3,1225.0,0.8981,0.8915,235.0,3142.1
4,8365.0,0.7397,0.9851,366.5,3104.4
5,167.0,0.9278,0.9593,282.7,102.8
6,665.0,0.8090,0.9091,510.9,3047.7
7,1040.0,0.8609,0.8822,750.5,110.6
8,7512.0,0.7693,0.9990,1197.3,108.5
9,387.0,0.8619,0.9834,1567.9,2753.6
10,342.0,0.8124,0.9906,1713.5,102.8
11,221.0,0.9286,0.9524,1755.0,103.5
12,641.0,0.8228,0.9945,1850.8,103.3
13,257.0,0.8317,0.9943,1933.0,102.0
14,477.0,0.8689,0.9703,2000.4,104.5
15,339.0,0.8737,0.9846,2056.2,103.2
16,901.0,0.6063,0.9688,2168.0,111.0
17,494.0,0.8606,0.9748,2437.6,104.4
18,320.0,0.9668,0.9643,2491.7,103.9
19,1205.0,0.7583,0.9967,2575.8,104.3
20,958.0,0.8389,0.9861,2704.9,105.5
21,566.0,0.8694,0.9855,2783.0,104.3
22,1059.0,0.8452,0.8859,2867.8,111.1
23,608.0,0.8876,0.8361,3712.8,3001.1
24,773.0,0.9137,0.6649,3770.5,3032.6
25,255.0,0.7751,0.9852,3796.2,3051.4
