id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,374.0,0.8539,0.9324,168.0,967.6
2,10597.0,0.7886,0.8559,243.7,1032.4
3,1084.0,0.8090,0.8402,225.7,340.7
4,1902.0,0.8830,0.8600,262.6,687.1
5,885.0,0.8461,0.8753,265.1,1377.5
6,313.0,0.8719,0.8921,347.7,1406.8
7,335979.0,0.5861,0.9568,706.8,1014.5
8,1352.0,0.9092,0.6300,430.4,1122.5
9,5506.0,0.7500,0.9158,496.5,925.7
10,5323.0,0.7887,0.8786,550.6,686.4
11,360.0,0.8780,0.8581,540.2,965.0
12,480.0,0.8421,0.6479,580.6,922.4
13,768.0,0.9552,0.5878,627.8,1511.7
14,8948.0,0.7908,0.8479,832.4,1275.2
15,13327.0,0.8976,0.8697,862.0,352.6
16,270118.0,0.4429,0.9673,1248.6,857.1
17,523.0,0.9143,0.8976,919.1,600.2
18,429.0,0.8667,0.9107,916.5,980.8
19,326.0,0.9314,0.7429,939.9,573.3
20,897.0,0.8118,0.9548,1008.1,287.1
21,394.0,0.9206,0.8824,1016.3,538.0
22,1438.0,0.6519,0.8459,1031.0,724.1
23,335.0,0.8747,0.5824,1061.8,679.0
24,10850.0,0.7901,0.8893,1113.3,886.2
25,455.0,0.9519,0.7509,1081.8,423.6
26,1779.0,0.8670,0.8259,1134.7,242.0
27,813.0,0.8549,0.7408,1146.6,437.0
28,658.0,0.9088,0.8626,1441.1,194.3
29,667.0,0.9316,0.7196,1501.0,691.4
30,829.0,0.9388,0.7153,1553.9,1055.4
