id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,630.0,0.9361,0.6551,114.1,110.0
2,164.0,0.9371,0.9624,102.7,173.7
3,355.0,0.9416,0.8929,105.2,217.2
4,2094.0,0.9315,0.6627,125.4,1179.1
5,716.0,0.9179,0.5929,133.2,885.4
6,9877.0,0.8727,0.8325,276.7,1075.8
7,945.0,0.9478,0.9049,368.1,109.0
8,359717.0,0.6406,0.9509,740.6,1021.5
9,331.0,0.9019,0.8928,449.3,748.3
10,1235.0,0.8373,0.7434,517.6,1131.2
11,394.0,0.8995,0.8886,523.7,377.9
12,366.0,0.8612,0.9127,524.7,1047.3
13,4348.0,0.8420,0.7996,574.9,726.0
14,1244.0,0.8099,0.6451,569.7,245.3
15,1402.0,0.8958,0.6935,586.9,125.9
16,1943.0,0.8339,0.8874,663.1,1576.5
17,352.0,0.8649,0.9439,747.0,236.3
18,384.0,0.8807,0.6982,813.0,237.4
19,169.0,0.9657,0.6820,823.6,104.9
20,4284.0,0.7046,0.8302,890.8,274.2
21,91645.0,0.4342,0.9094,1100.1,1279.3
22,5007.0,0.7435,0.5963,1022.5,565.4
23,349.0,0.9332,0.8541,1005.8,256.5
24,547.0,0.8780,0.9566,1021.7,275.0
25,2003.0,0.9453,0.5629,1072.0,820.7
26,1541.0,0.8210,0.8243,1063.9,1065.3
27,276.0,0.9684,0.6692,1094.5,999.2
28,906.0,0.7607,0.8638,1116.6,815.9
29,4577.0,0.5727,0.9123,1171.5,335.0
30,11611.0,0.7209,0.9403,1178.2,653.3
31,192.0,0.9648,0.6314,1179.1,770.3
32,1228.0,0.8841,0.9409,1191.9,502.8
33,119760.0,0.5470,0.9687,1370.8,461.0
34,379.0,0.8575,0.8757,1197.6,1029.4
35,360.0,0.8824,0.6812,1211.5,137.7
36,3458.0,0.6528,0.9053,1292.6,1130.0
37,61547.0,0.8175,0.9070,1498.5,1308.0
38,3455.0,0.6191,0.9789,1440.6,1045.8
39,633.0,0.9490,0.8076,1430.2,1566.0
40,347.0,0.9378,0.4863,1460.6,127.9
41,402.0,0.8874,0.8624,1466.0,180.2
42,2199.0,0.7536,0.8078,1497.6,462.1
43,442.0,0.8966,0.9580,1501.3,549.3
44,618.0,0.7833,0.8842,1518.1,724.0
45,327.0,0.9185,0.6406,1533.0,427.1
46,4354.0,0.7951,0.7120,1566.1,911.5
47,478.0,0.9210,0.7621,1540.6,240.8
48,2656.0,0.8853,0.6085,1570.8,268.2
49,657.0,0.9648,0.8380,1584.6,1033.1
