id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,4104.0,0.7889,0.8105,146.0,122.3
2,388.0,0.7918,0.8911,109.7,163.6
3,2257.0,0.7349,0.9607,113.6,265.8
4,352.0,0.9312,0.7742,108.0,336.1
5,895.0,0.7991,0.8986,119.9,1725.9
6,448.0,0.8145,0.9187,117.9,1938.8
7,12977.0,0.6962,0.4860,160.4,2059.1
8,386.0,0.7814,0.9694,118.5,2245.6
9,1025.0,0.8821,0.8172,117.4,1390.3
10,397.0,0.9147,0.7654,111.8,1178.2
11,327.0,0.9134,0.4572,117.3,1302.9
12,495.0,0.8594,0.9236,128.5,684.5
13,469.0,0.7922,0.9290,128.7,770.3
14,305.0,0.9356,0.5508,130.5,2163.7
15,1831.0,0.8296,0.7227,157.1,1910.5
16,3448.0,0.7573,0.9284,180.3,574.9
17,11196.0,0.7594,0.8061,190.5,1625.1
18,517.0,0.8407,0.7892,202.7,286.9
19,817.0,0.8345,0.6314,204.1,864.2
20,1258258.0,0.6228,0.7711,1008.3,1491.4
21,493.0,0.8788,0.5260,202.9,481.2
22,2297.0,0.7379,0.8338,222.2,223.8
23,1201.0,0.8963,0.7424,211.5,1936.2
24,8990.0,0.7923,0.8519,268.8,729.7
25,973.0,0.8672,0.7626,215.8,682.2
26,569.0,0.8569,0.8903,216.8,442.6
27,1558.0,0.7519,0.8699,244.7,909.3
28,454.0,0.8697,0.5691,242.4,470.8
29,3477.0,0.8825,0.5927,271.6,640.1
30,1610.0,0.7338,0.9056,260.0,1398.8
31,254.0,0.9338,0.9442,260.6,104.3
32,498.0,0.8204,0.8550,270.6,447.8
33,2891.0,0.7321,0.5294,292.2,208.2
34,1233.0,0.7889,0.7863,288.5,568.7
35,2030.0,0.8451,0.7657,287.0,512.9
36,686.0,0.8596,0.6053,280.3,1443.2
37,2485.0,0.6579,0.6982,308.4,1346.9
38,448.0,0.9237,0.6656,279.2,1617.1
39,312.0,0.9512,0.5706,282.8,1998.2
40,1212.0,0.7472,0.5213,302.2,2227.9
41,557.0,0.8252,0.8284,299.9,320.7
42,1377.0,0.8867,0.8387,350.8,274.4
43,372.0,0.9370,0.8061,344.5,591.5
44,775.0,0.7924,0.9537,348.6,1230.7
45,386.0,0.8733,0.9366,366.6,868.2
46,335.0,0.9005,0.9090,367.2,968.7
47,373.0,0.9443,0.8664,366.7,1275.7
48,882.0,0.8855,0.8204,381.8,252.0
49,4735.0,0.6934,0.6240,403.3,1583.9
50,435.0,0.8824,0.8916,376.4,1358.4
51,630.0,0.8690,0.9654,403.0,1401.2
52,517.0,0.8232,0.7693,402.1,308.3
53,843.0,0.8718,0.7166,413.1,373.1
54,392.0,0.8970,0.9195,413.8,693.9
55,2314.0,0.7577,0.5455,430.6,1057.7
56,798.0,0.8409,0.6852,416.3,1674.8
57,437.0,0.8864,0.9491,410.4,1248.2
58,698.0,0.9420,0.7489,423.0,267.3
59,339.0,0.9391,0.7378,422.0,721.2
60,2952.0,0.9529,0.7487,440.6,429.5
61,535.0,0.8057,0.9597,435.7,1308.8
62,425.0,0.8966,0.9639,437.3,1391.5
63,326.0,0.9341,0.8219,445.8,1244.5
64,405.0,0.8455,0.8134,458.5,187.2
65,741.0,0.7825,0.9114,475.4,693.9
66,1088.0,0.7519,0.9747,461.9,1585.9
67,351.0,0.9023,0.8731,467.8,303.4
68,1356.0,0.7051,0.9717,473.6,1323.2
69,821.0,0.7834,0.8170,494.2,365.5
70,622.0,0.8141,0.8857,495.3,1313.3
71,780.0,0.8824,0.8459,504.0,783.7
72,98613.0,0.6325,0.8883,705.1,331.1
73,368.0,0.9064,0.8354,500.8,1398.4
74,1471.0,0.6699,0.9480,527.8,748.1
75,353.0,0.9169,0.8524,531.5,695.9
76,1866.0,0.8319,0.8225,548.7,498.6
77,328.0,0.9162,0.8962,555.5,1569.3
78,1691.0,0.8068,0.5567,582.5,1341.0
79,490.0,0.7967,0.8674,585.3,1520.8
80,5079.0,0.7970,0.9450,612.9,491.3
81,480.0,0.8649,0.8297,598.7,838.3
82,2947.0,0.7520,0.8942,734.3,1540.2
83,6656.0,0.7066,0.9070,790.9,167.4
84,464.0,0.8467,0.8564,850.2,979.6
85,523.0,0.8645,0.7549,933.6,610.7
86,408.0,0.8276,0.8658,935.8,646.5
87,61905.0,0.6839,0.8477,1111.0,207.6
88,3965.0,0.9316,0.6031,1111.6,421.8
89,3227.0,0.6188,0.9371,1224.4,381.6
90,342.0,0.9120,0.9462,1247.6,2044.0
91,791.0,0.8683,0.8945,1256.9,367.8
92,471.0,0.8292,0.9604,1274.8,290.1
93,377.0,0.8913,0.7984,1277.6,2237.0
94,1371.0,0.8688,0.7423,1293.9,2147.0
95,1195.0,0.5913,0.8702,1311.8,304.8
96,358.0,0.8883,0.7622,1353.1,1880.3
97,644.0,0.7787,0.9152,1383.7,2241.0
98,4102.0,0.6084,0.7665,1419.9,222.5
99,371.0,0.9093,0.8892,1477.5,2235.1
100,363.0,0.9404,0.8514,1474.4,2174.4
101,481.0,0.9582,0.7893,1511.9,744.9
102,1890.0,0.7222,0.7894,1530.5,345.4
103,3294.0,0.7662,0.6482,1531.3,1028.1
104,1341.0,0.6311,0.6075,1531.9,1136.9
105,651.0,0.8715,0.8823,1581.8,282.2
106,406.0,0.9376,0.6613,1576.5,360.0
107,635.0,0.9549,0.9369,1591.2,1375.6
108,155.0,0.9337,0.7971,1592.2,1574.1
109,310.0,0.9598,0.9405,1593.7,1027.4
